Date,ALAB,AMAT,ASML,AXTI,CRDO,KLAC,LRCX,MRVL,MU,MXL,QQQ,SNDK,SPY,STX,TER,TTMI,WDC
2026-06-15,389.20001220703125,585.780029296875,1892.6600341796875,110.73999786376953,259.4100036621094,256.4200134277344,388.646240234375,308.8800048828125,1087.989990234375,88.76000213623047,743.1832885742188,2107.860107421875,752.890380859375,1018.0740966796875,432.4100036621094,206.66000366210938,653.530029296875
2026-06-16,361.7099914550781,568.22998046875,1803.8900146484375,93.04000091552734,239.17999267578125,237.3300018310547,369.08001708984375,278.6700134277344,1020.760009765625,84.38999938964844,729.0587768554688,1991.550048828125,748.4019775390625,1030.6051025390625,409.3500061035156,199.5800018310547,681.0800170898438
2026-06-17,374.67999267578125,592.9199829101562,1867.8299560546875,92.11000061035156,249.3300018310547,238.72999572753906,374.17999267578125,289.5400085449219,1043.18994140625,82.87000274658203,721.7168579101562,1958.800048828125,739.0560302734375,1065.310302734375,408.55999755859375,202.6999969482422,712.1300048828125
2026-06-18,417.07000732421875,617.1099853515625,1929.6800537109375,84.56999969482422,271.8299865722656,259.55999755859375,389.0400085449219,310.5799865722656,1133.989990234375,88.76000213623047,739.8070068359375,2184.75,746.739990234375,1069.4674072265625,437.9200134277344,216.44000244140625,746.22998046875
2026-06-22,439.6600036621094,640.1799926757812,1929.25,92.44000244140625,302.5199890136719,269.1600036621094,409.5400085449219,307.8599853515625,1211.3800048828125,96.44000244140625,737.9500122070312,2273.72998046875,744.3900146484375,1093.260498046875,457.0,221.47000122070312,732.6199951171875
2026-06-23,397.0199890136719,585.8800048828125,1778.4599609375,77.91000366210938,272.0050048828125,244.49000549316406,371.3299865722656,279.0400085449219,1051.77001953125,89.08000183105469,713.6500244140625,1963.5999755859375,733.5800170898438,1037.8499755859375,420.1199951171875,213.1699981689453,670.75
2026-06-24,399.9200134277344,588.969970703125,1762.77001953125,70.13999938964844,268.989990234375,240.47999572753906,374.79998779296875,276.70001220703125,1048.510009765625,84.98999786376953,710.6199951171875,1914.4599609375,733.239990234375,993.25,427.20001220703125,209.74000549316406,643.8300170898438
2026-06-25,398.0,668.0,1841.1800537109375,69.05999755859375,268.0299987792969,258.79998779296875,401.82000732421875,281.260009765625,1213.56005859375,94.47000122070312,716.3800048828125,2335.0,734.2999877929688,1025.3599853515625,471.9599914550781,210.57000732421875,675.3900146484375
2026-06-26,391.739990234375,626.8400268554688,1794.6199951171875,70.1500015258789,238.0,248.63999938964844,379.0899963378906,266.7699890136719,1132.3299560546875,96.5999984741211,706.52001953125,2090.7099609375,728.989990234375,899.9000244140625,436.8599853515625,191.49000549316406,586.4500122070312
2026-06-29,455.9599914550781,694.6400146484375,1883.1099853515625,71.45999908447266,245.67999267578125,278.3900146484375,410.9100036621094,277.75,1145.280029296875,108.47000122070312,724.0800170898438,2050.389892578125,741.0,968.530029296875,463.2099914550781,186.8000030517578,651.8800048828125
2026-06-30,483.0199890136719,723.0,1989.43994140625,72.08000183105469,271.95001220703125,301.7099914550781,433.3299865722656,297.8900146484375,1154.2900390625,128.02999877929688,736.4000244140625,2273.72998046875,746.77001953125,965.0,483.8399963378906,187.02000427246094,638.719970703125
2026-07-01,430.8599853515625,650.9099731445312,1843.0400390625,65.02999877929688,259.0899963378906,266.19000244140625,391.260009765625,272.04998779296875,1032.280029296875,112.38999938964844,725.1699829101562,2032.219970703125,745.760009765625,915.1900024414062,427.3399963378906,179.6999969482422,598.3699951171875
2026-07-02,406.4200134277344,603.0399780273438,1769.3199462890625,56.619998931884766,241.91000366210938,235.5500030517578,351.4100036621094,245.2899932861328,975.5599975585938,93.12000274658203,712.5999755859375,1745.0,744.780029296875,820.1599731445312,369.0899963378906,155.97999572753906,539.0
