initial_nav,slippage,period_name,variant_name,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,cash_yield_earned,cash_return_days,cash_return_missing_days,partial_exits,partial_ineligible,profitable_symbols,top_symbol_profit_share
5751.77,0.001,development_2024_2025,partial_half_at_15,6582.214420523361,0.14438067247531805,0.06990573363492847,-0.01792907581181713,0.030538150193269296,2.2324176911538403,2.7271519466461442,21,0.6666666666666666,0.16534901003771824,-0.06055257607685132,5.675359573855213,0,,,0.04465190797446666,3.373888750881801,69.4067319518119,0.0,0,0,8,2,10,0.25611098010109223
5751.77,0.001,heldout_2026,RSR2,5800.854766523844,0.0085338541916391,0.014405844919272326,-0.017651140073377203,0.035040652901035294,0.4249885896983633,0.2478781988267253,3,0.6666666666666666,0.11961098508236183,-0.0838189107801222,1.8845990864668132,0,,,0.026791577592344153,0.5357236109532196,9.081417159956084,0.0,0,0,0,0,2,0.8271380389314571
5751.77,0.001,heldout_2026,partial_half_at_15,5817.812483225112,0.01148211476208405,0.019402172929308126,-0.016344065811946695,0.034598609354941565,0.5717215873308124,0.32752013241871664,3,0.6666666666666666,0.13875104881458689,-0.0838189107801222,2.1902087850526057,0,,,0.026465834696521508,0.5388457310486456,10.099392852349744,0.0,0,0,1,1,2,0.851258247095921
5751.77,0.001,full,RSR2,6730.052319217166,0.1700836993164132,0.06238748636251645,-0.023149283652367014,0.0349910612848973,1.7526433721053676,1.7378742045085769,23,0.6956521739130435,0.16461363214497343,-0.06033322586122432,5.986899601706133,0,,,0.04387864250404125,3.8124665203108052,67.9294767693241,0.0,0,0,0,0,10,0.22355339518919293
5751.77,0.001,full,partial_half_at_15,6648.256903748474,0.15586278723740232,0.057393983309774965,-0.01792907581181713,0.030512780489167595,1.850185786057275,1.7504940091845602,24,0.6666666666666666,0.16202426488482685,-0.06346086791476017,4.845773317686738,0,,,0.039708211400433374,3.9127344819304466,79.50612480416166,0.0,0,0,9,3,10,0.22855660311806997
5751.77,0.002,development_2024_2025,RSR2,6552.866480758043,0.13927825360854862,0.0675129815004818,-0.02203771601304616,0.03857162080315571,1.716459780258416,1.625105916454,21,0.6666666666666666,0.16876592952892536,-0.08407324902056067,4.18085584783845,0,,,0.05056629229493412,3.4102858307887822,81.23388878739019,0.0,0,0,0,0,10,0.24757729368195275
5751.77,0.002,development_2024_2025,partial_half_at_15,6458.02834091224,0.12278973966487539,0.05974399663949015,-0.022532379949465442,0.033065127990517064,1.7750120309661421,1.6443089887633757,22,0.6363636363636364,0.16357635747318094,-0.08434757080466823,3.4419323074551533,0,,,0.045268681158864815,3.5082247949737497,92.36019873213093,0.0,0,0,8,2,10,0.25747664803570974
5751.77,0.002,heldout_2026,RSR2,5798.491769034932,0.008123024570685589,0.013710415492801609,-0.01790972364773935,0.03503196607295339,0.40554521862362064,0.2366507455065246,3,0.6666666666666666,0.11789589266549513,-0.08521337257842969,1.8274091219553241,0,,,0.0267968675855481,0.5358384023108993,12.164274038691817,0.0,0,0,0,0,2,0.8288034914937448
5751.77,0.002,heldout_2026,partial_half_at_15,5815.431510043807,0.011068159895789798,0.018700054924542853,-0.016346640935899326,0.034591254291749786,0.5519539588175129,0.31629167584684437,3,0.6666666666666666,0.13699662877171884,-0.08521337257842969,2.1273998227317636,0,,,0.026471101744484523,0.5389573971609847,13.200225423479143,0.0,0,0,1,1,2,0.8529443981576007
5751.77,0.002,full,RSR2,6599.588249792974,0.1474012781792342,0.05440488502349439,-0.023753999382164492,0.03695849213041135,1.4565131804281457,1.2434146642503876,24,0.6666666666666666,0.16240717492099657,-0.0842157644652943,3.7498273268956,0,,,0.04435191331423272,3.946124233099682,93.398162826082,0.0,0,0,0,0,10,0.22548010793011672
5751.77,0.002,full,partial_half_at_15,6521.689850956047,0.13385789956066496,0.049592240714644076,-0.022532379949465442,0.03259071485878713,1.5062510249406602,1.2360877330934965,25,0.64,0.16025389138549817,-0.08444377100175283,3.2272060399887055,0,,,0.040285384811972774,4.047182192134734,105.5604241556101,0.0,0,0,9,3,10,0.2297514840383795
