period,entry_delay_sessions,max_entry_gap,baseline_return,candidate_return,return_delta,baseline_drawdown,candidate_drawdown,drawdown_delta,baseline_sharpe,candidate_sharpe,sharpe_delta,baseline_win_rate,candidate_win_rate,win_rate_delta,baseline_trades,candidate_trades,candidate_exposure
2026,2,1.0,-0.011688271420233654,0.009243878644719095,0.020932150064952748,-0.029137607371626517,-0.016024523572542804,0.013113083799083713,-0.48870009994839586,0.4752631542559104,0.9639632542043063,0.2222222222222222,0.5,0.2777777777777778,9,4,0.03480822308112086
2026,3,0.03,0.01956043138477126,0.025598063666333104,0.006037632281561844,-0.01592893101307369,-0.015988733157789037,-5.9802144715348504e-05,0.9200283754228433,1.2555949229783616,0.3355665475555183,0.5714285714285714,0.6666666666666666,0.09523809523809523,7,3,0.028185769618159783
2026,3,0.05,0.010424998078104597,0.01646263035966644,0.006037632281561844,-0.019153721594903028,-0.015988733157789037,0.0031649884371139914,0.4839615540453478,0.7856726507453593,0.3017110967000115,0.5,0.5,0.0,8,4,0.03313689720437477
2026,3,0.1,0.010424998078104597,0.01646263035966644,0.006037632281561844,-0.019153721594903028,-0.015988733157789037,0.0031649884371139914,0.4839615540453478,0.7856726507453593,0.3017110967000115,0.5,0.5,0.0,8,4,0.03313689720437477
2026,3,1.0,0.0035587179779554834,0.01646263035966644,0.012903912381710958,-0.02581900134899484,-0.015988733157789037,0.009830268191205804,0.1743779911298663,0.7856726507453593,0.611294659615493,0.4444444444444444,0.5,0.05555555555555558,9,4,0.03313689720437477
full,1,0.03,0.07004406358962778,0.164576453003364,0.0945323894137362,-0.05754327045432994,-0.02347367932676392,0.034069591127566023,0.5818624570057849,1.687412448706001,1.105549991700216,0.4523809523809524,0.6521739130434783,0.1997929606625259,42,23,0.045257821434409616
full,1,0.05,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222,45,24,0.04859510972976725
full,1,0.1,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222,45,24,0.04859510972976725
full,1,1.0,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222,45,24,0.04859510972976725
full,2,0.03,0.07351606413570844,0.10253897321541294,0.029022909079704506,-0.04279860699055782,-0.024867084275613904,0.017931522714943915,0.7482581149787872,1.343298710479654,0.5950405955008669,0.42105263157894735,0.5909090909090909,0.1698564593301436,38,22,0.03950812019480113
full,2,0.05,0.024683699788134783,0.11687293385170627,0.09218923406357149,-0.05806201609682993,-0.024603276694008303,0.033458739402821625,0.2465371515835276,1.3567654489980805,1.110228297414553,0.40476190476190477,0.625,0.22023809523809523,42,24,0.044758990735160396
full,2,0.1,0.04176912921270115,0.11687293385170627,0.07510380463900512,-0.05130384173888436,-0.024603276694008303,0.026700565044876057,0.39956864092364563,1.3567654489980805,0.9571968080744349,0.42857142857142855,0.625,0.19642857142857145,42,24,0.044758990735160396
full,2,1.0,0.031793835643755264,0.11343296794167257,0.0816391322979173,-0.05194774805612934,-0.02467842783442753,0.02726932022170181,0.30730932404923006,1.3241014330105807,1.0167921089613507,0.4186046511627907,0.625,0.20639534883720928,43,24,0.04439558882994389
full,3,0.03,0.0035071448218488843,0.03008999798093881,0.026582853159089925,-0.03469641828177317,-0.03110063424340026,0.0035957840383729067,0.0598387331740209,0.529056462796605,0.4692177296225841,0.3611111111111111,0.391304347826087,0.03019323671497587,36,23,0.029443585495130608
full,3,0.05,0.04592607491659839,0.07895104475839654,0.033024969841798146,-0.03776819604073245,-0.020333774564521567,0.017434421476210882,0.45978801926427404,0.9744111276726471,0.5146231084083731,0.3409090909090909,0.52,0.17909090909090913,44,25,0.039922872482859924
full,3,0.1,0.04030954533260389,0.11217510973225919,0.0718655643996553,-0.04276682058090564,-0.021520602321604798,0.021246218259300842,0.38988987037839956,1.2866771901074106,0.896787319729011,0.38636363636363635,0.5769230769230769,0.19055944055944052,44,26,0.04373144264790921
full,3,1.0,0.03702701781193318,0.116145357496932,0.07911833968499882,-0.04860903518623716,-0.021444328666991863,0.027164706519245296,0.3478046002357626,1.2578352282682315,0.9100306280324688,0.4,0.6153846153846154,0.2153846153846154,45,26,0.044800194005157376
