date,symbol,usable_ohlcv,broad_gate,smh_ma50,above_ma20,above_ma50,breakout_prior_high20,rs20_at_least_3pct,volume_ratio_at_least_1_2,extension_0_to_12pct,event_cooldown_clear,atr_at_most_4pct,close_location_at_least_50pct,final_rsr1,extension,atr_pct,close_location,rs20,volume_ratio
2026-08-17,TTMI,True,True,True,True,False,False,False,False,True,True,False,True,False,0.0800871405069481,0.08387716524451427,0.7468349540527891,-0.004413478200528287,0.9700793831813563
2026-08-17,CEG,True,True,True,True,True,False,True,False,True,True,True,False,False,0.029411528533843434,0.037780876310087176,0.3661990328935585,0.03437567970652933,0.785406121547712
2026-08-18,DRAM,True,True,False,True,False,False,False,False,True,True,False,False,False,0.03585055999201159,0.07225824090843483,0.12014131894083332,-0.039221263468758316,1.0109721909734324
2026-08-18,MU,True,True,False,True,False,False,False,False,True,True,False,False,False,0.05011534540710927,0.07480425396494206,0.27138196675734394,-0.006463449043370151,0.8932529662662081
2026-08-18,WDC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.005244824842621565,0.09290061857862997,0.19919364676479723,-0.0707423908545074,1.1237846380029226
2026-08-18,STX,True,True,False,True,True,False,True,False,True,True,False,False,False,0.051863351278261804,0.08149614095260195,0.07988493137326605,0.03778732165059395,0.8389175833036469
2026-08-18,SNDK,True,True,False,True,False,False,True,False,False,True,False,False,False,0.18224704673029724,0.09948767402494918,0.20498493563407286,0.04738920686369941,1.0905480514567334
2026-08-18,SKHY,True,True,False,True,False,False,False,False,True,True,False,False,False,0.0367858083751984,0.07852461103491723,0.11657707233803663,-0.07041680911562376,0.677719725347399
2026-08-18,MRVL,True,True,False,True,False,False,True,False,True,True,False,False,False,0.0542833943935761,0.07785384364859765,0.35226441276649484,0.063161311070002,1.1941217186206374
2026-08-18,AVGO,True,True,False,False,False,False,False,True,False,True,False,False,False,-0.04970778615926563,0.0429229277417176,0.3409343192692475,0.007682469796567171,1.2444310998443522
2026-08-18,ALAB,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.026764449423788306,0.10784788505777447,0.5505671580209586,-0.02662725642500341,1.086821082355743
2026-08-18,COHR,True,True,False,False,False,False,False,True,False,True,False,False,False,-0.0002202660234470466,0.12690617315243527,0.03884680789224772,-0.009514212005340972,1.3536983674941716
2026-08-18,LITE,True,True,False,True,True,False,True,False,True,True,False,False,False,0.07823170783928823,0.10273058384439243,0.1264725247281231,0.0671835729525414,1.1508995709583907
2026-08-18,AAOI,True,True,False,True,False,False,True,False,True,True,False,False,False,0.10813628428288524,0.13481470359545544,0.00940978747875581,0.12637832376009017,1.169949042556632
2026-08-18,MXL,True,True,False,True,False,False,False,False,True,True,False,False,False,0.0034816873540610693,0.09989970034205398,0.08853556412887693,-0.13155386025877402,0.7378094725511303
