variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
rv40_mapped_25pct,zero_return,validation_2015_2019,-0.06108811576878248,-0.012547388123488101,0.039002898670092524,-0.30420614629931775,-0.4477157041177607,-0.09904600331300495,-0.12668242739523647,0.4166666666666667,-0.006417528772796348,11.237837837837837,0.19455484896661368
rv40,zero_return,final_2020_2025,-0.07931852026456576,-0.013724175412278328,0.19746692863998533,0.02922913558724159,0.04382588799881228,-0.44771687690655093,-0.03065369236715838,0.3888888888888889,-0.032104282660890306,47.95859323158594,0.7199734571997346
rv40_mapped_25pct,zero_return,final_2020_2025,0.0013348431331072774,0.00022308802678505657,0.04936673215999633,0.02922913558724159,0.04382588799881228,-0.12762018872404868,0.0017480621915348883,0.4166666666666667,-0.008026070665222576,11.989648307896484,0.17999336429993365
rv40,zero_return,full_2006_2025,-0.3991360180877458,-0.02519708740286919,0.17149875390031635,-0.06263972831298405,-0.0921886915980885,-0.6342665984905929,-0.039726335050328056,0.37916666666666665,-0.028504220326478227,42.67467196819086,0.6769383697813122
rv40_mapped_25pct,zero_return,full_2006_2025,-0.06944433589205057,-0.003599330385399724,0.04287468847507909,-0.06263972831298405,-0.0921886915980885,-0.1863400354353102,-0.019315926268830552,0.4,-0.007126055081619557,10.668667992047714,0.16923459244532804
rv40,minus_100pct,development_2006_2014,-0.12078675482047951,-0.014219962136652109,0.1607794732672867,-0.008318346279275895,-0.012069692750816922,-0.46491400172357733,-0.030586220427722962,0.35185185185185186,-0.027025352386797253,37.894569536423845,0.5920529801324503
rv40_mapped_25pct,minus_100pct,development_2006_2014,-0.01022109770162849,-0.0011423802469948674,0.040194868316821675,-0.008318346279275895,-0.012069692750816922,-0.13939299341197497,-0.008195392171675165,0.37962962962962965,-0.006756338096699313,9.473642384105961,0.14801324503311258
rv40,minus_100pct,validation_2015_2019,-0.2577118244017661,-0.057951298932682804,0.1560115946803701,-0.30420614629931775,-0.4477157041177607,-0.36549957596095395,-0.15855366939980717,0.4166666666666667,-0.025670115091185393,44.95135135135135,0.7782193958664547
rv40_mapped_25pct,minus_100pct,validation_2015_2019,-0.06108811576878248,-0.012547388123488101,0.039002898670092524,-0.30420614629931775,-0.4477157041177607,-0.09904600331300495,-0.12668242739523647,0.4166666666666667,-0.006417528772796348,11.237837837837837,0.19455484896661368
rv40,minus_100pct,final_2020_2025,-0.07931852026456576,-0.013724175412278328,0.19746692863998533,0.02922913558724159,0.04382588799881228,-0.44771687690655093,-0.03065369236715838,0.3888888888888889,-0.032104282660890306,47.95859323158594,0.7199734571997346
