group,source_variant,filter_reason,symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,exit_date,exit_price,exit_reason,pnl,return
baseline_only,matched_baseline,portfolio_path,INTC,2025-02-12,2025-02-13,22.862840152740475,20,normal,True,0.15832514102223438,2.0477640622514173,2025-03-04,21.012779127580714,stop,-39.00122050319521,-0.08510778289205342
baseline_only,matched_baseline,portfolio_path,WDC,2025-02-18,2025-02-19,53.97184286902098,8,normal,True,0.11533293096187947,1.2485357622920328,2025-02-24,49.60444134405981,stop,-36.93921219968939,-0.08535436228951114
baseline_only,matched_baseline,atr_pct+close_location,CEG,2025-05-23,2025-05-27,302.5732085031184,1,normal,True,0.21575969311201093,1.7195935674853988,2025-06-05,297.3724630853819,signal,-7.200745417736471,-0.023719963475177692
baseline_only,matched_baseline,close_location,NVDA,2025-05-29,2025-05-30,138.66438536926722,3,normal,True,0.12266638933021601,1.7216339604212731,2025-06-17,144.15350406998544,signal,14.467356102154667,0.03469446893851309
common,matched_baseline,,MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667
common,matched_baseline,,WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645
baseline_only,matched_baseline,atr_pct,LITE,2025-06-18,2025-06-20,90.43534622192382,5,normal,True,0.07775349271153931,1.221608441079519,2025-07-09,91.36853908538818,signal,2.665964317321766,0.005882835843742592
baseline_only,matched_baseline,atr_pct,INTC,2025-07-08,2025-07-09,23.313290916442867,20,normal,True,0.05430070457107328,1.2446880119694455,2025-07-11,23.53643946647644,signal,2.462971000671473,0.00527102754804559
baseline_only,matched_baseline,atr_pct+close_location,COHR,2025-07-15,2025-07-16,95.91581969451903,5,normal,True,0.11013408734628105,1.4078742564900772,2025-08-14,91.00889847564697,signal,-26.5346060943603,-0.05521381637007134
baseline_only,matched_baseline,close_location,NVDA,2025-07-15,2025-07-16,171.00330656319807,2,normal,True,0.07080499811621266,1.259288744737661,2025-08-14,179.33139729821693,signal,14.656181470037723,0.042728568223368325
common,matched_baseline,,LITE,2025-07-15,2025-07-16,98.1980984725952,4,normal,True,0.05851907338361295,1.6159170396458533,2025-08-14,117.19268756103517,signal,73.97835635375986,0.18786131347766222
common,matched_baseline,,GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,2025-09-30,79.6362386835006,signal,79.70207905555628,0.16717737379022754
common,matched_baseline,,NOK,2025-09-04,2025-09-05,4.54453996181488,106,normal,True,0.10520080259704767,2.853243812887454,2025-09-30,4.705290038108826,signal,15.03950808715831,0.031155679441958566
common,matched_baseline,,MU,2025-09-05,2025-09-08,130.47115444503285,3,normal,True,0.16688975317568056,1.5987176951819895,2025-10-07,194.4649377694192,signal,189.98134997315913,0.48413565721858526
baseline_only,matched_baseline,close_location,CEG,2025-10-03,2025-10-06,366.5144884715011,1,normal,True,0.04573182454826097,1.4284954007744495,2025-10-21,367.50844823984687,signal,-1.0060402316542536,-0.002737416518838187
common,matched_baseline,,NOK,2025-10-10,2025-10-13,5.2752699809074395,96,normal,True,0.1105289202279982,1.4798952658858116,2025-11-11,6.8931000952720645,signal,153.31169097900397,0.30213610596160506
baseline_only,matched_baseline,atr_pct,INTC,2025-10-28,2025-10-29,41.641598472595206,12,normal,True,0.12524818052260933,1.4770417751744733,2025-11-04,38.10185939025879,stop,-44.47686898803704,-0.08882952202875638
common,matched_baseline,,AVGO,2025-10-29,2025-10-30,384.63087940227877,1,normal,True,0.0530952160516287,1.2043002456801046,2025-11-04,353.50654864104644,stop,-33.12433076123233,-0.08589646869715016
baseline_only,matched_baseline,atr_pct,AVGO,2025-11-26,2025-11-28,397.52158224122115,1,normal,True,0.08672691949898659,1.259950604034626,2025-12-12,365.3541358062615,stop,-34.16744643495963,-0.0857354982954936
baseline_only,matched_baseline,atr_pct,MXL,2025-12-01,2025-12-02,16.396379159927367,31,normal,True,0.08909808774109929,1.5665292438726046,2025-12-26,17.522460914611816,signal,32.908534395218,0.06461677929516477
baseline_only,matched_baseline,atr_pct,TTMI,2025-12-04,2025-12-05,72.87280305480957,7,normal,True,0.03383884116464464,1.2962186406067677,2025-12-17,68.7511796951294,signal,-30.85136351776123,-0.06036153933913621
common,matched_baseline,,TSLA,2025-12-12,2025-12-15,469.90944244384764,1,normal,True,0.11474936654233336,1.2301213960546282,2025-12-30,460.62890634155275,signal,-11.280536102294889,-0.02395478851252809
baseline_only,matched_baseline,atr_pct,LRCX,2025-12-19,2025-12-22,175.52157895242124,2,normal,True,0.14039071105994716,3.615373518456126,2026-01-23,217.23864003519714,signal,81.4341221655518,0.2313185765353335
baseline_only,matched_baseline,atr_pct,ALAB,2026-01-02,2026-01-05,185.16497572326656,2,normal,True,0.14974673442928177,1.2314310988089137,2026-01-05,170.18142588773983,stop,-31.96709967105346,-0.08608812606288326
common,matched_baseline,,KLAC,2026-01-05,2026-01-06,136.7155558124338,3,normal,True,0.07203422635182255,1.639138641895584,2026-02-02,139.50344701172645,signal,6.363673597877948,0.015477867393509615
common,matched_baseline,,TER,2026-01-05,2026-01-06,220.99503965232648,2,normal,True,0.05760035713094691,1.5546998405846684,2026-02-05,265.2431580727787,signal,86.49623684090449,0.19525547158228646
baseline_only,matched_baseline,close_location,AMAT,2026-01-28,2026-01-29,340.2328944664334,1,normal,True,0.1362467915831962,1.2152585975600132,2026-02-03,312.7012486462096,stop,-29.531645820223787,-0.08654395956286909
common,matched_baseline,,KO,2026-02-03,2026-02-04,76.3262684597047,6,normal,True,0.07852798969542074,1.4327351203154584,2026-03-05,76.57796570468027,signal,-0.4898165301466406,-0.0010672369706157207
baseline_only,matched_baseline,atr_pct,MRVL,2026-05-13,2026-05-14,181.0162308525025,2,normal,True,0.05835673081218018,1.2557736339403265,2026-05-18,166.368397451918,stop,-31.295666801168977,-0.08620624903400344
baseline_only,matched_baseline,atr_pct,ORCL,2026-05-28,2026-05-29,208.48368966489727,2,normal,True,0.04269332954508309,1.2701933468473616,2026-06-11,178.8680496650589,signal,-61.23127999967676,-0.1464977484555382
common,matched_baseline,,META,2026-07-09,2026-07-10,661.0003668823241,1,normal,True,0.05292065914532196,1.4259067324157644,2026-07-23,607.5122171942064,stop,-55.48814968811769,-0.0838189107801222
candidate_only,risk_filter,capacity_reallocation,META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753
candidate_only,risk_filter,capacity_reallocation,KLAC,2025-06-09,2025-06-10,82.48033538898751,6,normal,True,0.03529567925839605,1.3094071376298344,2025-07-11,91.86536976047829,signal,54.310206228944594,0.10952243654357904
candidate_only,risk_filter,capacity_reallocation,WDC,2025-07-23,2025-07-24,69.0819847411973,7,normal,True,0.06130543969938462,1.2523827595460186,2025-08-22,74.50330922145352,signal,35.949271361793535,0.07418738786205725
candidate_only,risk_filter,capacity_reallocation,CEG,2025-07-30,2025-07-31,348.00002547256435,1,normal,True,0.04726915449153046,1.3536050591358055,2025-08-12,330.9769778783613,signal,-19.023047594203035,-0.054507295718517014
