,v9_core_70,v9_core_plus_rsr1,v9_core_plus_rsr2,v9_core_plus_rsr1_sgov_proxy,v9_core_plus_rsr2_sgov_proxy
2026-02-09,6002.358122319091,6095.218032757874,6106.931038531052,6099.215497431285,6111.024293087634
2026-02-10,5987.0885891084,6079.948499547183,6091.66150532036,6084.13446891536,6095.944440245904
2026-02-11,5992.171194302977,6085.03110474176,6096.744110514937,6089.217074109937,6101.027045440481
2026-02-12,5917.168964578193,6010.028875016976,6021.741880790153,6014.591853774687,6026.4041764536205
2026-02-13,5922.982367897876,6015.84227833666,6027.555284109837,6021.159275873438,6032.976301249152
2026-02-17,5924.235207297386,6017.095117736169,6028.808123509347,6022.412115272948,6034.229140648662
2026-02-18,5949.99190302003,6042.851813458813,6054.56481923199,6048.545674030549,6060.365049841863
2026-02-19,5936.583599514512,6029.443509953295,6041.156515726472,6035.325875219797,6047.146426705306
2026-02-20,5969.838809160137,6062.69871959892,6074.411725372098,6068.958094254956,6080.780997088856
2026-02-23,5923.204378439529,6016.064288878312,6027.77729465149,6022.700526569305,6034.525779838804
2026-02-24,5960.294152068369,6053.154062507152,6064.8670682803295,6059.790300198145,6071.615553467644
2026-02-25,6007.931959854912,6100.791870293695,6112.504876066872,6107.616612679454,6119.443041623148
2026-02-26,5970.902370628101,6063.7622810668845,6075.475286840062,6070.964179196754,6082.792960401629
2026-02-27,5954.171237108931,6047.031147547714,6058.744153320891,6054.60990871254,6066.441040353015
2026-03-02,5958.079791485132,6050.939701923915,6062.652707697092,6058.745312682599,6070.577859148386
2026-03-03,5917.491680030026,6010.351590468809,6022.064596241987,6018.535235099064,6030.370139302774
2026-03-04,5963.298251306155,6056.158161744938,6067.871167518116,6064.341806375193,6076.176710578903
2026-03-05,5945.3835860616055,6038.243496500389,6049.956502273566,6046.616231243717,6058.452314772784
2026-03-06,5886.999319098035,5979.859229536818,5991.572235309995,5988.987885668711,6000.828683760835
2026-03-09,5932.1943326711025,6025.054243109886,6036.767248883063,6034.3718430002755,6046.2138195049665
2026-03-10,5928.899867591957,6021.759778030741,6033.472783803918,6031.07737792113,6042.919354425821
2026-03-11,5926.032442789687,6018.89235322847,6030.605359001647,6028.588133345006,6040.432468500412
2026-03-12,5859.242345431052,5952.102255869835,5963.8152616430125,5961.986833390291,5973.832346045474
2026-03-13,5835.705255936258,5928.565166375041,5940.278172148219,5939.016867880141,5950.865917598605
2026-03-16,5878.9100575548055,5971.769967993589,5983.482973766766,5982.221669498688,5994.070719217152
2026-03-17,5894.237054528146,5987.096964966929,5998.809970740106,5997.926553989022,6009.7779605326195
2026-03-18,5837.087807420479,5929.947717859262,5941.66072363244,5940.9663969944295,5952.818982863384
2026-03-19,5825.724280594388,5918.584191033171,5930.297196806348,5929.602870168338,5941.455456037293
2026-03-20,5759.610965432883,5852.470875871666,5864.1838816448435,5864.056532636901,5875.912654656346
2026-03-23,5803.1588729149,5896.018783353683,5907.73178912686,5907.604440118917,5919.460562138363
2026-03-24,5782.749726674615,5875.609637113398,5887.3226428865755,5887.762125154123,5899.621782411268
2026-03-25,5806.955715722998,5899.815626161781,5911.528631934959,5911.9681142025065,5923.827771459652
2026-03-26,5723.320518800813,5816.180429239596,5827.893435012774,5828.522300102548,5840.383138510631
2026-03-27,5651.512191427152,5744.372101865935,5756.085107639113,5757.280657649801,5769.145030382793
2026-03-30,5630.395694432705,5723.255604871488,5734.968610644665,5736.353250768427,5748.218802826777
2026-03-31,5750.925676772595,5843.785587211378,5855.498592984555,5856.883233108317,5868.748785166667
2026-04-01,5786.185997468155,5879.045907906938,5890.758913680115,5893.493843632868,5905.362114894191
2026-04-02,5786.185997468155,5879.045907906938,5890.758913680115,5895.842232892356,5907.715233321384
2026-04-06,5786.185997468155,5879.045907906938,5890.758913680115,5896.429216889854,5908.30339938261
2026-04-07,5786.185997468155,5879.045907906938,5890.758913680115,5897.016200887351,5908.891565443837
2026-04-08,5786.185997468155,5879.045907906938,5890.758913680115,5897.016200887351,5908.891565443837
2026-04-09,5786.185997468155,5879.045907906938,5890.758913680115,5897.603184884849,5909.479731505064
2026-04-10,5786.185997468155,5879.045907906938,5890.758913680115,5899.951574144336,5911.832849932256
2026-04-13,5786.185997468155,5879.045907906938,5890.758913680115,5900.538558141834,5912.421015993483
2026-04-14,5786.185997468155,5879.045907906938,5890.758913680115,5900.538558141834,5912.421015993483
2026-04-15,5786.185997468155,5879.045907906938,5890.758913680115,5901.712979406325,5913.597802298222
2026-04-16,5786.185997468155,5879.045907906938,5890.758913680115,5901.712979406325,5913.597802298222
2026-04-17,5786.185997468155,5879.045907906938,5890.758913680115,5903.473478129323,5915.3618462996155
2026-04-20,5786.185997468155,5879.045907906938,5890.758913680115,5904.060915396314,5915.950466543127
2026-04-21,5786.185997468155,5879.045907906938,5890.758913680115,5905.234883391311,5917.126798665581
2026-04-22,5786.185997468155,5879.045907906938,5890.758913680115,5905.822320658303,5917.7154189090925
2026-04-23,5786.185997468155,5879.045907906938,5890.758913680115,5906.409304655801,5918.303584970319
2026-04-24,5786.185997468155,5879.045907906938,5890.758913680115,5908.169803378798,5920.067628971712
2026-04-27,5786.185997468155,5879.045907906938,5890.758913680115,5908.169803378798,5920.067628971712
2026-04-28,5786.185997468155,5879.045907906938,5890.758913680115,5909.345131182283,5921.245323641026
2026-04-29,5786.185997468155,5879.045907906938,5890.758913680115,5909.931661910284,5921.833035519965
2026-04-30,5786.185997468155,5879.045907906938,5890.758913680115,5909.931661910284,5921.833035519965
2026-05-01,5782.136376077712,5874.996286516495,5886.709292289673,5906.58476995231,5918.490649096018
2026-05-04,5770.903593061592,5863.763503500375,5875.476509273552,5895.5369232272715,5907.443988085871
2026-05-05,5813.30633770912,5906.166248147903,5917.879253921081,5938.1246041658815,5950.032854739372
2026-05-06,5884.098967084305,5976.958877523088,5988.671883296265,6009.102169832147,6021.011606120528
2026-05-07,5875.283573324644,5968.143483763427,5979.856489536604,6000.471712363568,6012.38233436684
2026-05-08,5941.175531314285,6034.035441753068,6045.748447526245,6066.918479226453,6078.832658374398
2026-05-11,5952.0827194060375,6044.942629844821,6056.655635617998,6078.010461241088,6089.925825191133
2026-05-12,5930.767358247927,6023.6272686867105,6035.340274459888,6056.880178742258,6068.796729319985
2026-05-13,5964.805834935811,6057.665745374594,6069.378751147771,6091.103591721223,6103.021328013841
2026-05-14,5996.528511831732,6089.388422270516,6101.101428043693,6123.011204908225,6134.930126915735
2026-05-15,5938.624647205212,6031.484557643995,6043.197563417172,6065.662149154949,6077.5846283071305
2026-05-18,5928.00411375872,6020.864024197504,6032.577029970681,6055.226409631339,6067.150073585622
2026-05-19,5901.11526075402,5993.975171192803,6005.68817696598,6028.52263528592,6040.447485867883
2026-05-20,5957.142456544612,6050.002366983395,6061.715372756573,6084.734767367593,6096.6608036644475
2026-05-21,5965.357241583605,6058.217152022388,6069.930157795566,6092.949552406586,6104.87558870344
2026-05-22,5982.662128170637,6075.52203860942,6087.235044382597,6111.178978080825,6123.110942039343
2026-05-26,6034.830775235327,6127.69068567411,6139.403691447287,6163.532561436597,6175.465711110005
2026-05-27,6031.972846938981,6124.832757377764,6136.545763150942,6160.859711799532,6172.794048100622
2026-05-28,6062.075083807686,6154.934994246469,6166.648000019646,6190.961948668237,6202.896284969326
2026-05-29,6075.496367974557,6168.35627841334,6180.0692841865175,6204.7531054172705,6216.689813148142
2026-06-01,6094.588595686049,6187.448506124832,6199.16151189801,6224.383342554473,6236.323499720735
2026-06-02,6107.753275315884,6200.613185754667,6212.3261915278445,6237.548022184307,6249.488179350569
2026-06-03,6086.9191647352645,6179.779075174048,6191.492080947225,6216.8994173675665,6228.8407638998815
2026-06-04,6084.117536408944,6176.977446847727,6188.690452620905,6214.283152436926,6226.225687422503
2026-06-05,5922.450501543338,6015.310411982121,6027.023417755298,6053.172634862957,6065.118737946693
2026-06-08,5960.206153722042,6053.066064160825,6064.779069934002,6091.1137928055405,6103.061085255329
2026-06-09,5929.363665773827,6022.22357621261,6033.936581985788,6060.4568106212055,6072.405292437046
2026-06-10,5854.247211153695,5947.1071215924785,5958.820127365656,5985.525861764952,5997.475532946846
2026-06-11,5959.256541628919,6052.116452067702,6063.8294578408795,6090.720555635856,6102.671415271012
2026-06-12,5983.141813429536,6076.0017238683195,6087.714729641497,6114.976838964231,6126.9300773314935
2026-06-15,6087.946576140068,6180.806486578851,6192.5194923520285,6220.152613202521,6232.108230301889
2026-06-16,6032.838623344416,6125.698533783199,6137.411539556377,6165.230166170749,6177.18697263617
2026-06-17,5984.4352171891005,6077.295127627884,6089.008133401061,6117.012265779313,6128.970261610787
2026-06-18,6060.468233776572,6153.328144215355,6165.041149988532,6193.787163054101,6205.749915436997
2026-06-22,6048.264698840021,6141.124609278804,6152.837615051982,6181.769133881429,6193.733075630378
2026-06-23,5944.755793877154,6037.615704315937,6049.328710089115,6078.445734682442,6090.410865797444
2026-06-24,5934.68868675072,6027.548597189503,6039.261602962681,6068.564133319887,6080.530453800941
2026-06-25,5954.991337344051,6047.851247782834,6059.564253556012,6089.052147308898,6101.019656243215
2026-06-26,5910.388942243208,6003.248852681991,6014.961858455168,6044.820763735813,6056.790651402235
2026-06-29,5997.016528605256,6089.876439044039,6101.589444817217,6131.819361625619,6143.791628024148
2026-06-30,6050.310509533631,6143.1704199724145,6154.883425745592,6185.113342553995,6197.085608952523
2026-07-01,6013.704270600218,6106.564181039001,6118.277186812178,6148.990870762301,6160.966238823031
2026-07-02,5973.154329980991,6066.014240419774,6077.7272461929515,6109.185088721583,6121.1652279383825
2026-07-06,6022.191874876866,6115.051785315649,6126.764791088826,6158.222633617458,6170.202772834257
2026-07-07,5971.8795413178395,6064.739451756623,6076.4524575298,6108.282308163586,6120.264832502025
2026-07-08,5971.413924550245,6064.273834989028,6075.986840762205,6108.002766632669,6119.986483988322
2026-07-09,6024.786303051313,6117.646213490096,6129.359219263273,6161.561220370413,6173.546130743282
2026-07-10,6040.61869214423,6140.688257673346,6152.401263446523,6184.843527710264,6196.830823204774
2026-07-13,5982.937372374572,6070.526896399781,6082.239902172959,6114.922429593301,6126.9121102094505
2026-07-14,6014.331769287795,6106.2312908715985,6117.944296644776,6150.626824065118,6162.6165046812675
2026-07-15,6016.865386569809,6129.034927684862,6140.747933458039,6173.670815984144,6185.662882634723
2026-07-16,5969.867993038813,6065.2675146226165,6076.980520395794,6110.023580474779,6122.0168401425735
2026-07-17,5917.0379488017625,5993.907502123847,6005.620507897024,6039.024008685492,6051.020846492141
2026-07-20,5915.851690792512,5992.561209934909,6004.274215708087,6037.797802100275,6049.795832011348
2026-07-21,5972.102545141746,6046.772086256799,6058.485092029977,6092.128855975046,6104.128078903334
2026-07-22,5958.768516383209,6016.798042849825,6028.511048623002,6062.154812568071,6074.15403549636
2026-07-23,5892.509776865494,5929.88153761616,5941.594543389338,5975.4187870852365,5987.419203030741
2026-07-24,5871.384212027735,5908.755972778401,5920.468978551578,5954.834523412937,5966.838517497296
2026-07-27,5865.4918989641665,5902.8636597148325,5914.57666548801,5949.122690100199,5961.127877201773
2026-07-28,5850.547011606563,5887.918772357229,5899.631778130406,5934.3582824934265,5946.364662612215
2026-07-29,5777.062001844477,5814.433762595143,5826.14676836832,5861.23409414597,5873.242859386399
2026-07-30,5877.116106144395,5914.487866895061,5926.200872668239,5961.468678196718,5973.4786364543625
2026-07-31,5905.509141794223,5942.880902544889,5954.5939083180665,5990.222535261175,6002.234878640459
2026-08-03,5971.802353935206,6009.174114685872,6020.88712045905,6056.823405309466,6068.837782386038
2026-08-04,6081.777720995184,6119.14948174585,6130.862487519027,6166.979804468401,6178.995378213352
2026-08-05,6057.747694064365,6095.119454815031,6106.832460588208,6143.311703648467,6155.329669817382
2026-08-06,6046.315786227158,6083.687546977824,6095.400552751002,6132.060827910219,6144.079990747511
2026-08-07,6084.750359204437,6122.122119955103,6133.83512572828,6170.857465085414,6182.879021259461
