initial_nav,slippage,period_name,symbol,signal_date,group,baseline_pnl,candidate_pnl,pnl_delta,partial_exit_status
5751.77,0.002,full,TER,2026-01-05,common,85.52367097665149,102.46341198552688,16.939741008875387,executed
5751.77,0.002,full,TSLA,2025-12-12,common,-12.211066101074323,-12.211066101074323,0.0,
5751.77,0.002,full,TTMI,2024-10-16,common,-25.739760040283215,-25.739760040283215,0.0,
5751.77,0.002,full,WDC,2025-02-18,candidate_only,0.0,-37.37174610702476,-37.37174610702476,
5751.77,0.002,full,WDC,2025-06-05,common,63.338874088065495,68.66901865894636,5.3301445708808615,executed
5751.77,0.002,full,WDC,2025-07-23,common,34.94413534964758,34.94413534964758,0.0,
5751.77,0.002,heldout_2026,KLAC,2026-01-05,common,17.66565176921796,17.66565176921796,0.0,ineligible_min_notional
5751.77,0.002,heldout_2026,META,2026-07-09,common,-56.46755371093752,-56.46755371093752,0.0,
5751.77,0.002,heldout_2026,TER,2026-01-05,common,85.52367097665149,102.46341198552688,16.939741008875387,executed
6000.0,0.001,development_2024_2025,AVGO,2025-10-29,common,-33.12433076123233,-33.12433076123233,0.0,
6000.0,0.001,development_2024_2025,CEG,2025-07-30,common,-19.023047594203035,-19.023047594203035,0.0,
6000.0,0.001,development_2024_2025,COHR,2024-11-07,common,-37.222439756165784,-37.222439756165784,0.0,
6000.0,0.001,development_2024_2025,GLW,2025-08-28,common,79.70207905555628,73.22495181208546,-6.477127243470818,executed
6000.0,0.001,development_2024_2025,INTC,2025-02-12,common,21.50185653500955,40.222290179779264,18.720433644769713,executed
6000.0,0.001,development_2024_2025,KLAC,2025-06-09,common,54.310206228944594,54.310206228944594,0.0,
6000.0,0.001,development_2024_2025,LITE,2024-11-06,common,118.86128536987303,95.86331634521486,-22.997969024658175,executed
6000.0,0.001,development_2024_2025,LITE,2025-07-15,common,92.97294544219983,90.73419519805913,-2.2387502441407037,executed
6000.0,0.001,development_2024_2025,META,2025-01-24,common,66.30929259994684,66.30929259994684,0.0,ineligible_whole_shares
6000.0,0.001,development_2024_2025,MRVL,2024-11-06,common,96.52956811861736,105.23514295454811,8.705574835930747,executed
6000.0,0.001,development_2024_2025,MU,2025-06-03,common,72.57155318913652,68.19540312841926,-4.376150060717265,executed
6000.0,0.001,development_2024_2025,MU,2025-09-05,common,253.97513329754543,170.3465437230688,-83.62858957447662,executed
6000.0,0.001,development_2024_2025,NOK,2024-10-18,common,-15.826812728545121,-15.826812728545121,0.0,
6000.0,0.001,development_2024_2025,NOK,2025-09-04,common,16.48625877380391,16.325508697509918,-0.16075007629399352,
6000.0,0.001,development_2024_2025,NOK,2025-10-10,common,166.25433189392095,123.80692166519174,-42.44741022872921,executed
6000.0,0.001,development_2024_2025,TER,2024-12-13,common,33.25456143526935,33.25456143526935,0.0,
6000.0,0.001,development_2024_2025,TSLA,2025-12-12,common,-11.280536102294889,-11.280536102294889,0.0,
6000.0,0.001,development_2024_2025,TTMI,2024-10-16,common,-25.90942002105703,-25.90942002105703,0.0,
6000.0,0.001,development_2024_2025,WDC,2025-02-18,candidate_only,0.0,-41.30661372465056,-41.30661372465056,
6000.0,0.001,development_2024_2025,WDC,2025-06-05,common,64.29827404070573,69.63476144181786,5.336487401112123,executed
6000.0,0.001,development_2024_2025,WDC,2025-07-23,common,35.949271361793535,35.949271361793535,0.0,
6000.0,0.001,full,AVGO,2025-10-29,common,-33.12433076123233,-33.12433076123233,0.0,
6000.0,0.001,full,CEG,2025-07-30,common,-19.023047594203035,-19.023047594203035,0.0,
6000.0,0.001,full,COHR,2024-11-07,common,-37.222439756165784,-37.222439756165784,0.0,
6000.0,0.001,full,GLW,2025-08-28,common,79.70207905555628,73.22495181208546,-6.477127243470818,executed
6000.0,0.001,full,INTC,2025-02-12,common,21.50185653500955,40.222290179779264,18.720433644769713,executed
6000.0,0.001,full,KLAC,2025-06-09,common,54.310206228944594,54.310206228944594,0.0,
6000.0,0.001,full,KLAC,2026-01-05,common,24.768905828074594,62.67894638976321,37.91004056168862,executed
6000.0,0.001,full,LITE,2024-11-06,common,118.86128536987303,95.86331634521486,-22.997969024658175,executed
6000.0,0.001,full,LITE,2025-07-15,common,92.97294544219983,90.73419519805913,-2.2387502441407037,executed
6000.0,0.001,full,META,2025-01-24,common,66.30929259994684,66.30929259994684,0.0,ineligible_whole_shares
6000.0,0.001,full,META,2026-07-09,common,-55.48814968811769,-55.48814968811769,0.0,
6000.0,0.001,full,MRVL,2024-11-06,common,96.52956811861736,105.23514295454811,8.705574835930747,executed
6000.0,0.001,full,MU,2025-06-03,common,72.57155318913652,68.19540312841926,-4.376150060717265,executed
6000.0,0.001,full,MU,2025-09-05,common,253.97513329754543,170.3465437230688,-83.62858957447662,executed
6000.0,0.001,full,NOK,2024-10-18,common,-15.826812728545121,-15.826812728545121,0.0,
6000.0,0.001,full,NOK,2025-09-04,common,16.48625877380391,16.325508697509918,-0.16075007629399352,
6000.0,0.001,full,NOK,2025-10-10,common,166.25433189392095,123.80692166519174,-42.44741022872921,executed
6000.0,0.001,full,TER,2024-12-13,common,33.25456143526935,33.25456143526935,0.0,
6000.0,0.001,full,TER,2026-01-05,common,86.49623684090449,103.45395354217348,16.957716701268993,executed
6000.0,0.001,full,TSLA,2025-12-12,common,-11.280536102294889,-11.280536102294889,0.0,
6000.0,0.001,full,TTMI,2024-10-16,common,-25.90942002105703,-25.90942002105703,0.0,
6000.0,0.001,full,WDC,2025-02-18,candidate_only,0.0,-41.30661372465056,-41.30661372465056,
6000.0,0.001,full,WDC,2025-06-05,common,64.29827404070573,69.63476144181786,5.336487401112123,executed
6000.0,0.001,full,WDC,2025-07-23,common,35.949271361793535,35.949271361793535,0.0,
6000.0,0.001,heldout_2026,KLAC,2026-01-05,common,18.07667937105589,18.07667937105589,0.0,ineligible_min_notional
6000.0,0.001,heldout_2026,META,2026-07-09,common,-55.48814968811769,-55.48814968811769,0.0,
6000.0,0.001,heldout_2026,TER,2026-01-05,common,86.49623684090449,103.45395354217348,16.957716701268993,executed
6000.0,0.002,development_2024_2025,AVGO,2025-10-29,common,-33.50963791470832,-33.50963791470832,0.0,
6000.0,0.002,development_2024_2025,CEG,2025-07-30,common,-30.50877395488908,-30.50877395488908,0.0,
6000.0,0.002,development_2024_2025,COHR,2024-11-07,common,-37.65847991089356,-37.65847991089356,0.0,
6000.0,0.002,development_2024_2025,COHR,2025-08-07,common,-96.16265954589846,-96.16265954589846,0.0,
6000.0,0.002,development_2024_2025,GLW,2025-08-28,common,78.6687910576756,75.76560919652599,-2.903181861149619,executed
6000.0,0.002,development_2024_2025,INTC,2025-02-12,common,21.020705665795106,39.48205877514718,18.461353109352075,executed
6000.0,0.002,development_2024_2025,KLAC,2025-06-09,common,53.26407464171007,53.26407464171007,0.0,
6000.0,0.002,development_2024_2025,LITE,2024-11-06,common,117.8625853881835,94.88663635253906,-22.975949035644447,executed
6000.0,0.002,development_2024_2025,LITE,2025-07-15,common,91.89589546203626,89.65838520812991,-2.2375102539063505,executed
6000.0,0.002,development_2024_2025,META,2025-01-24,common,64.99261058983438,64.99261058983438,0.0,ineligible_whole_shares
6000.0,0.002,development_2024_2025,MRVL,2024-11-06,common,95.51702594530059,104.21288549110545,8.695859545804865,executed
6000.0,0.002,development_2024_2025,MU,2025-06-03,common,71.67913066892822,67.30636013780128,-4.372770531126946,executed
6000.0,0.002,development_2024_2025,MU,2025-09-05,common,189.0063487401644,189.0063487401644,0.0,ineligible_min_notional
