omitted_symbol,baseline_return,candidate_return,return_delta,baseline_drawdown,candidate_drawdown,drawdown_delta,baseline_sharpe,candidate_sharpe,sharpe_delta,baseline_win_rate,candidate_win_rate,win_rate_delta
LITE,0.009404460950759752,0.10717797239425764,0.09777351144349788,-0.051248664402273825,-0.023772339656420782,0.027476324745853042,0.10152708272335684,1.2038156680630905,1.1022885853397337,0.375,0.5833333333333334,0.20833333333333337
AAOI,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
MXL,0.05601505816675134,0.17812804693764828,0.12211298877089694,-0.05092005417746481,-0.023264548820919773,0.02765550535654504,0.48419213333046435,1.7734446039927196,1.2892524706622552,0.4318181818181818,0.6666666666666666,0.2348484848484848
AXTI,0.06599226409532433,0.17812804693764828,0.11213578284232395,-0.046558925728967915,-0.023264548820919773,0.023294376908048142,0.5433880680081392,1.7734446039927196,1.2300565359845805,0.45454545454545453,0.6666666666666666,0.2121212121212121
CRDO,0.06506979851608952,0.17812804693764828,0.11305824842155876,-0.047454426114015846,-0.023264548820919773,0.024189877293096074,0.5325669627192139,1.7734446039927196,1.2408776412735056,0.45454545454545453,0.6666666666666666,0.2121212121212121
SMCI,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
ORCL,0.06929490800603522,0.17812804693764828,0.10883313893161306,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.5714613211717028,1.7734446039927196,1.2019832828210169,0.45454545454545453,0.6666666666666666,0.2121212121212121
META,0.0683377196207755,0.15332001097338366,0.08498229135260815,-0.05323371311955594,-0.023450203205366504,0.029783509914189432,0.5576135750904981,1.551656563439854,0.9940429883493559,0.45454545454545453,0.625,0.17045454545454547
TER,0.0511902078347537,0.15814278887890332,0.10695258104414962,-0.05171689293364978,-0.02568371966689076,0.026033173266759024,0.4445476258243817,1.666946497164341,1.2223988713399594,0.42857142857142855,0.6363636363636364,0.2077922077922078
ASML,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
AMAT,0.06401163564279311,0.17812804693764828,0.11411641129485517,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.5251010970254608,1.7734446039927196,1.2483435069672588,0.45454545454545453,0.6666666666666666,0.2121212121212121
KLAC,0.053853416912359675,0.17229530919217972,0.11844189227982005,-0.055726331843883314,-0.020633723913872193,0.03509260793001112,0.4791298277300628,1.8658333289221503,1.3867035011920874,0.4,0.6521739130434783,0.25217391304347825
LRCX,0.049920809198515714,0.17812804693764828,0.12820723773913256,-0.0509044376877309,-0.023264548820919773,0.027639888866811124,0.42878625867496106,1.7734446039927196,1.3446583453177585,0.4318181818181818,0.6666666666666666,0.2348484848484848
RKLB,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
RDW,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
TSLA,0.06096978402313846,0.1800081362880308,0.11903835226489234,-0.05323371311955594,-0.021690253088545552,0.031543460031010384,0.5008466544170689,1.798793594254173,1.2979469398371042,0.45454545454545453,0.6956521739130435,0.24110671936758893
QCOM,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
NVDA,0.04716066709784816,0.17812804693764828,0.1309673798398001,-0.05199473082539241,-0.023264548820919773,0.028730182004472637,0.3894898281376344,1.7734446039927196,1.3839547758550852,0.391304347826087,0.6666666666666666,0.27536231884057966
AMD,0.05908969467275593,0.17812804693764828,0.11903835226489234,-0.05323371311955594,-0.023264548820919773,0.029969164298636164,0.4855883204836664,1.7734446039927196,1.2878562835090532,0.4444444444444444,0.6666666666666666,0.2222222222222222
INTC,0.0700713049131203,0.17812804693764828,0.10805674202452797,-0.04939674906547775,-0.023264548820919773,0.02613220024455798,0.591261890774911,1.7734446039927196,1.1821827132178087,0.4418604651162791,0.6666666666666666,0.22480620155038755
GLW,0.05383563086721366,0.17314362148450035,0.1193079906172867,-0.05323371311955594,-0.023362055414293592,0.029871657705262344,0.4442774627979792,1.7262010325777672,1.2819235697797882,0.4444444444444444,0.6666666666666666,0.2222222222222222
NOK,0.04628229736069445,0.16091217786067658,0.11462988049998213,-0.04958781011495439,-0.020353474061837407,0.029234336053116983,0.4075971657960979,1.7637201969828529,1.356123031186755,0.4523809523809524,0.6818181818181818,0.22943722943722938
TTMI,0.0685434065642263,0.1841239276821156,0.1155805211178893,-0.053043593562458025,-0.023267263292666485,0.02977633026979154,0.5705677552467135,1.8342737786061396,1.263706023359426,0.46511627906976744,0.6956521739130435,0.23053589484327602
CEG,0.07083055060500532,0.1541766326753513,0.083346082070346,-0.05339158297774471,-0.02349678781033826,0.02989479516740645,0.5844131082865348,1.5184046008038719,0.933991492517337,0.46511627906976744,0.6666666666666666,0.2015503875968992
KO,0.05387871557153878,0.156834391772668,0.10295567620112922,-0.05890377400457869,-0.024609702212045947,0.03429407179253274,0.4529223324079954,1.5494362690026295,1.0965139365946341,0.4318181818181818,0.6521739130434783,0.22035573122529645
