date,symbol,weight
2007-01-03,IFF,0.2
2007-01-03,SPGI,0.2
2007-01-03,ZBH,0.2
2007-01-04,CSCO,0.2
2007-01-04,HAS,0.2
2007-01-04,IFF,0.2
2007-01-04,SPGI,0.2
2007-01-04,ZBH,0.2
2007-01-05,CSCO,0.2
2007-01-05,HAS,0.2
2007-01-05,IFF,0.2
2007-01-05,SPGI,0.2
2007-01-05,ZBH,0.2
2007-01-08,AZO,0.2
2007-01-08,CSCO,0.2
2007-01-08,HAS,0.2
2007-01-08,MAT,0.2
2007-01-08,ZBH,0.2
2007-01-09,AZO,0.2
2007-01-09,CSCO,0.2
2007-01-09,HAS,0.2
2007-01-09,MAT,0.2
2007-01-09,ZBH,0.2
2007-01-10,AZO,0.2
2007-01-10,CSCO,0.2
2007-01-10,HAS,0.2
2007-01-10,MAT,0.2
2007-01-10,ZBH,0.2
2007-01-11,AZO,0.2
2007-01-11,CSCO,0.2
2007-01-11,HAS,0.2
2007-01-11,MAT,0.2
2007-01-11,ZBH,0.2
2007-01-12,AZO,0.2
2007-01-12,CSCO,0.2
2007-01-12,HAS,0.2
2007-01-12,MAT,0.2
2007-01-12,ZBH,0.2
2007-01-16,CSCO,0.2
2007-01-16,EXPE,0.2
2007-01-16,GS,0.2
2007-01-16,HAS,0.2
2007-01-16,MAT,0.2
2007-01-17,CSCO,0.2
2007-01-17,EXPE,0.2
2007-01-17,GS,0.2
2007-01-17,HAS,0.2
2007-01-17,MAT,0.2
2007-01-18,CSCO,0.2
2007-01-18,EXPE,0.2
2007-01-18,GS,0.2
2007-01-18,HAS,0.2
2007-01-18,MAT,0.2
2007-01-19,CSCO,0.2
2007-01-19,EXPE,0.2
2007-01-19,GS,0.2
2007-01-19,HAS,0.2
2007-01-19,MAT,0.2
2007-01-22,GS,0.2
2007-01-22,HAS,0.2
2007-01-22,IFF,0.2
2007-01-22,LBTYA,0.2
2007-01-22,ZBH,0.2
2007-01-23,GS,0.2
2007-01-23,HAS,0.2
2007-01-23,IFF,0.2
2007-01-23,LBTYA,0.2
2007-01-23,ZBH,0.2
2007-01-24,GS,0.2
2007-01-24,HAS,0.2
2007-01-24,IFF,0.2
2007-01-24,LBTYA,0.2
2007-01-24,ZBH,0.2
2007-01-25,GS,0.2
2007-01-25,HAS,0.2
2007-01-25,IFF,0.2
2007-01-25,LBTYA,0.2
2007-01-25,ZBH,0.2
2007-01-26,GS,0.2
2007-01-26,HAS,0.2
2007-01-26,IFF,0.2
2007-01-26,LBTYA,0.2
2007-01-26,ZBH,0.2
2007-01-29,ANF,0.2
2007-01-29,AZO,0.2
2007-01-29,BXP,0.2
2007-01-29,MAT,0.2
2007-01-29,PSA,0.2
2007-01-30,ANF,0.2
2007-01-30,AZO,0.2
2007-01-30,BXP,0.2
2007-01-30,MAT,0.2
2007-01-30,PSA,0.2
2007-01-31,ANF,0.2
2007-01-31,AZO,0.2
2007-01-31,BXP,0.2
2007-01-31,MAT,0.2
2007-01-31,PSA,0.2
2007-02-01,ANF,0.2
2007-02-01,AZO,0.2
2007-02-01,BXP,0.2
2007-02-01,MAT,0.2
2007-02-01,PSA,0.2
2007-02-02,ANF,0.2
2007-02-02,AZO,0.2
2007-02-02,BXP,0.2
2007-02-02,MAT,0.2
2007-02-02,PSA,0.2
2007-02-05,ANF,0.2
2007-02-05,AZO,0.2
2007-02-05,HAS,0.2
2007-02-05,SVU,0.2
2007-02-05,VMC,0.2
2007-02-06,ANF,0.2
2007-02-06,AZO,0.2
2007-02-06,HAS,0.2
2007-02-06,SVU,0.2
2007-02-06,VMC,0.2
2007-02-07,ANF,0.2
2007-02-07,AZO,0.2
2007-02-07,HAS,0.2
2007-02-07,SVU,0.2
2007-02-07,VMC,0.2
2007-02-08,ANF,0.2
2007-02-08,AZO,0.2
2007-02-08,HAS,0.2
2007-02-08,SVU,0.2
2007-02-08,VMC,0.2
2007-02-09,ANF,0.2
2007-02-09,AZO,0.2
2007-02-09,HAS,0.2
2007-02-09,SVU,0.2
2007-02-09,VMC,0.2
2007-02-12,AZO,0.2
2007-02-12,MAT,0.2
2007-02-12,RL,0.2
2007-02-12,ROST,0.2
2007-02-12,VMC,0.2
2007-02-13,AZO,0.2
2007-02-13,MAT,0.2
2007-02-13,RL,0.2
2007-02-13,ROST,0.2
2007-02-13,VMC,0.2
2007-02-14,AZO,0.2
2007-02-14,MAT,0.2
2007-02-14,RL,0.2
2007-02-14,ROST,0.2
2007-02-14,VMC,0.2
2007-02-15,AZO,0.2
2007-02-15,MAT,0.2
2007-02-15,RL,0.2
2007-02-15,ROST,0.2
2007-02-15,VMC,0.2
2007-02-16,AZO,0.2
2007-02-16,MAT,0.2
2007-02-16,RL,0.2
2007-02-16,ROST,0.2
2007-02-16,VMC,0.2
2007-02-20,AZO,0.2
2007-02-20,HAS,0.2
2007-02-20,MAT,0.2
2007-02-20,ROST,0.2
2007-02-20,WY,0.2
2007-02-21,AZO,0.2
2007-02-21,HAS,0.2
2007-02-21,MAT,0.2
2007-02-21,ROST,0.2
2007-02-21,WY,0.2
2007-02-22,AZO,0.2
2007-02-22,HAS,0.2
2007-02-22,MAT,0.2
2007-02-22,ROST,0.2
2007-02-22,WY,0.2
2007-02-23,AZO,0.2
2007-02-23,HAS,0.2
2007-02-23,MAT,0.2
2007-02-23,ROST,0.2
2007-02-23,WY,0.2
2007-02-26,AZO,0.2
2007-02-26,GT,0.2
2007-02-26,MAT,0.2
2007-02-26,RL,0.2
2007-02-26,TPR,0.2
2007-02-27,AZO,0.2
2007-02-27,GT,0.2
2007-02-27,MAT,0.2
2007-02-27,RL,0.2
2007-02-27,TPR,0.2
2007-02-28,AZO,0.2
2007-02-28,GT,0.2
2007-02-28,MAT,0.2
2007-02-28,RL,0.2
2007-02-28,TPR,0.2
2007-03-01,AZO,0.2
2007-03-01,GT,0.2
2007-03-01,MAT,0.2
2007-03-01,RL,0.2
2007-03-01,TPR,0.2
2007-03-02,AZO,0.2
2007-03-02,GT,0.2
2007-03-02,MAT,0.2
2007-03-02,RL,0.2
2007-03-02,TPR,0.2
2007-03-26,AEP,0.2
2007-03-26,EXPE,0.2
2007-03-26,MAT,0.2
2007-03-26,NEE,0.2
2007-03-26,TAP,0.2
2007-03-27,AEP,0.2
2007-03-27,EXPE,0.2
2007-03-27,MAT,0.2
2007-03-27,NEE,0.2
2007-03-27,TAP,0.2
2007-03-28,AEP,0.2
2007-03-28,EXPE,0.2
2007-03-28,MAT,0.2
2007-03-28,NEE,0.2
2007-03-28,TAP,0.2
2007-03-29,AEP,0.2
2007-03-29,EXPE,0.2
2007-03-29,MAT,0.2
2007-03-29,NEE,0.2
2007-03-29,TAP,0.2
2007-03-30,AEP,0.2
2007-03-30,EXPE,0.2
2007-03-30,MAT,0.2
2007-03-30,NEE,0.2
2007-03-30,TAP,0.2
2007-04-09,PEG,0.2
2007-04-09,RL,0.2
2007-04-09,SYK,0.2
2007-04-09,TAP,0.2
2007-04-09,TPR,0.2
2007-04-10,PEG,0.2
2007-04-10,RL,0.2
2007-04-10,SYK,0.2
2007-04-10,TAP,0.2
2007-04-10,TPR,0.2
2007-04-11,PEG,0.2
2007-04-11,RL,0.2
2007-04-11,SYK,0.2
2007-04-11,TAP,0.2
2007-04-11,TPR,0.2
2007-04-12,PEG,0.2
2007-04-12,RL,0.2
2007-04-12,SYK,0.2
2007-04-12,TAP,0.2
2007-04-12,TPR,0.2
2007-04-13,PEG,0.2
2007-04-13,RL,0.2
2007-04-13,SYK,0.2
2007-04-13,TAP,0.2
2007-04-13,TPR,0.2
2007-04-16,PEG,0.2
2007-04-16,RL,0.2
2007-04-16,TAP,0.2
2007-04-16,TPR,0.2
2007-04-16,TSN,0.2
2007-04-17,PEG,0.2
2007-04-17,RL,0.2
2007-04-17,TAP,0.2
2007-04-17,TPR,0.2
2007-04-17,TSN,0.2
2007-04-18,PEG,0.2
2007-04-18,RL,0.2
2007-04-18,TAP,0.2
2007-04-18,TPR,0.2
2007-04-18,TSN,0.2
2007-04-19,PEG,0.2
2007-04-19,RL,0.2
2007-04-19,TAP,0.2
2007-04-19,TPR,0.2
2007-04-19,TSN,0.2
2007-04-20,PEG,0.2
2007-04-20,RL,0.2
2007-04-20,TAP,0.2
2007-04-20,TPR,0.2
2007-04-20,TSN,0.2
2007-04-23,EQT,0.2
2007-04-23,ETR,0.2
2007-04-23,NEE,0.2
2007-04-23,PEG,0.2
2007-04-23,TAP,0.2
2007-04-24,EQT,0.2
2007-04-24,ETR,0.2
2007-04-24,NEE,0.2
2007-04-24,PEG,0.2
2007-04-24,TAP,0.2
2007-04-25,EQT,0.2
2007-04-25,ETR,0.2
2007-04-25,NEE,0.2
2007-04-25,PEG,0.2
2007-04-25,TAP,0.2
2007-04-26,EQT,0.2
2007-04-26,ETR,0.2
2007-04-26,NEE,0.2
2007-04-26,PEG,0.2
2007-04-26,TAP,0.2
2007-04-27,EQT,0.2
2007-04-27,ETR,0.2
2007-04-27,NEE,0.2
2007-04-27,PEG,0.2
2007-04-27,TAP,0.2
2007-04-30,EQT,0.2
2007-04-30,NEE,0.2
2007-04-30,TAP,0.2
2007-04-30,TSN,0.2
2007-04-30,VRSN,0.2
2007-05-01,EQT,0.2
2007-05-01,NEE,0.2
2007-05-01,TAP,0.2
2007-05-01,TSN,0.2
2007-05-01,VRSN,0.2
2007-05-02,EQT,0.2
2007-05-02,NEE,0.2
2007-05-02,TAP,0.2
2007-05-02,TSN,0.2
2007-05-02,VRSN,0.2
2007-05-03,EQT,0.2
2007-05-03,NEE,0.2
2007-05-03,TAP,0.2
2007-05-03,TSN,0.2
2007-05-03,VRSN,0.2
2007-05-04,EQT,0.2
2007-05-04,NEE,0.2
2007-05-04,TAP,0.2
2007-05-04,TSN,0.2
2007-05-04,VRSN,0.2
2007-05-07,ETR,0.2
2007-05-07,EXPE,0.2
2007-05-07,LBTYA,0.2
2007-05-07,PEG,0.2
2007-05-07,TSN,0.2
2007-05-08,ETR,0.2
2007-05-08,EXPE,0.2
2007-05-08,LBTYA,0.2
2007-05-08,PEG,0.2
2007-05-08,TSN,0.2
2007-05-09,ETR,0.2
2007-05-09,EXPE,0.2
2007-05-09,LBTYA,0.2
2007-05-09,PEG,0.2
2007-05-09,TSN,0.2
2007-05-10,ETR,0.2
2007-05-10,EXPE,0.2
2007-05-10,LBTYA,0.2
2007-05-10,PEG,0.2
2007-05-10,TSN,0.2
2007-05-11,ETR,0.2
2007-05-11,EXPE,0.2
2007-05-11,LBTYA,0.2
2007-05-11,PEG,0.2
2007-05-11,TSN,0.2
2007-05-14,ETR,0.2
2007-05-14,EXPE,0.2
2007-05-14,PEG,0.2
2007-05-14,PPL,0.2
2007-05-14,TSN,0.2
2007-05-15,ETR,0.2
2007-05-15,EXPE,0.2
2007-05-15,PEG,0.2
2007-05-15,PPL,0.2
2007-05-15,TSN,0.2
2007-05-16,ETR,0.2
2007-05-16,EXPE,0.2
2007-05-16,PEG,0.2
2007-05-16,PPL,0.2
2007-05-16,TSN,0.2
2007-05-17,ETR,0.2
2007-05-17,EXPE,0.2
2007-05-17,PEG,0.2
2007-05-17,PPL,0.2
2007-05-17,TSN,0.2
2007-05-18,ETR,0.2
2007-05-18,EXPE,0.2
2007-05-18,PEG,0.2
2007-05-18,PPL,0.2
2007-05-18,TSN,0.2
2007-05-21,EXPE,0.2
2007-05-21,HON,0.2
2007-05-21,PEG,0.2
2007-05-21,SVU,0.2
2007-05-21,TSN,0.2
2007-05-22,EXPE,0.2
2007-05-22,HON,0.2
2007-05-22,PEG,0.2
2007-05-22,SVU,0.2
2007-05-22,TSN,0.2
2007-05-23,EXPE,0.2
2007-05-23,HON,0.2
2007-05-23,PEG,0.2
2007-05-23,SVU,0.2
2007-05-23,TSN,0.2
2007-05-24,EXPE,0.2
2007-05-24,HON,0.2
2007-05-24,PEG,0.2
2007-05-24,SVU,0.2
2007-05-24,TSN,0.2
2007-05-25,EXPE,0.2
2007-05-25,HON,0.2
2007-05-25,PEG,0.2
2007-05-25,SVU,0.2
2007-05-25,TSN,0.2
2007-05-29,CVS,0.2
2007-05-29,ESRX,0.2
2007-05-29,LBTYA,0.2
2007-05-29,SVU,0.2
2007-05-29,TSN,0.2
2007-05-30,CVS,0.2
2007-05-30,ESRX,0.2
2007-05-30,LBTYA,0.2
