date,dual_sleeve_v6_multifactor_aggressive
2008-06-06,2.1356719890300986
2008-06-09,2.143836507556808
2008-06-10,2.138587462794687
2008-06-11,2.0804689125685623
2008-06-12,2.0933695892584363
2008-06-13,2.126934284496669
2008-06-16,2.14022657235398
2008-06-17,2.1177647577432404
2008-06-18,2.1103537337268947
2008-06-19,2.140551453666806
2008-06-20,2.106563317936846
2008-06-23,2.0943180930360783
2008-06-24,2.082543982730434
2008-06-25,2.110642406525397
2008-06-26,2.0504074484851365
2008-06-27,2.0424805698548707
2008-06-30,2.0526021283598084
2008-07-01,2.059423558895859
2008-07-02,2.0328780889216276
2008-07-03,2.02326635855925
2008-07-07,2.0214106005221186
2008-07-08,2.0268299377814807
2008-07-09,2.0225031905044855
2008-07-10,2.035287687841096
2008-07-11,2.0410220072556733
2008-07-14,2.0448680013551224
2008-07-15,2.0371272560316416
2008-07-16,2.053919895963409
2008-07-17,2.057541369229793
2008-07-18,2.05050157732244
2008-07-21,2.0577861641911044
2008-07-22,2.0617256587726636
2008-07-23,2.0357056412188204
2008-07-24,2.024316790700777
2008-07-25,2.03400413447223
2008-07-28,2.0251503056513944
2008-07-29,2.035254816972817
2008-07-30,2.0497473601608456
2008-07-31,2.03853423803223
2008-08-01,2.034348354876668
2008-08-04,2.0172686170171406
2008-08-05,2.0316919786032726
2008-08-06,2.0374621483875686
2008-08-07,2.0212940120681124
2008-08-08,2.0325274201360752
2008-08-11,2.03213453228541
2008-08-12,2.0278093413358405
2008-08-13,2.034668406074125
2008-08-14,2.042222468138745
2008-08-15,2.0368558617112567
2008-08-18,2.0318142328688054
2008-08-19,2.0288508250528086
2008-08-20,2.023315735167257
2008-08-21,2.0210180434426293
2008-08-22,2.028510339817193
2008-08-25,2.0165290857519276
2008-08-26,2.0167018429820405
2008-08-27,2.021838697772211
2008-08-28,2.030757876533658
2008-08-29,2.0237452671200464
2008-09-02,2.010307428842139
2008-09-03,2.0100660014248577
2008-09-04,1.9832405370562636
2008-09-05,1.9808904445824131
2008-09-08,1.9938531263128114
2008-09-09,1.9730058463948572
2008-09-10,1.97987634463365
2008-09-11,1.9842431577933948
2008-09-12,1.9809330056705352
2008-09-15,1.9653430566342553
2008-09-16,1.9767796462880187
2008-09-17,1.944023779880488
2008-09-18,1.948023127071843
2008-09-19,1.9666003286629818
2008-09-22,1.9490341611846789
2008-09-23,1.9446615679934938
2008-09-24,1.932798124870567
2008-09-25,1.9415397398749434
2008-09-26,1.9487203088311797
2008-09-29,1.9219516404084673
2008-09-30,1.9402650717590786
2008-10-01,1.9323651492854883
2008-10-02,1.9115374958151596
2008-10-03,1.8987051090496947
2008-10-06,1.8790554302207227
2008-10-07,1.8577159076079062
2008-10-08,1.852325134112404
2008-10-09,1.8071830864456777
2008-10-10,1.8106908101012624
2008-10-13,1.8560131122236458
2008-10-14,1.8558303635296762
2008-10-15,1.8249236765917538
2008-10-16,1.8505022584303545
2008-10-17,1.8405667142324433
2008-10-20,1.8573903962195955
2008-10-21,1.8509006176206795
2008-10-22,1.8345671719693482
2008-10-23,1.831863488394287
2008-10-24,1.818744934972006
2008-10-27,1.8101643704302188
2008-10-28,1.8389206458659677
2008-10-29,1.8359357375234664
2008-10-30,1.8433384319606665
2008-10-31,1.8559076300979052
2008-11-03,1.8584067274841443
2008-11-04,1.870883086417824
2008-11-05,1.840424572931556
2008-11-06,1.8246157094253905
2008-11-07,1.8282703254890877
2008-11-10,1.8115347647574942
2008-11-11,1.8092801738904092
2008-11-12,1.7821646998934648
2008-11-13,1.8093217044212055
2008-11-14,1.7950987594175043
2008-11-17,1.7866969175755083
2008-11-18,1.7880467036534151
2008-11-19,1.7635796350014936
2008-11-20,1.746154956184151
2008-11-21,1.7586204250302413
2008-11-24,1.765297054456563
2008-11-25,1.769038632008505
2008-11-26,1.772537567623903
2008-11-28,1.7753005709271066
2008-12-01,1.759376978441341
2008-12-02,1.7653147142942038
2008-12-03,1.7710356136490812
2008-12-04,1.7584737237952448
2008-12-05,1.7720980289715982
2008-12-08,1.7776369379872334
2008-12-09,1.7642540397712518
2008-12-10,1.7675434105494643
2008-12-11,1.758620834312009
2008-12-12,1.7678597394811846
2008-12-15,1.7685693698766958
2008-12-16,1.7850318239094127
2008-12-17,1.7818795712938655
2008-12-18,1.781463048802388
2008-12-19,1.7702447645258432
2008-12-22,1.7695462304284255
2008-12-23,1.7665174869911393
2008-12-24,1.7682293782408882
2008-12-26,1.7688663384172527
2008-12-29,1.7646152345833797
2008-12-30,1.7707186964382946
2008-12-31,1.77866081179926
2009-01-02,1.7841569621143145
2009-01-05,1.7743895512221521
2009-01-06,1.7672385727028594
2009-01-07,1.7618187953769464
2009-01-08,1.769201720301729
2009-01-09,1.7592023853347256
2009-01-12,1.7508124224357484
2009-01-13,1.7531091211899559
2009-01-14,1.7361554157009456
2009-01-15,1.7455616663785487
2009-01-16,1.7521245332724114
2009-01-20,1.7399886293138598
2009-01-21,1.7500991768349188
2009-01-22,1.7369824904407525
2009-01-23,1.7309881758255978
2009-01-26,1.7284025805807968
2009-01-27,1.7221288002826975
2009-01-28,1.730702057101149
2009-01-29,1.7224081266784936
2009-01-30,1.7157785880525889
2009-02-02,1.719980782428512
2009-02-03,1.7283421745370189
2009-02-04,1.7233704063166853
2009-02-05,1.7156241096299116
2009-02-06,1.726412175353936
2009-02-09,1.7205199857464224
2009-02-10,1.705365080624016
2009-02-11,1.70962877869902
2009-02-12,1.7168882258040419
2009-02-13,1.713507280726114
2009-02-17,1.7000147049880925
2009-02-18,1.6953687733156495
2009-02-19,1.70219595055308
2009-02-20,1.7021216917339748
2009-02-23,1.6863631438632645
2009-02-24,1.696768290907475
2009-02-25,1.6927352193208112
2009-02-26,1.6824164123555752
2009-02-27,1.678713962459305
2009-03-02,1.6605931026737835
2009-03-03,1.6666152530170684
2009-03-04,1.6702532084500836
2009-03-05,1.6655009961236396
2009-03-06,1.6589942671553797
2009-03-09,1.6564436756089227
2009-03-10,1.6628844975980832
2009-03-11,1.6600841333251743
2009-03-12,1.6680690241719744
2009-03-13,1.6730442100327667
2009-03-16,1.6706020090498563
2009-03-17,1.674425313302526
2009-03-18,1.6811380177574895
2009-03-19,1.6839925782946459
2009-03-20,1.6819311220893136
2009-03-23,1.6882023872826526
2009-03-24,1.6868549805320778
2009-03-25,1.6897749666354693
2009-03-26,1.6948157716235146
2009-03-27,1.6889501389534765
2009-03-30,1.6866926767225385
2009-03-31,1.6897646436718086
2009-04-01,1.6914756087328606
2009-04-02,1.7360362975901225
2009-04-03,1.736512802471658
2009-04-06,1.7271120491130658
2009-04-07,1.682968897046363
2009-04-08,1.707536360628006
2009-04-09,1.7677215525670034
2009-04-13,1.7600465766735385
2009-04-14,1.7285553261854096
2009-04-15,1.7434464786949646
2009-04-16,1.7918095470139015
2009-04-17,1.8154399259983338
2009-04-20,1.7662489084027957
2009-04-21,1.7967543798476622
2009-04-22,1.7849579216821228
2009-04-23,1.7894894133942107
2009-04-24,1.7868453217568099
2009-04-27,1.7871330095022886
2009-04-28,1.7785093640226528
2009-04-29,1.8118869858311033
2009-04-30,1.8224335930398134
2009-05-01,1.8286319438695264
2009-05-04,1.885941629084501
2009-05-05,1.8773027355126777
2009-05-06,1.865429723575846
2009-05-07,1.8081746626278392
2009-05-08,1.839476815189733
2009-05-11,1.7997402985133266
2009-05-12,1.7698439924607685
2009-05-13,1.70643328181369
2009-05-14,1.73744356755618
2009-05-15,1.7344046916377984
2009-05-18,1.7887868768072273
2009-05-19,1.7951840688210452
2009-05-20,1.789983145881433
2009-05-21,1.7559265016168917
2009-05-22,1.744409145118992
2009-05-26,1.7874085042329848
2009-05-27,1.7556752728968426
2009-05-28,1.7622506494887709
2009-05-29,1.7876117571923433
2009-06-01,1.8318863225963253
2009-06-02,1.8052840964057824
2009-06-03,1.7406641012268969
2009-06-04,1.791138096788714
2009-06-05,1.7780863109398781
2009-06-08,1.7736048072855823
2009-06-09,1.814714556926301
2009-06-10,1.826702436301588
2009-06-11,1.8142917013430346
2009-06-12,1.8245277797239992
2009-06-15,1.775897483427578
2009-06-16,1.7502704767974986
2009-06-17,1.7454891082237765
2009-06-18,1.7799712862071109
2009-06-19,1.8056081768605934
2009-06-22,1.7043280902211382
2009-06-23,1.7223171250339917
2009-06-24,1.7380992811818068
2009-06-25,1.7162491227270726
