Date,GD
2000-04-24,16.951074600219727
2000-04-25,17.334653854370117
2000-04-26,16.622270584106445
2000-04-27,17.352916717529297
2000-04-28,17.097190856933594
2000-05-01,17.225048065185547
2000-05-02,16.713594436645508
2000-05-03,16.311744689941406
2000-05-04,16.311744689941406
2000-05-05,16.65880012512207
2000-05-08,16.384811401367188
2000-05-09,16.804927825927734
2000-05-10,16.29347801208496
2000-05-11,16.512666702270508
2000-05-12,16.494409561157227
2000-05-15,16.640527725219727
2000-05-16,16.439598083496094
2000-05-17,15.964678764343262
2000-05-18,16.275203704833984
2000-05-19,16.60400390625
2000-05-22,16.421348571777344
2000-05-23,16.640527725219727
2000-05-24,17.04239273071289
2000-05-25,16.695329666137695
2000-05-26,16.494409561157227
2000-05-30,16.987594604492188
2000-05-31,17.26158332824707
2000-06-01,17.645172119140625
2000-06-02,17.13372039794922
2000-06-05,16.76839828491211
2000-06-06,16.914533615112305
2000-06-07,16.786666870117188
2000-06-08,16.202144622802734
2000-06-09,16.129077911376953
2000-06-12,16.129077911376953
2000-06-13,15.81855583190918
2000-06-14,16.183887481689453
2000-06-15,16.439598083496094
2000-06-16,16.08341407775879
2000-06-19,15.70894718170166
2000-06-20,15.78201961517334
2000-06-21,15.52629280090332
2000-06-22,15.361900329589844
2000-06-23,15.836823463439941
2000-06-26,15.81855583190918
2000-06-27,15.909886360168457
2000-06-28,15.631321907043457
2000-06-29,15.434967041015625
2000-06-30,15.2705717086792
2000-07-03,15.325362205505371
2000-07-05,15.343631744384766
2000-07-06,15.252302169799805
2000-07-07,15.361900329589844
2000-07-10,15.380163192749023
2000-07-11,15.562825202941895
2000-07-12,15.804387092590332
2000-07-13,15.694254875183105
2000-07-14,15.7493257522583
2000-07-17,15.96959400177002
2000-07-18,15.584126472473145
2000-07-19,15.896169662475586
2000-07-20,16.997522354125977
2000-07-21,17.015884399414062
2000-07-24,17.401350021362305
2000-07-25,17.23614501953125
2000-07-26,16.685468673706055
2000-07-27,16.795608520507812
2000-07-28,16.667116165161133
2000-07-31,16.575336456298828
2000-08-01,17.199440002441406
2000-08-02,17.23614501953125
2000-08-03,17.493131637573242
2000-08-04,17.952022552490234
2000-08-07,18.153928756713867
2000-08-08,18.319141387939453
2000-08-09,18.48434829711914
2000-08-10,18.33749771118164
2000-08-11,18.080514907836914
2000-08-14,18.00708770751953
2000-08-15,17.988733291625977
2000-08-16,17.952022552490234
2000-08-17,17.952022552490234
2000-08-18,17.823532104492188
2000-08-21,18.22736167907715
2000-08-22,18.77804183959961
2000-08-23,18.833105087280273
2000-08-24,18.631193161010742
2000-08-25,18.833105087280273
2000-08-28,18.6495418548584
2000-08-29,18.66790771484375
2000-08-30,18.741329193115234
2000-08-31,18.48434829711914
2000-09-01,18.46598243713379
2000-09-05,18.098880767822266
2000-09-06,18.392566680908203
2000-09-07,18.686260223388672
2000-09-08,18.576122283935547
2000-09-11,18.961599349975586
2000-09-12,18.906532287597656
2000-09-13,18.796390533447266
2000-09-14,18.5944766998291
2000-09-15,18.22736167907715
2000-09-18,18.447629928588867
2000-09-19,18.355852127075195
2000-09-20,18.33749771118164
2000-09-21,18.48434829711914
2000-09-22,18.741329193115234
2000-09-25,18.576122283935547
2000-09-26,18.245723724365234
2000-09-27,18.245723724365234
2000-09-28,18.796390533447266
2000-09-29,18.447629928588867
2000-10-02,18.429279327392578
2000-10-03,18.374208450317383
2000-10-04,18.285001754760742
2000-10-05,17.732027053833008
2000-10-06,17.824188232421875
2000-10-09,17.621423721313477
2000-10-10,18.74580192565918
2000-10-11,19.040729522705078
2000-10-12,19.317214965820312
2000-10-13,19.593698501586914
2000-10-16,19.575260162353516
2000-10-17,19.390945434570312
2000-10-18,19.501535415649414
2000-10-19,19.612140655517578
2000-10-20,19.667430877685547
2000-10-23,20.09137725830078
2000-10-24,20.330997467041016
2000-10-25,20.109804153442383
2000-10-26,19.85175323486328
2000-10-27,20.03607940673828
2000-10-30,20.681215286254883
2000-10-31,21.105154037475586
2000-11-01,20.75494384765625
2000-11-02,20.478450775146484
