Date,GE
2014-04-07,102.94847869873047
2014-04-08,102.55023193359375
2014-04-09,103.3467025756836
2014-04-10,101.87317657470703
2014-04-11,101.27578735351562
2014-04-14,102.39093780517578
2014-04-15,102.82897186279297
2014-04-16,104.02372741699219
2014-04-17,105.77606201171875
2014-04-21,105.89552307128906
2014-04-22,105.8557357788086
2014-04-23,105.218505859375
2014-04-24,105.3778076171875
2014-04-25,105.93536376953125
2014-04-28,106.6522216796875
2014-04-29,106.57257080078125
2014-04-30,107.09030151367188
2014-05-01,106.61238861083984
2014-05-02,106.25395965576172
2014-05-05,105.8557357788086
2014-05-06,104.30252838134766
2014-05-07,105.65660095214844
2014-05-08,105.29817199707031
2014-05-09,105.218505859375
2014-05-12,106.93101501464844
2014-05-13,107.20980834960938
2014-05-14,106.57257080078125
2014-05-15,105.93536376953125
2014-05-16,106.2141342163086
2014-05-19,105.97520446777344
2014-05-20,104.7406234741211
2014-05-21,105.497314453125
2014-05-22,105.57693481445312
2014-05-23,105.57693481445312
2014-05-27,105.81587219238281
2014-05-28,106.17430114746094
2014-05-29,106.4929428100586
2014-05-30,106.69205474853516
2014-06-02,106.85135650634766
2014-06-03,106.69205474853516
2014-06-04,105.73623657226562
2014-06-05,106.61238861083984
2014-06-06,108.24522399902344
2014-06-09,109.28065490722656
2014-06-10,109.16120910644531
2014-06-11,108.12574005126953
2014-06-12,107.36907958984375
2014-06-13,107.68770599365234
2014-06-16,106.81153869628906
2014-06-17,107.01065826416016
2014-06-18,107.09030151367188
2014-06-19,108.13431549072266
2014-06-20,108.29492950439453
2014-06-23,107.13045501708984
2014-06-24,106.7289047241211
2014-06-25,106.08647155761719
2014-06-26,105.56443786621094
2014-06-27,106.1266098022461
2014-06-30,105.5242919921875
2014-07-01,106.00616455078125
2014-07-02,106.84937286376953
2014-07-03,107.8532485961914
2014-07-07,107.41153717041016
2014-07-08,105.88569641113281
2014-07-09,105.68489837646484
2014-07-10,105.20311737060547
2014-07-11,106.60845184326172
2014-07-14,107.0501480102539
2014-07-15,106.84937286376953
2014-07-16,108.49569702148438
2014-07-17,106.84937286376953
2014-07-18,106.2470703125
2014-07-21,104.31969451904297
2014-07-22,104.48030090332031
2014-07-23,104.03863525390625
2014-07-24,104.15907287597656
2014-07-25,103.55677795410156
2014-07-28,102.75370025634766
2014-07-29,102.1915512084961
2014-07-30,102.95445251464844
2014-07-31,100.98693084716797
2014-08-01,101.78999328613281
2014-08-04,101.4687728881836
2014-08-05,100.46492767333984
2014-08-06,102.15139770507812
2014-08-07,102.39229583740234
2014-08-08,103.03475952148438
2014-08-11,103.55677795410156
2014-08-12,102.83399200439453
2014-08-13,103.7173843383789
2014-08-14,103.91815948486328
2014-08-15,102.95445251464844
2014-08-18,104.68107604980469
2014-08-19,104.60074615478516
2014-08-20,105.84553527832031
2014-08-21,106.1266098022461
2014-08-22,105.00227355957031
2014-08-25,105.20311737060547
2014-08-26,104.4401626586914
2014-08-27,104.92198181152344
2014-08-28,104.4401626586914
2014-08-29,104.31969451904297
2014-09-02,103.79769897460938
2014-09-03,104.19920349121094
2014-09-04,104.23938751220703
2014-09-05,104.80155944824219
2014-09-08,104.7212142944336
2014-09-09,103.99845123291016
2014-09-10,104.19920349121094
2014-09-11,104.48030090332031
2014-09-12,103.87798309326172
2014-09-15,104.0787582397461
2014-09-16,105.24322509765625
2014-09-17,105.484130859375
2014-09-18,106.1320571899414
2014-09-19,106.45598602294922
2014-09-22,105.6056137084961
2014-09-23,105.36268615722656
2014-09-24,104.99822235107422
2014-09-25,103.45951843261719
2014-09-26,103.783447265625
2014-09-29,102.93305969238281
2014-09-30,103.74296569824219
2014-10-01,101.8802719116211
2014-10-02,101.71831512451172
2014-10-03,102.85209655761719
2014-10-06,102.12322235107422
2014-10-07,100.4630355834961
2014-10-08,102.24468994140625
2014-10-09,100.3415298461914
2014-10-10,98.27639770507812
2014-10-13,96.98062896728516
2014-10-14,97.5880355834961
2014-10-15,98.31689453125
2014-10-16,98.19541931152344
2014-10-17,100.50349426269531
2014-10-20,101.3538589477539
2014-10-21,103.0545654296875
2014-10-22,102.00174713134766
2014-10-23,103.01409149169922
2014-10-24,103.82392883300781
2014-10-27,103.33802032470703
2014-10-28,104.79576873779297
2014-10-29,103.90491485595703
2014-10-30,103.9454116821289
2014-10-31,104.51231384277344
2014-11-03,104.06689453125
2014-11-04,104.06689453125
2014-11-05,104.55281066894531
2014-11-06,106.73941802978516
2014-11-07,106.94187927246094
2014-11-10,107.18485260009766
2014-11-11,106.82040405273438
2014-11-12,107.38733673095703
2014-11-13,106.9823989868164
2014-11-14,107.14437103271484
2014-11-17,107.75174713134766
2014-11-18,109.37146759033203
2014-11-19,109.0070571899414
2014-11-20,108.72354888916016
2014-11-21,109.2905044555664
2014-11-24,109.33099365234375
2014-11-25,108.76410675048828
2014-11-26,108.80455780029297
2014-11-28,107.26586151123047
2014-12-01,105.36268615722656
2014-12-02,105.484130859375
2014-12-03,106.82040405273438
2014-12-04,105.64612579345703
2014-12-05,105.32218170166016
2014-12-08,104.02642059326172
2014-12-09,103.58098602294922
2014-12-10,102.32569885253906
2014-12-11,102.8926010131836
2014-12-12,100.78697967529297
2014-12-15,99.57218170166016
2014-12-16,99.16725158691406
2014-12-17,99.85564422607422
2014-12-18,102.75770568847656
2014-12-19,104.71966552734375
2014-12-22,105.0875244140625
2014-12-23,105.78238677978516
2014-12-24,105.57801818847656
2014-12-26,105.3736572265625
2014-12-29,105.0466537475586
2014-12-30,104.51529693603516
2014-12-31,103.28904724121094
2015-01-02,102.43070983886719
2015-01-05,100.55048370361328
2015-01-06,98.38414764404297
