Date,HON
2013-03-28,51.48807907104492
2013-04-01,50.791099548339844
2013-04-02,50.70911407470703
2013-04-03,50.10778045654297
2013-04-04,50.394775390625
2013-04-05,49.86862564086914
2013-04-08,50.258113861083984
2013-04-09,50.25127410888672
2013-04-10,50.845794677734375
2013-04-11,51.04393005371094
2013-04-12,50.7364387512207
2013-04-15,49.335636138916016
2013-04-16,50.00529861450195
2013-04-17,49.12379837036133
2013-04-18,48.836830139160156
2013-04-19,50.688602447509766
2013-04-22,50.96875762939453
2013-04-23,51.08492660522461
2013-04-24,51.13277053833008
2013-04-25,50.92777633666992
2013-04-26,50.49726867675781
2013-04-29,50.42894744873047
2013-04-30,50.25127410888672
2013-05-01,49.56112289428711
2013-05-02,50.545108795166016
2013-05-03,51.41291046142578
2013-05-06,51.986907958984375
2013-05-07,52.5472412109375
2013-05-08,52.94356155395508
2013-05-09,53.148555755615234
2013-05-10,53.1212158203125
2013-05-13,53.203224182128906
2013-05-14,54.09153747558594
2013-05-15,54.5903434753418
2013-05-16,54.075218200683594
2013-05-17,55.462642669677734
2013-05-20,55.31154251098633
2013-05-21,55.050540924072266
2013-05-22,54.665897369384766
2013-05-23,54.42551040649414
2013-05-24,54.45986557006836
2013-05-28,54.7895393371582
2013-05-29,54.123294830322266
2013-05-30,54.56291198730469
2013-05-31,53.8897705078125
2013-06-03,54.15764617919922
2013-06-04,53.39525604248047
2013-06-05,52.68094253540039
2013-06-06,53.34030532836914
2013-06-07,54.31563186645508
2013-06-10,54.040897369384766
2013-06-11,53.683719635009766
2013-06-12,53.106781005859375
2013-06-13,53.7867431640625
2013-06-14,53.697471618652344
2013-06-17,54.74834442138672
2013-06-18,55.53133773803711
2013-06-19,54.72772979736328
2013-06-20,53.34716033935547
2013-06-21,53.74553680419922
2013-06-24,52.6465950012207
2013-06-25,53.33342742919922
2013-06-26,54.775821685791016
2013-06-27,55.08488845825195
2013-06-28,54.494205474853516
2013-07-01,55.16729736328125
2013-07-02,53.49140548706055
2013-07-03,53.92411422729492
2013-07-05,54.98872375488281
2013-07-08,55.40769958496094
2013-07-09,55.902225494384766
2013-07-10,55.77861022949219
2013-07-11,56.71269989013672
2013-07-12,56.5753288269043
2013-07-15,56.527278900146484
2013-07-16,56.34181213378906
2013-07-17,56.62340545654297
2013-07-18,56.987449645996094
2013-07-19,57.39955520629883
2013-07-22,57.035518646240234
2013-07-23,57.1934814453125
2013-07-24,57.014923095703125
2013-07-25,56.905025482177734
2013-07-26,56.92561340332031
2013-07-29,56.84320068359375
2013-07-30,57.00806427001953
2013-07-31,56.994300842285156
2013-08-01,58.07952880859375
2013-08-02,58.16196060180664
2013-08-05,58.05891799926758
2013-08-06,57.804786682128906
2013-08-07,57.454505920410156
2013-08-08,57.35832595825195
2013-08-09,57.22783660888672
2013-08-12,57.30339050292969
2013-08-13,57.48196792602539
2013-08-14,57.24845886230469
2013-08-15,56.328094482421875
2013-08-16,56.576568603515625
2013-08-19,56.23143768310547
2013-08-20,56.41091537475586
2013-08-21,55.62397384643555
2013-08-22,55.755126953125
2013-08-23,56.19001388549805
2013-08-26,55.948421478271484
2013-08-27,54.70587921142578
2013-08-28,54.84394836425781
2013-08-29,55.265010833740234
2013-08-30,54.92677688598633
2013-09-03,55.900089263916016
2013-09-04,55.886295318603516
2013-09-05,56.183101654052734
2013-09-06,56.36948776245117
2013-09-09,56.9010124206543
2013-09-10,58.07451629638672
2013-09-11,58.00550079345703
2013-09-12,57.832916259765625
2013-09-13,58.0192985534668
2013-09-16,58.74411392211914
2013-09-17,58.98569869995117
2013-09-18,59.81407165527344
2013-09-19,59.91072082519531
2013-09-20,59.00642013549805
2013-09-23,58.07451629638672
2013-09-24,58.15736389160156
2013-09-25,57.87432098388672
2013-09-26,58.0192985534668
2013-09-27,57.694881439208984
2013-09-30,57.32209396362305
2013-10-01,57.44636917114258
2013-10-02,57.184051513671875
2013-10-03,56.22453308105469
2013-10-04,56.769866943359375
2013-10-07,57.23236846923828
2013-10-08,56.479942321777344
2013-10-09,56.53514862060547
2013-10-10,58.73722839355469
2013-10-11,59.68290328979492
2013-10-14,59.3515739440918
2013-10-15,58.771705627441406
2013-10-16,59.19279861450195
2013-10-17,59.87620162963867
2013-10-18,58.385169982910156
2013-10-21,58.43347930908203
2013-10-22,59.475826263427734
2013-10-23,59.841670989990234
2013-10-24,60.24894714355469
2013-10-25,60.40081787109375
2013-10-28,60.283477783203125
2013-10-29,60.37321853637695
2013-10-30,59.86241912841797
2013-10-31,59.86930465698242
2013-11-01,59.99354553222656
2013-11-04,59.57936477661133
2013-11-05,59.60009765625
2013-11-06,59.86241912841797
2013-11-07,58.992618560791016
2013-11-08,60.35940170288086
2013-11-11,60.3455924987793
2013-11-12,59.772647857666016
2013-11-13,60.40772247314453
2013-11-14,61.20847702026367
2013-11-15,61.1739501953125
2013-11-18,61.21536636352539
2013-11-19,60.95866012573242
2013-11-20,60.51463317871094
2013-11-21,61.014163970947266
2013-11-22,61.6108512878418
2013-11-25,61.46516418457031
2013-11-26,61.423500061035156
2013-11-27,61.659427642822266
2013-11-29,61.409645080566406
2013-12-02,61.15292739868164
2013-12-03,60.41054153442383
2013-12-04,60.244014739990234
2013-12-05,60.264835357666016
2013-12-06,61.277828216552734
2013-12-09,60.96559143066406
2013-12-10,60.94477081298828
2013-12-11,59.98038864135742
2013-12-12,59.86935043334961
2013-12-13,60.09138488769531
2013-12-16,60.61868667602539
2013-12-17,60.00117492675781
2013-12-18,61.36800003051758
2013-12-19,61.49983596801758
2013-12-20,62.1312370300293
2013-12-23,62.2491455078125
2013-12-24,62.755638122558594
2013-12-26,63.20659255981445
2013-12-27,63.23440170288086
2013-12-30,63.137237548828125
2013-12-31,63.39393615722656
2014-01-02,62.665435791015625
2014-01-03,62.804195404052734
2014-01-06,62.74175262451172
2014-01-07,62.99845886230469
2014-01-08,62.74867630004883
2014-01-09,62.76951599121094
2014-01-10,62.55443572998047
2014-01-13,61.659427642822266
2014-01-14,62.020206451416016
2014-01-15,62.380977630615234
2014-01-16,62.478118896484375
2014-01-17,62.40871810913086
2014-01-21,62.85275650024414
2014-01-22,63.19968795776367
2014-01-23,62.30466842651367
2014-01-24,61.38188934326172
2014-01-27,62.64462661743164
2014-01-28,62.755638122558594
2014-01-29,62.26303482055664
2014-01-30,63.62290954589844
2014-01-31,63.296817779541016
2014-02-03,61.576168060302734
2014-02-04,62.276912689208984
2014-02-05,62.15894317626953
2014-02-06,63.23440170288086
2014-02-07,64.63587188720703
2014-02-10,64.4207992553711
2014-02-11,65.32967376708984
2014-02-12,65.41986846923828
2014-02-13,65.5864028930664
2014-02-14,65.64191436767578
2014-02-18,65.46151733398438
2014-02-19,64.49018859863281
2014-02-20,64.91339874267578
2014-02-21,65.17011260986328
2014-02-24,65.05216979980469
2014-02-25,65.44257354736328
2014-02-26,65.43558502197266
2014-02-27,65.7911605834961
2014-02-28,65.8399429321289
2014-03-03,65.24737548828125
2014-03-04,65.95149993896484
2014-03-05,65.99333953857422
2014-03-06,66.05607604980469
2014-03-07,66.53712463378906
2014-03-10,66.4046630859375
2014-03-11,65.60990142822266
2014-03-12,65.42864227294922
2014-03-13,64.7314682006836
2014-03-14,64.14586639404297
2014-03-17,65.11492156982422
2014-03-18,65.35892486572266
2014-03-19,64.75936126708984
2014-03-20,64.80120849609375
2014-03-21,64.82908630371094
2014-03-24,64.11797332763672
2014-03-25,64.44562530517578
2014-03-26,63.330162048339844
2014-03-27,62.953697204589844
2014-03-28,63.36505889892578
2014-03-31,64.66870880126953
2014-04-01,65.01729583740234
2014-04-02,65.44953918457031
2014-04-03,65.7283935546875
2014-04-04,65.06610107421875
2014-04-07,64.06916046142578
2014-04-08,64.11797332763672
2014-04-09,64.98245239257812
2014-04-10,63.67875671386719
2014-04-11,63.02342987060547
2014-04-14,63.38595962524414
2014-04-15,63.936729431152344
2014-04-16,65.04521942138672
2014-04-17,64.90576934814453
2014-04-21,64.96153259277344
2014-04-22,65.07311248779297
2014-04-23,65.55413818359375
2014-04-24,65.2752685546875
2014-04-25,64.59202575683594
2014-04-28,64.45957946777344
2014-04-29,64.46656799316406
2014-04-30,64.76629638671875
2014-05-01,64.30620574951172
2014-05-02,64.39682006835938
2014-05-05,64.56416320800781
2014-05-06,63.846046447753906
2014-05-07,64.78024291992188
2014-05-08,64.80816650390625
2014-05-09,64.69660186767578
2014-05-12,65.80508422851562
2014-05-13,65.68659973144531
2014-05-14,64.65476989746094
2014-05-15,63.553253173828125
2014-05-16,63.58115005493164
2014-05-19,64.06216430664062
2014-05-20,63.3055305480957
2014-05-21,63.93607711791992
2014-05-22,64.06919860839844
2014-05-23,64.43350982666016
2014-05-27,64.70674133300781
2014-05-28,64.81182098388672
2014-05-29,65.0360107421875
2014-05-30,65.26021575927734
2014-06-02,65.4423599243164
2014-06-03,65.33724975585938
2014-06-04,65.7506103515625
2014-06-05,66.52129364013672
2014-06-06,66.69642639160156
2014-06-09,67.1238021850586
2014-06-10,66.79450225830078
2014-06-11,66.49324798583984
2014-06-12,65.61751556396484
2014-06-13,65.694580078125
2014-06-16,65.7155990600586
2014-06-17,66.06587219238281
2014-06-18,65.98880767822266
2014-06-19,66.16397857666016
2014-06-20,66.43022155761719
2014-06-23,66.04486083984375
2014-06-24,65.16915893554688
2014-06-25,65.3022232055664
2014-06-26,65.19715881347656
2014-06-27,65.33724975585938
2014-06-30,65.12010192871094
2014-07-01,66.26907348632812
2014-07-02,66.05187225341797
2014-07-03,66.47224426269531
2014-07-07,66.1219253540039
2014-07-08,66.0028305053711
2014-07-09,66.23404693603516
2014-07-10,66.05187225341797
2014-07-11,66.48625946044922
2014-07-14,67.07476043701172
2014-07-15,67.2288818359375
2014-07-16,67.53014373779297
2014-07-17,66.6753921508789
2014-07-18,67.83136749267578
2014-07-21,68.1957015991211
2014-07-22,68.09059143066406
2014-07-23,67.6772689819336
2014-07-24,67.26390838623047
2014-07-25,67.0887451171875
2014-07-28,66.6753921508789
2014-07-29,65.70159149169922
2014-07-30,65.90475463867188
2014-07-31,64.3354263305664
2014-08-01,64.15328216552734
2014-08-04,64.00615692138672
2014-08-05,63.92208480834961
2014-08-06,63.4456787109375
2014-08-07,63.72591781616211
2014-08-08,64.95195770263672
2014-08-11,65.26721954345703
2014-08-12,65.09209442138672
2014-08-13,66.04486083984375
2014-08-14,66.12891387939453
2014-08-15,66.01686096191406
2014-08-18,66.73844146728516
2014-08-19,66.67507934570312
2014-08-20,67.41422271728516
2014-08-21,67.53389739990234
