Date,PLD
2002-05-29,12.491823196411133
2002-05-30,12.517504692077637
2002-05-31,12.478972434997559
2002-06-03,12.457573890686035
2002-06-04,12.474695205688477
2002-06-05,12.44900894165039
2002-06-06,12.50037956237793
2002-06-07,12.5217866897583
2002-06-10,12.564595222473145
2002-06-11,12.650209426879883
2002-06-12,12.688740730285645
2002-06-13,12.757243156433105
2002-06-14,12.70587158203125
2002-06-17,12.667333602905273
2002-06-18,12.650209426879883
2002-06-19,12.650209426879883
2002-06-20,12.800046920776367
2002-06-21,13.056902885437012
2002-06-24,13.056902885437012
2002-06-25,13.142524719238281
2002-06-26,13.056902885437012
2002-06-27,13.223861694335938
2002-06-28,13.270953178405762
2002-07-01,13.198174476623535
2002-07-02,12.981245040893555
2002-07-03,12.75997257232666
2002-07-05,12.77299690246582
2002-07-08,12.755626678466797
2002-07-09,12.321770668029785
2002-07-10,12.321770668029785
2002-07-11,12.126530647277832
2002-07-12,12.113511085510254
2002-07-15,12.048433303833008
2002-07-16,12.191608428955078
2002-07-17,12.182934761047363
2002-07-18,11.952980041503906
2002-07-19,11.874886512756348
2002-07-22,11.631921768188477
2002-07-23,11.493084907531738
2002-07-24,11.43234634399414
2002-07-25,11.896576881408691
2002-07-26,11.992032051086426
2002-07-29,12.408535957336426
2002-07-30,12.838066101074219
2002-07-31,12.820711135864258
2002-08-01,12.6862154006958
2002-08-02,12.62547492980957
2002-08-05,12.517013549804688
2002-08-06,12.647163391113281
2002-08-07,12.668859481811523
2002-08-08,12.742612838745117
2002-08-09,12.603779792785645
2002-08-12,12.742612838745117
2002-08-13,12.430235862731934
2002-08-14,12.495315551757812
2002-08-15,12.582080841064453
2002-08-16,12.816375732421875
2002-08-19,12.603779792785645
2002-08-20,12.712250709533691
2002-08-21,12.799018859863281
2002-08-22,12.751293182373047
2002-08-23,12.864100456237793
2002-08-26,12.877119064331055
2002-08-27,12.855420112609863
2002-08-28,12.894461631774902
2002-08-29,12.881449699401855
2002-08-30,12.907485008239746
2002-09-03,12.690555572509766
2002-09-04,12.616796493530273
2002-09-05,12.577747344970703
2002-09-06,12.603779792785645
2002-09-09,12.751293182373047
2002-09-10,12.668859481811523
2002-09-11,12.712250709533691
2002-09-12,12.629813194274902
2002-09-13,12.647163391113281
2002-09-16,12.616796493530273
2002-09-17,12.62547492980957
2002-09-18,12.755626678466797
2002-09-19,12.668859481811523
2002-09-20,12.755626678466797
2002-09-23,12.690555572509766
2002-09-24,12.582080841064453
2002-09-25,12.430235862731934
2002-09-26,12.590764045715332
2002-09-27,12.473616600036621
2002-09-30,12.538700103759766
2002-10-01,12.547381401062012
2002-10-02,12.410944938659668
2002-10-03,12.498968124389648
2002-10-04,12.296515464782715
2002-10-07,11.772789001464844
2002-10-08,11.486724853515625
2002-10-09,10.998214721679688
2002-10-10,11.403109550476074
2002-10-11,11.561546325683594
