Date,SPG
2001-08-29,9.220841407775879
2001-08-30,9.208246231079102
2001-08-31,9.22398853302002
2001-09-04,9.205098152160645
2001-09-05,9.170470237731934
2001-09-06,9.211394309997559
2001-09-07,9.091765403747559
2001-09-10,9.110654830932617
2001-09-17,8.503070831298828
2001-09-18,8.638435363769531
2001-09-19,8.443258285522461
2001-09-20,8.185111045837402
2001-09-21,8.021406173706055
2001-09-24,8.178814888000488
2001-09-25,8.276405334472656
2001-09-26,8.421221733093262
2001-09-27,8.477882385253906
2001-09-28,8.471587181091309
2001-10-01,8.594365119934082
2001-10-02,8.531404495239258
2001-10-03,8.468440055847168
2001-10-04,8.594365119934082
2001-10-05,8.594365119934082
2001-10-08,8.685661315917969
2001-10-09,8.86510181427002
2001-10-10,8.931214332580566
2001-10-11,9.15158462524414
2001-10-12,9.050843238830566
2001-10-15,9.094913482666016
2001-10-16,9.050843238830566
2001-10-17,9.019357681274414
2001-10-18,8.92806625366211
2001-10-19,8.676215171813965
2001-10-22,8.566032409667969
2001-10-23,8.622697830200195
2001-10-24,8.528249740600586
2001-10-25,8.537701606750488
2001-10-26,8.566032409667969
2001-10-29,8.534546852111816
2001-10-30,8.449552536010742
2001-10-31,8.65732479095459
2001-11-01,8.808438301086426
2001-11-02,8.780101776123047
2001-11-05,8.751770973205566
2001-11-06,8.805289268493652
2001-11-07,8.783249855041504
2001-11-08,8.874545097351074
2001-11-09,8.811586380004883
2001-11-12,8.824176788330078
2001-11-13,8.981588363647461
2001-11-14,9.120101928710938
2001-11-15,9.233922004699707
2001-11-16,9.208273887634277
2001-11-19,9.17301082611084
2001-11-20,9.134530067443848
2001-11-21,9.153765678405762
2001-11-23,9.16659164428711
2001-11-26,9.124913215637207
2001-11-27,9.16659164428711
2001-11-28,9.259568214416504
2001-11-29,9.282015800476074
2001-11-30,9.262776374816895
2001-12-03,9.336522102355957
2001-12-04,9.442327499389648
2001-12-05,9.509659767150879
2001-12-06,9.506450653076172
2001-12-07,9.596223831176758
2001-12-10,9.522480964660645
2001-12-11,9.570577621459961
2001-12-12,9.576988220214844
2001-12-13,9.471183776855469
2001-12-14,9.439117431640625
2001-12-17,9.522480964660645
2001-12-18,9.512866020202637
2001-12-19,9.477594375610352
2001-12-20,9.298043251037598
2001-12-21,9.346139907836914
2001-12-24,9.38782024383545
2001-12-26,9.410265922546387
2001-12-27,9.397441864013672
2001-12-28,9.368579864501953
2001-12-31,9.403855323791504
2002-01-02,9.419882774353027
2002-01-03,9.560955047607422
2002-01-04,9.503247261047363
2002-01-07,9.42629623413086
2002-01-08,9.461563110351562
2002-01-09,9.397441864013672
