Date,GS
2015-02-03,144.2172088623047
2015-02-04,143.0490264892578
2015-02-05,144.6412353515625
2015-02-06,146.76962280273438
2015-02-09,145.8014678955078
2015-02-10,147.67379760742188
2015-02-11,150.14617919921875
2015-02-12,151.8505401611328
2015-02-13,151.2263641357422
2015-02-17,152.04258728027344
2015-02-18,150.96241760253906
2015-02-19,151.31442260742188
2015-02-20,153.2347869873047
2015-02-23,152.27464294433594
2015-02-24,153.8029022216797
2015-02-25,153.4027862548828
2015-02-26,154.26968383789062
2015-02-27,152.33529663085938
2015-03-02,153.94058227539062
2015-03-03,153.523193359375
2015-03-04,152.23895263671875
2015-03-05,152.5680389404297
2015-03-06,150.02366638183594
2015-03-09,150.84231567382812
2015-03-10,146.6525421142578
2015-03-11,147.83241271972656
2015-03-12,152.46368408203125
2015-03-13,151.97413635253906
2015-03-16,154.02886962890625
2015-03-17,152.96136474609375
2015-03-18,154.36598205566406
2015-03-19,152.47976684570312
2015-03-20,155.0161590576172
2015-03-23,154.07704162597656
2015-03-24,153.53121948242188
2015-03-25,150.37680053710938
2015-03-26,150.2884979248047
2015-03-27,150.9467010498047
2015-03-30,153.32254028320312
2015-03-31,150.87442016601562
2015-04-01,154.29373168945312
2015-04-02,153.74794006347656
2015-04-06,154.14923095703125
2015-04-07,154.42218017578125
2015-04-08,154.5586700439453
2015-04-09,156.42877197265625
2015-04-10,157.03077697753906
2015-04-13,156.98265075683594
2015-04-14,158.70028686523438
2015-04-15,161.41326904296875
2015-04-16,160.6989288330078
2015-04-17,158.40333557128906
2015-04-20,159.00531005859375
2015-04-21,157.99395751953125
2015-04-22,159.18190002441406
2015-04-23,159.97650146484375
2015-04-24,158.9170379638672
2015-04-27,157.7371368408203
2015-04-28,158.51573181152344
2015-04-29,159.37451171875
2015-04-30,157.65682983398438
2015-05-01,158.54779052734375
2015-05-04,159.96849060058594
2015-05-05,158.3551483154297
2015-05-06,157.52040100097656
2015-05-07,158.43545532226562
2015-05-08,160.9316864013672
2015-05-11,161.91891479492188
2015-05-12,160.95579528808594
2015-05-13,161.67808532714844
2015-05-14,162.63331604003906
2015-05-15,162.9142303466797
2015-05-18,164.27069091796875
2015-05-19,164.8646697998047
2015-05-20,164.6078338623047
2015-05-21,164.5034637451172
2015-05-22,166.791015625
2015-05-26,165.6512908935547
2015-05-27,167.80238342285156
2015-05-28,167.85873413085938
2015-05-29,166.01495361328125
2015-06-01,167.3192138671875
2015-06-02,166.20819091796875
2015-06-03,167.7057647705078
2015-06-04,168.17274475097656
2015-06-05,169.4448699951172
2015-06-08,168.91346740722656
2015-06-09,168.2935028076172
2015-06-10,171.60272216796875
2015-06-11,172.2548828125
2015-06-12,171.54629516601562
2015-06-15,170.4996337890625
2015-06-16,171.94894409179688
2015-06-17,171.441650390625
2015-06-18,172.78628540039062
2015-06-19,171.6510467529297
2015-06-22,174.32412719726562
2015-06-23,175.8458709716797
2015-06-24,172.64938354492188
2015-06-25,171.35311889648438
2015-06-26,171.6349639892578
2015-06-29,167.19044494628906
2015-06-30,168.1083221435547
2015-07-01,169.03427124023438
2015-07-02,168.43846130371094
2015-07-06,167.5044708251953
2015-07-07,167.64134216308594
2015-07-08,164.29994201660156
2015-07-09,164.90379333496094
2015-07-10,166.820068359375
2015-07-13,169.1791534423828
2015-07-14,170.82168579101562
2015-07-15,171.4658203125
2015-07-16,170.03260803222656
2015-07-17,171.0632781982422
2015-07-20,171.0068817138672
2015-07-21,170.29029846191406
2015-07-22,171.6993408203125
2015-07-23,169.927978515625
2015-07-24,166.9488525390625
2015-07-27,165.07290649414062
2015-07-28,166.05516052246094
2015-07-29,166.5382537841797
2015-07-30,166.828125
2015-07-31,165.1131591796875
2015-08-03,164.80722045898438
2015-08-04,165.1936798095703
2015-08-05,165.62039184570312
2015-08-06,165.12930297851562
2015-08-07,163.80076599121094
2015-08-10,165.8378143310547
2015-08-11,162.39976501464844
2015-08-12,161.94085693359375
2015-08-13,161.62684631347656
2015-08-14,162.6574249267578
2015-08-17,163.10032653808594
2015-08-18,161.98106384277344
2015-08-19,161.79588317871094
2015-08-20,158.4142608642578
2015-08-21,151.1598358154297
2015-08-24,144.49313354492188
2015-08-25,143.4947509765625
2015-08-26,148.47056579589844
2015-08-27,152.3433837890625
2015-08-28,151.68899536132812
2015-08-31,152.37571716308594
2015-09-01,147.14035034179688
2015-09-02,149.07130432128906
2015-09-03,149.51564025878906
2015-09-04,145.7344970703125
2015-09-08,150.17813110351562
2015-09-09,150.01658630371094
2015-09-10,150.202392578125
2015-09-11,149.68531799316406
2015-09-14,148.61074829101562
2015-09-15,151.44662475585938
2015-09-16,152.40802001953125
2015-09-17,150.6386260986328
2015-09-18,146.18699645996094
2015-09-21,148.1340789794922
2015-09-22,145.20130920410156
2015-09-23,144.95083618164062
2015-09-24,142.9309539794922
2015-09-25,145.2901611328125
2015-09-28,139.78814697265625
2015-09-29,138.85096740722656
2015-09-30,140.3860626220703
2015-10-01,142.21189880371094
2015-10-02,143.01177978515625
2015-10-05,145.99305725097656
2015-10-06,145.68606567382812
2015-10-07,147.22918701171875
2015-10-08,146.29197692871094
2015-10-09,144.77316284179688
2015-10-12,145.61331176757812
2015-10-13,146.21119689941406
2015-10-14,145.03163146972656
2015-10-15,149.4348907470703
2015-10-16,149.61256408691406
2015-10-19,150.06504821777344
2015-10-20,149.8792266845703
2015-10-21,145.18515014648438
2015-10-22,148.30374145507812
2015-10-23,149.8711395263672
2015-10-26,151.0911102294922
2015-10-27,150.52552795410156
2015-10-28,154.5733184814453
2015-10-29,153.41795349121094
2015-10-30,151.4870147705078
2015-11-02,153.248291015625
2015-11-03,154.0642852783203
2015-11-04,154.83987426757812
2015-11-05,155.13882446289062
2015-11-06,160.91552734375
2015-11-09,158.96841430664062
2015-11-10,159.81674194335938
2015-11-11,159.47743225097656
2015-11-12,155.7447509765625
2015-11-13,153.82192993164062
2015-11-16,155.25198364257812
2015-11-17,153.96730041503906
2015-11-18,156.46383666992188
2015-11-19,155.95484924316406
2015-11-20,154.69444274902344
2015-11-23,152.85240173339844
2015-11-24,152.43226623535156
2015-11-25,152.82005310058594
2015-11-27,153.88656616210938
2015-11-30,154.04867553710938
2015-12-01,156.52134704589844
2015-12-02,154.2432403564453
2015-12-03,150.14114379882812
2015-12-04,154.0243682861328
2015-12-07,150.3761749267578
2015-12-08,148.29266357421875
2015-12-09,146.50108337402344
2015-12-10,147.63604736328125
2015-12-11,143.13670349121094
2015-12-14,143.0070343017578
2015-12-15,147.55496215820312
2015-12-16,150.95989990234375
2015-12-17,148.04141235351562
2015-12-18,142.26922607421875
2015-12-21,144.10140991210938
2015-12-22,145.9660186767578
2015-12-23,148.31704711914062
2015-12-24,147.92794799804688
2015-12-28,147.2388153076172
2015-12-29,148.7872772216797
2015-12-30,147.55496215820312
2015-12-31,146.1119384765625
2016-01-04,143.60690307617188
2016-01-05,141.13424682617188
2016-01-06,137.68881225585938
2016-01-07,133.45693969726562
2016-01-08,132.9057159423828
2016-01-11,134.3568572998047
2016-01-12,134.34063720703125
2016-01-13,128.89271545410156
2016-01-14,130.8384552001953
2016-01-15,126.15254211425781
2016-01-19,127.1335678100586
2016-01-20,124.64469909667969
2016-01-21,122.9422607421875
2016-01-22,127.16595458984375
2016-01-25,122.51255798339844
2016-01-26,125.21222686767578
2016-01-27,124.62037658691406
2016-01-28,127.32806396484375
2016-01-29,130.9762420654297
