Date,TECH
2006-05-01,11.83415699005127
2006-05-02,11.663164138793945
2006-05-03,11.711133003234863
2006-05-04,11.621460914611816
2006-05-05,11.606863975524902
2006-05-08,11.629804611206055
2006-05-09,11.531793594360352
2006-05-10,11.333683967590332
2006-05-11,11.208566665649414
2006-05-12,11.087615966796875
2006-05-15,11.066767692565918
2006-05-16,11.104299545288086
2006-05-17,11.010461807250977
2006-05-18,11.093873023986816
2006-05-19,11.200220108032227
2006-05-22,11.179370880126953
2006-05-23,11.052168846130371
2006-05-24,11.118897438049316
2006-05-25,11.25444221496582
2006-05-26,11.218994140625
2006-05-30,11.012545585632324
2006-05-31,11.402498245239258
2006-06-01,11.47131633758545
2006-06-02,11.306574821472168
2006-06-05,11.089704513549805
2006-06-06,11.118897438049316
2006-06-07,10.954158782958984
2006-06-08,10.947901725769043
2006-06-09,10.885340690612793
2006-06-12,10.701833724975586
2006-06-13,10.530840873718262
2006-06-14,10.545435905456543
2006-06-15,10.902024269104004
2006-06-16,10.772735595703125
2006-06-19,10.464107513427734
2006-06-20,10.416144371032715
2006-06-21,10.587142944335938
2006-06-22,10.395296096801758
2006-06-23,10.43699836730957
2006-06-26,10.459939002990723
2006-06-27,10.295198440551758
2006-06-28,10.443255424499512
2006-06-29,10.649702072143555
2006-06-30,10.618423461914062
2006-07-03,10.860320091247559
2006-07-05,10.578802108764648
2006-07-06,10.60590648651123
2006-07-07,10.512068748474121
2006-07-10,10.370266914367676
2006-07-11,10.299367904663086
2006-07-12,10.297284126281738
2006-07-13,10.234725952148438
2006-07-14,10.132543563842773
2006-07-17,9.984491348266602
2006-07-18,10.074153900146484
2006-07-19,10.434914588928223
2006-07-20,10.353585243225098
2006-07-21,10.149225234985352
2006-07-24,10.23889446258545
2006-07-25,10.305627822875977
2006-07-26,10.295198440551758
2006-07-27,10.307711601257324
2006-07-28,10.424492835998535
2006-07-31,10.36192798614502
2006-08-01,10.184675216674805
2006-08-02,10.253491401672363
2006-08-03,10.405716896057129
2006-08-04,10.293112754821777
2006-08-07,10.31605339050293
2006-08-08,9.515294075012207
2006-08-09,9.748846054077148
2006-08-10,9.8489408493042
2006-08-11,9.794719696044922
2006-08-14,10.19510555267334
2006-08-15,10.4766206741333
2006-08-16,10.551692962646484
2006-08-17,10.568378448486328
2006-08-18,10.52458667755127
2006-08-21,10.495388984680176
2006-08-22,10.439085960388184
2006-08-23,10.409893035888672
2006-08-24,10.36192798614502
2006-08-25,10.326478958129883
2006-08-28,10.349419593811035
2006-08-29,10.33899211883545
2006-08-30,10.49747371673584
2006-08-31,10.614252090454102
2006-09-01,10.557950019836426
2006-09-05,10.676812171936035
2006-09-06,10.355672836303711
2006-09-07,10.203445434570312
2006-09-08,10.343158721923828
2006-09-11,10.263920783996582
2006-09-12,10.520413398742676
2006-09-13,10.572550773620605
2006-09-14,10.618423461914062
2006-09-15,10.71434497833252
2006-09-18,10.787331581115723
2006-09-19,10.447423934936523
2006-09-20,10.603825569152832
2006-09-21,10.516243934631348
2006-09-22,10.53709888458252
2006-09-25,10.64553451538086
2006-09-26,10.658042907714844
2006-09-27,10.674723625183105
2006-09-28,10.662215232849121
2006-09-29,10.60590648651123
2006-10-02,10.653870582580566
2006-10-03,10.662215232849121
2006-10-04,10.916622161865234
2006-10-05,11.073020935058594
2006-10-06,11.064679145812988
2006-10-09,11.08344554901123
2006-10-10,11.118897438049316
2006-10-11,11.143918991088867
2006-10-12,11.415011405944824
2006-10-13,11.394159317016602
2006-10-16,11.481743812561035
2006-10-17,11.483826637268066
2006-10-18,11.460892677307129
2006-10-19,11.396245002746582
2006-10-20,11.394159317016602
2006-10-23,11.444208145141602
2006-10-24,11.467142105102539
2006-10-25,11.49842643737793
2006-10-26,11.713211059570312
2006-10-27,11.63397216796875
2006-10-30,11.638142585754395
2006-10-31,11.652738571166992
2006-11-01,11.538046836853027
2006-11-02,11.483826637268066
2006-11-03,11.573497772216797
2006-11-06,11.731977462768555
2006-11-07,11.83415699005127
2006-11-08,11.832076072692871
2006-11-09,11.535964012145996
2006-11-10,11.690274238586426
2006-11-13,11.594347953796387
2006-11-14,11.48591136932373
2006-11-15,11.704872131347656
2006-11-16,11.677762031555176
2006-11-17,11.688187599182129
2006-11-20,11.648566246032715
2006-11-21,11.734064102172852
2006-11-22,11.769514083862305
2006-11-24,11.629804611206055
2006-11-27,11.28989315032959
2006-11-28,11.28989315032959
2006-11-29,11.333683967590332
2006-11-30,11.212738990783691
2006-12-01,11.36705207824707
2006-12-04,11.333683967590332
2006-12-05,11.381647109985352
2006-12-06,11.327430725097656
2006-12-07,11.344110488891602
2006-12-08,11.358704566955566
2006-12-11,11.496341705322266
2006-12-12,11.506765365600586
2006-12-13,11.456722259521484
2006-12-14,11.481743812561035
2006-12-15,11.4316987991333
2006-12-18,11.383733749389648
2006-12-19,11.406676292419434
2006-12-20,11.46922779083252
2006-12-21,11.446292877197266
2006-12-22,11.473401069641113
2006-12-26,11.510937690734863
2006-12-27,11.63188362121582
2006-12-28,11.625630378723145
2006-12-29,11.563066482543945
2007-01-03,11.713211059570312
2007-01-04,11.725726127624512
2007-01-05,11.713211059570312
2007-01-08,11.821648597717285
2007-01-09,11.848760604858398
2007-01-10,11.927999496459961
2007-01-11,12.151124954223633
2007-01-12,12.16780948638916
2007-01-16,12.292932510375977
2007-01-17,12.345064163208008
2007-01-18,12.286675453186035
2007-01-19,12.324207305908203
2007-01-22,12.426393508911133
2007-01-23,12.651601791381836
2007-01-24,12.645346641540527
2007-01-25,12.641176223754883
2007-01-26,12.532736778259277
2007-01-29,12.503543853759766
2007-01-30,12.286675453186035
2007-01-31,12.103165626525879
2007-02-01,12.18032169342041
2007-02-02,12.107336044311523
2007-02-05,12.009326934814453
2007-02-06,11.886295318603516
2007-02-07,11.980132102966309
2007-02-08,11.930087089538574
2007-02-09,11.909233093261719
2007-02-12,11.898810386657715
2007-02-13,11.953023910522461
2007-02-14,11.898810386657715
2007-02-15,11.921744346618652
2007-02-16,11.8612699508667
2007-02-20,11.973875999450684
2007-02-21,11.844587326049805
2007-02-22,11.838334083557129
2007-02-23,11.742403984069824
2007-02-26,11.8612699508667
2007-02-27,11.64439582824707
2007-02-28,11.744491577148438
2007-03-01,11.829986572265625
2007-03-02,11.63188362121582
2007-03-05,11.402498245239258
2007-03-06,11.52344799041748
2007-03-07,11.48591136932373
2007-03-08,11.577666282653809
2007-03-09,11.67358684539795
2007-03-12,11.717381477355957
2007-03-13,11.496341705322266
2007-03-14,11.542218208312988
2007-03-15,11.642311096191406
2007-03-16,11.529706954956055
2007-03-19,11.67984676361084
2007-03-20,11.706955909729004
2007-03-21,11.844587326049805
2007-03-22,11.90088939666748
2007-03-23,11.873780250549316
2007-03-26,11.807051658630371
2007-03-27,11.692360877990723
2007-03-28,11.721550941467285
2007-03-29,11.694448471069336
2007-03-30,11.907148361206055
2007-04-02,12.015586853027344
2007-04-03,12.217857360839844
2007-04-04,12.061456680297852
2007-04-05,12.1636381149292
2007-04-09,12.065634727478027
2007-04-10,12.096908569335938
2007-04-11,11.948853492736816
2007-04-12,12.048943519592285
2007-04-13,12.09482479095459
2007-04-16,12.16780948638916
2007-04-17,12.301271438598633
2007-04-18,12.38885498046875
2007-04-19,12.386771202087402
2007-04-20,12.443071365356445
2007-04-23,12.342979431152344
2007-04-24,12.342979431152344
2007-04-25,12.384683609008789
2007-04-26,12.409708023071289
2007-04-27,12.351318359375
2007-04-30,12.297099113464355
2007-05-01,12.36591625213623
2007-05-02,12.570279121398926
2007-05-03,12.901844024658203
2007-05-04,12.787150382995605
2007-05-07,12.662026405334473
2007-05-08,12.520230293273926
2007-05-09,12.499374389648438
2007-05-10,12.31795597076416
2007-05-11,12.34922981262207
2007-05-14,12.311697006225586
