Date,CAT
2001-02-09,11.555957794189453
2001-02-12,11.590901374816895
2001-02-13,11.625833511352539
2001-02-14,11.53446102142334
2001-02-15,11.85695743560791
2001-02-16,11.7360200881958
2001-02-20,11.233466148376465
2001-02-21,11.007725715637207
2001-02-22,10.935161590576172
2001-02-23,10.773917198181152
2001-02-26,11.187782287597656
2001-02-27,11.418906211853027
2001-02-28,11.179718017578125
2001-03-01,11.287219047546387
2001-03-02,11.469963073730469
2001-03-05,11.913395881652832
2001-03-06,11.961760520935059
2001-03-07,12.577178955078125
2001-03-08,12.843243598937988
2001-03-09,12.58793830871582
2001-03-12,12.082700729370117
2001-03-13,12.375631332397461
2001-03-14,12.037014961242676
2001-03-15,12.093453407287598
2001-03-16,11.985949516296387
2001-03-19,12.131072044372559
2001-03-20,11.78976821899414
2001-03-21,11.335593223571777
2001-03-22,11.11790657043457
2001-03-23,11.225409507751465
2001-03-26,11.539835929870605
2001-03-27,12.039701461791992
2001-03-28,12.227819442749023
2001-03-29,11.991328239440918
2001-03-30,11.926824569702148
2001-04-02,11.942951202392578
2001-04-03,11.330217361450195
2001-04-04,11.703770637512207
2001-04-05,12.303067207336426
2001-04-06,11.972506523132324
2001-04-09,12.08807373046875
2001-04-10,12.281571388244629
2001-04-11,12.131072044372559
2001-04-12,12.633627891540527
2001-04-16,12.56374740600586
2001-04-17,12.295002937316895
2001-04-18,13.020613670349121
2001-04-19,12.90423583984375
2001-04-20,12.95837116241455
2001-04-23,13.058502197265625
2001-04-24,13.072033882141113
2001-04-25,13.532132148742676
2001-04-26,13.356209754943848
2001-04-27,13.6160306930542
2001-04-30,13.58625316619873
2001-05-01,13.743227005004883
2001-05-02,13.613313674926758
2001-05-03,13.542951583862305
2001-05-04,13.68098258972168
2001-05-07,13.940796852111816
2001-05-08,14.032815933227539
2001-05-09,14.073410034179688
2001-05-10,14.460439682006836
2001-05-11,14.398175239562988
2001-05-14,14.295343399047852
2001-05-15,14.381942749023438
2001-05-16,15.131628036499023
2001-05-17,14.953001976013184
2001-05-18,14.953001976013184
2001-05-21,15.074790954589844
2001-05-22,15.210107803344727
2001-05-23,14.885333061218262
2001-05-24,14.722952842712402
2001-05-25,14.614697456359863
2001-05-29,14.923229217529297
2001-05-30,14.452309608459473
2001-05-31,14.657999992370605
2001-06-01,14.844743728637695
2001-06-04,15.096449851989746
2001-06-05,15.126212120056152
2001-06-06,14.79061508178711
2001-06-07,14.879922866821289
2001-06-08,14.70401382446289
2001-06-11,14.441488265991211
2001-06-12,14.565972328186035
2001-06-13,14.625523567199707
2001-06-14,14.666115760803223
2001-06-15,14.655288696289062
2001-06-18,14.739187240600586
2001-06-19,14.584928512573242
2001-06-20,15.020665168762207
2001-06-21,15.153273582458496
2001-06-22,14.79061508178711
2001-06-25,14.249332427978516
2001-06-26,14.398175239562988
2001-06-27,14.15189266204834
2001-06-28,13.710748672485352
2001-06-29,13.545665740966797
2001-07-02,14.062578201293945
2001-07-03,14.07070255279541
2001-07-05,13.986809730529785
2001-07-06,13.423867225646973
2001-07-09,13.64038372039795
2001-07-10,13.201949119567871
2001-07-11,13.261482238769531
2001-07-12,14.046347618103027
2001-07-13,14.20331859588623
2001-07-16,13.6322603225708
2001-07-17,14.492902755737305
2001-07-18,14.351249694824219
2001-07-19,14.76533031463623
2001-07-20,14.710845947265625
2001-07-23,14.68360710144043
2001-07-24,14.411178588867188
2001-07-25,14.438423156738281
2001-07-26,14.321283340454102
2001-07-27,14.370321273803711
2001-07-30,14.588249206542969
2001-07-31,15.010513305664062
2001-08-01,14.697219848632812
2001-08-02,14.874295234680176
2001-08-03,14.8334379196167
2001-08-06,14.424803733825684
2001-08-07,14.520146369934082
2001-08-08,14.373038291931152
2001-08-09,14.261343002319336
2001-08-10,14.615499496459961
2001-08-13,14.716293334960938
2001-08-14,14.672709465026855
2001-08-15,15.045926094055176
2001-08-16,14.751708030700684
2001-08-17,14.642740249633789
2001-08-20,14.370321273803711
2001-08-21,14.277698516845703
2001-08-22,14.520146369934082
2001-08-23,14.111516952514648
2001-08-24,14.2313814163208
2001-08-27,14.29130744934082
2001-08-28,14.20413589477539
2001-08-29,13.939886093139648
2001-08-30,13.621161460876465
2001-08-31,13.621161460876465
2001-09-04,13.724677085876465
2001-09-05,13.702869415283203
2001-09-06,13.92898941040039
2001-09-07,13.310595512390137
2001-09-10,13.103546142578125
2001-09-17,12.174592018127441
2001-09-18,12.452454566955566
2001-09-19,12.095587730407715
2001-09-20,11.360042572021484
2001-09-21,12.000236511230469
2001-09-24,12.564152717590332
2001-09-25,12.634987831115723
2001-09-26,12.005691528320312
2001-09-27,11.932133674621582
2001-09-28,12.20455265045166
2001-10-01,11.98116683959961
2001-10-02,12.368006706237793
2001-10-03,12.918304443359375
2001-10-04,12.921027183532715
2001-10-05,13.14441204071045
2001-10-08,12.705806732177734
2001-10-09,12.776640892028809
2001-10-10,12.888343811035156
2001-10-11,13.430459022521973
2001-10-12,13.226139068603516
2001-10-15,13.130791664123535
2001-10-16,13.084481239318848
2001-10-17,12.782092094421387
2001-10-18,12.732684135437012
