Date,VRT
2019-12-19,10.804795265197754
2019-12-20,10.92418384552002
2019-12-23,10.894338607788086
2019-12-24,10.84459114074707
2019-12-26,10.864489555358887
2019-12-27,10.884387969970703
2019-12-30,10.864489555358887
2019-12-31,10.973931312561035
2020-01-02,11.162965774536133
2020-01-03,11.18286418914795
2020-01-06,11.262454986572266
2020-01-07,11.351999282836914
2020-01-08,11.391796112060547
2020-01-09,11.690272331237793
2020-01-10,11.610676765441895
2020-01-13,11.610676765441895
2020-01-14,11.640525817871094
2020-01-15,11.65047550201416
2020-01-16,11.610676765441895
2020-01-17,11.342049598693848
2020-01-21,11.441542625427246
2020-01-22,11.531085014343262
2020-01-23,11.640525817871094
2020-01-24,11.849457740783691
2020-01-27,12.098187446594238
2020-01-28,12.446407318115234
2020-01-29,12.56579875946045
2020-01-30,12.426508903503418
2020-01-31,12.33696460723877
2020-02-03,12.317068099975586
2020-02-04,12.625492095947266
2020-02-05,12.724983215332031
2020-02-06,12.794626235961914
2020-02-07,12.814525604248047
2020-02-10,12.933916091918945
2020-02-11,12.685187339782715
2020-02-12,12.436457633972168
2020-02-13,12.605592727661133
2020-02-14,12.933916091918945
2020-02-18,13.272189140319824
2020-02-19,13.391578674316406
2020-02-20,12.933916091918945
2020-02-21,12.78467845916748
2020-02-24,12.625492095947266
2020-02-25,12.436457633972168
2020-02-26,12.25737190246582
2020-02-27,11.77981185913086
2020-02-28,11.730069160461426
2020-03-02,11.700220108032227
2020-03-03,11.083373069763184
2020-03-04,11.18286418914795
2020-03-05,10.436675071716309
2020-03-06,9.949167251586914
2020-03-09,9.899421691894531
2020-03-10,11.043577194213867
2020-03-11,10.595864295959473
2020-03-12,8.65577507019043
2020-03-13,8.854758262634277
2020-03-16,7.690705299377441
2020-03-17,7.213146686553955
2020-03-18,5.541686534881592
2020-03-19,6.725637435913086
2020-03-20,7.322587490081787
2020-03-23,6.725637435913086
2020-03-24,7.6409592628479
2020-03-25,8.874656677246094
2020-03-26,8.834859848022461
2020-03-27,8.178215980529785
2020-03-30,8.098623275756836
2020-03-31,8.60602855682373
2020-04-01,8.028977394104004
2020-04-02,8.08867359161377
2020-04-03,7.8598408699035645
2020-04-06,8.556285858154297
2020-04-07,8.098623275756836
2020-04-08,8.456792831420898
2020-04-09,9.14328384399414
2020-04-13,9.600946426391602
2020-04-14,9.829776763916016
2020-04-15,9.670591354370117
2020-04-16,9.949167251586914
2020-04-17,10.227744102478027
2020-04-20,10.207846641540527
2020-04-21,9.929268836975098
2020-04-22,9.949167251586914
2020-04-23,10.038710594177246
2020-04-24,10.207846641540527
2020-04-27,10.317286491394043
2020-04-28,10.396880149841309
2020-04-29,10.595864295959473
2020-04-30,10.53616714477539
2020-05-01,10.237692832946777
2020-05-04,10.038710594177246
2020-05-05,10.347134590148926
2020-05-06,10.595864295959473
2020-05-07,10.814743995666504
2020-05-08,10.954030990600586
2020-05-11,11.481339454650879
2020-05-12,11.501237869262695
2020-05-13,11.18286418914795
2020-05-14,11.531085014343262
2020-05-15,11.391796112060547
2020-05-18,11.65047550201416
2020-05-19,11.690272331237793
2020-05-20,11.90915298461914
2020-05-21,11.958900451660156
2020-05-22,12.008645057678223
2020-05-26,12.426508903503418
2020-05-27,12.386712074279785
2020-05-28,12.486202239990234
2020-05-29,12.665287971496582
2020-06-01,13.242341041564941
2020-06-02,13.401529312133789
2020-06-03,13.849241256713867
2020-06-04,13.570663452148438
2020-06-05,13.928833961486816
2020-06-08,14.784461975097656
2020-06-09,14.14771556854248
2020-06-10,14.14771556854248
2020-06-11,13.471171379089355
2020-06-12,14.187511444091797
2020-06-15,14.16761302947998
2020-06-16,14.416342735290527
2020-06-17,14.088020324707031
2020-06-18,14.197463035583496
2020-06-19,13.749749183654785
2020-06-22,13.411478042602539
2020-06-23,13.510969161987305
2020-06-24,13.122950553894043
2020-06-25,12.914017677307129
2020-06-26,12.207626342773438
2020-06-29,13.043356895446777
2020-06-30,13.491070747375488
2020-07-01,13.89898681640625
2020-07-02,13.998477935791016
2020-07-06,13.89898681640625
2020-07-07,13.550765991210938
2020-07-08,13.759697914123535
2020-07-09,13.80944538116455
2020-07-10,13.829341888427734
2020-07-13,13.471171379089355
2020-07-14,13.779596328735352
2020-07-15,13.928833961486816
2020-07-16,13.80944538116455
2020-07-17,14.16761302947998
2020-07-20,13.918883323669434
2020-07-21,13.80944538116455
2020-07-22,13.69005298614502
2020-07-23,13.491070747375488
2020-07-24,13.510969161987305
2020-07-27,13.590561866760254
2020-07-28,13.481121063232422
2020-07-29,13.928833961486816
2020-07-30,14.17756175994873
2020-07-31,14.42629337310791
2020-08-03,14.933698654174805
2020-08-04,15.122734069824219
2020-08-05,16.80414390563965
2020-08-06,16.336536407470703
2020-08-07,16.40617561340332
2020-08-10,16.794191360473633
2020-08-11,16.684751510620117
2020-08-12,15.679887771606445
2020-08-13,16.575313568115234
2020-08-14,16.21714210510254
2020-08-17,15.669938087463379
2020-08-18,15.421208381652832
2020-08-19,15.600296020507812
2020-08-20,16.11765480041504
2020-08-21,15.82912540435791
2020-08-24,16.416128158569336
2020-08-25,16.8339900970459
2020-08-26,16.654903411865234
2020-08-27,16.664854049682617
2020-08-28,16.416128158569336
2020-08-31,16.147497177124023
2020-09-01,16.35643196105957
2020-09-02,16.5554141998291
2020-09-03,15.878870964050293
2020-09-04,16.018157958984375
2020-09-08,16.26688575744629
2020-09-09,16.76434898376465
2020-09-10,16.82404136657715
2020-09-11,16.863840103149414
2020-09-14,17.450838088989258
2020-09-15,17.570228576660156
2020-09-16,17.490636825561523
2020-09-17,17.31155014038086
2020-09-18,17.520484924316406
2020-09-21,16.863840103149414
2020-09-22,16.88373374938965
2020-09-23,16.644954681396484
2020-09-24,16.5554141998291
