Date,TSN
2008-02-26,10.210445404052734
2008-02-27,10.596553802490234
2008-02-28,10.632306098937988
2008-02-29,10.303400993347168
2008-03-03,10.696660041809082
2008-03-04,10.668060302734375
2008-03-05,11.576128959655762
2008-03-06,11.619030952453613
2008-03-07,11.304418563842773
2008-03-10,11.20432186126709
2008-03-11,11.483175277709961
2008-03-12,11.762033462524414
2008-03-13,11.869287490844727
2008-03-14,11.404524803161621
2008-03-17,11.161418914794922
2008-03-18,11.840685844421387
2008-03-19,11.976541519165039
2008-03-20,12.07663631439209
2008-03-24,12.11954402923584
2008-03-25,11.876434326171875
2008-03-26,11.78348445892334
2008-03-27,11.511778831481934
2008-03-28,11.533226013183594
2008-03-31,11.404524803161621
2008-04-01,12.033737182617188
2008-04-02,11.647635459899902
2008-04-03,11.7548828125
2008-04-04,12.02658748626709
2008-04-07,12.155293464660645
2008-04-08,11.990838050842285
2008-04-09,11.762033462524414
2008-04-10,12.126692771911621
2008-04-11,12.048041343688965
2008-04-14,12.241090774536133
2008-04-15,12.548556327819824
2008-04-16,12.777359962463379
2008-04-17,13.177766799926758
2008-04-18,13.599627494812012
2008-04-21,13.899937629699707
2008-04-22,13.420875549316406
2008-04-23,12.991865158081055
2008-04-24,12.927512168884277
2008-04-25,12.97756576538086
2008-04-28,13.041915893554688
2008-04-29,12.763053894042969
2008-04-30,12.727306365966797
2008-05-01,12.741599082946777
2008-05-02,12.727306365966797
2008-05-05,12.834563255310059
2008-05-06,12.662954330444336
2008-05-07,12.634354591369629
2008-05-08,12.741599082946777
2008-05-09,12.405550956726074
2008-05-12,12.71300983428955
2008-05-13,12.848858833312988
2008-05-14,12.984715461730957
2008-05-15,13.306475639343262
2008-05-16,13.056215286254883
2008-05-19,13.099114418029785
2008-05-20,12.941815376281738
2008-05-21,12.848858833312988
2008-05-22,13.127715110778809
2008-05-23,12.741599082946777
2008-05-27,12.877462387084961
2008-05-28,13.035115242004395
2008-05-29,13.386252403259277
2008-05-30,13.500909805297852
2008-06-02,13.221434593200684
2008-06-03,12.168018341064453
2008-06-04,12.26118278503418
2008-06-05,12.182347297668457
2008-06-06,11.594730377197266
2008-06-09,11.22925853729248
2008-06-10,10.949785232543945
2008-06-11,10.634476661682129
2008-06-12,10.65597152709961
2008-06-13,10.720467567443848
2008-06-16,10.562810897827148
2008-06-17,10.677472114562988
2008-06-18,9.80321216583252
2008-06-19,10.369331359863281
2008-06-20,10.66313648223877
2008-06-23,10.29766845703125
2008-06-24,10.30483627319336
2008-06-25,10.74913215637207
2008-06-26,10.519814491271973
2008-06-27,10.491154670715332
2008-06-30,10.706133842468262
2008-07-01,10.29050064086914
2008-07-02,10.254670143127441
2008-07-03,10.283334732055664
2008-07-07,10.226006507873535
2008-07-08,10.77062702178955
2008-07-09,10.706133842468262
2008-07-10,10.971280097961426
2008-07-11,10.52698040008545
2008-07-14,10.677472114562988
2008-07-15,11.028613090515137
2008-07-16,11.558897972106934
2008-07-17,11.55173397064209
2008-07-18,11.723721504211426
2008-07-21,11.637725830078125
2008-07-22,11.68789005279541
2008-07-23,11.953032493591309
2008-07-24,11.558897972106934
2008-07-25,11.630558013916016
2008-07-28,10.813624382019043
2008-07-29,10.921119689941406
2008-07-30,11.28658676147461
2008-07-31,10.677472114562988
2008-08-01,10.65597152709961
2008-08-04,10.741965293884277
2008-08-05,11.580398559570312
2008-08-06,11.759552955627441
2008-08-07,11.343915939331055
2008-08-08,11.68789005279541
2008-08-11,12.103519439697266
2008-08-12,12.232513427734375
2008-08-13,11.745223045349121
2008-08-14,12.074857711791992
2008-08-15,12.00319766998291
2008-08-18,11.824043273925781
2008-08-19,11.494407653808594
2008-08-20,11.702221870422363
2008-08-21,11.673561096191406
2008-08-22,11.472909927368164
2008-08-25,11.616226196289062
2008-08-26,10.928282737731934
2008-08-27,11.028873443603516
2008-08-28,10.770215034484863
2008-08-29,10.43252182006836
2008-09-02,10.705550193786621
2008-09-03,10.906730651855469
2008-09-04,9.972688674926758
2008-09-05,10.224160194396973
2008-09-08,9.872099876403809
2008-09-09,9.354780197143555
2008-09-10,9.412261009216309
2008-09-11,9.584701538085938
2008-09-12,9.692474365234375
2008-09-15,9.340415954589844
2008-09-16,9.383522987365723
2008-09-17,9.07457447052002
2008-09-18,9.326045036315918
2008-09-19,9.433817863464355
2008-09-22,9.326045036315918
2008-09-23,9.211085319519043
2008-09-24,8.722512245178223
2008-09-25,9.412261009216309
2008-09-26,9.117679595947266
2008-09-29,8.0758695602417
2008-09-30,8.578811645507812
2008-10-01,9.247010231018066
2008-10-02,8.837469100952148
2008-10-03,8.392001152038574
2008-10-06,8.442298889160156
2008-10-07,7.939351558685303
2008-10-08,8.047126770019531
2008-10-09,7.695065975189209
2008-10-10,7.572922229766846
2008-10-13,8.34170913696289
2008-10-14,8.478222846984863
2008-10-15,7.587290287017822
2008-10-16,7.702248573303223
2008-10-17,7.939351558685303
2008-10-20,8.427925109863281
2008-10-21,7.831578254699707
2008-10-22,7.228046417236328
2008-10-23,7.479518413543701
2008-10-24,6.9262776374816895
2008-10-27,5.740762710571289
2008-10-28,5.747946739196777
2008-10-29,5.676097393035889
2008-10-30,5.963497638702393
2008-10-31,6.279632568359375
2008-11-03,6.229338645935059
2008-11-04,6.250891208648682
2008-11-05,6.200597286224365
2008-11-06,5.597064018249512
2008-11-07,5.359960556030273
2008-11-10,4.8067216873168945
2008-11-11,3.6715011596679688
2008-11-12,3.4487686157226562
2008-11-13,3.6858718395233154
2008-11-14,3.520618200302124
2008-11-17,3.4487686157226562
2008-11-18,3.5996525287628174
2008-11-19,3.6212069988250732
2008-11-20,3.1613707542419434
2008-11-21,3.7002408504486084
2008-11-24,4.239111423492432
2008-11-25,4.504952430725098
2008-11-26,5.076208114624023
2008-11-28,4.852044582366943
2008-12-01,4.360332489013672
2008-12-02,4.418181419372559
2008-12-03,4.72188663482666
2008-12-04,4.989435195922852
2008-12-05,5.314833164215088
2008-12-08,5.336526393890381
2008-12-09,5.293141841888428
2008-12-10,5.285909175872803
2008-12-11,5.032822608947754
2008-12-12,5.141288757324219
2008-12-15,4.996665000915527
2008-12-16,5.5968451499938965
2008-12-17,5.719771862030029
2008-12-18,5.531763553619385
2008-12-19,5.857161521911621
2008-12-22,5.82100772857666
2008-12-23,5.712540626525879
2008-12-24,5.835468292236328
2008-12-26,5.929471969604492
2008-12-29,5.67638635635376
2008-12-30,6.182558536529541
2008-12-31,6.334414005279541
2009-01-02,6.761047840118408
2009-01-05,6.356110095977783
2009-01-06,6.392262935638428
2009-01-07,5.972859859466553
2009-01-08,5.886089324951172
2009-01-09,6.110250473022461
2009-01-12,6.074095249176025
2009-01-13,6.283796310424805
2009-01-14,6.08855676651001
2009-01-15,6.1391754150390625
2009-01-16,6.348875522613525
2009-01-20,5.980093002319336
2009-01-21,6.160867214202881
