Date,DELL
2017-04-21,16.450368881225586
2017-04-24,16.89980125427246
2017-04-25,16.94321060180664
2017-04-26,17.1245174407959
2017-04-27,17.219003677368164
2017-04-28,17.137290954589844
2017-05-01,17.25475311279297
2017-05-02,17.091320037841797
2017-05-03,16.897245407104492
2017-05-04,16.9355525970459
2017-05-05,17.18324851989746
2017-05-08,17.270071029663086
2017-05-09,17.17048454284668
2017-05-10,17.10409164428711
2017-05-11,16.879371643066406
2017-05-12,16.585708618164062
2017-05-15,16.920230865478516
2017-05-16,16.991731643676758
2017-05-17,16.570383071899414
2017-05-18,16.511655807495117
2017-05-19,16.578046798706055
2017-05-22,17.206235885620117
2017-05-23,17.206235885620117
2017-05-24,17.382434844970703
2017-05-25,17.533100128173828
2017-05-26,17.56884765625
2017-05-30,17.556079864501953
2017-05-31,17.719512939453125
2017-06-01,17.69141960144043
2017-06-02,17.428401947021484
2017-06-05,17.009605407714844
2017-06-06,17.142396926879883
2017-06-07,17.321147918701172
2017-06-08,16.62401008605957
2017-06-09,15.975395202636719
2017-06-12,15.893678665161133
2017-06-13,16.041791915893555
2017-06-14,15.87580394744873
2017-06-15,15.794081687927246
2017-06-16,15.86303424835205
2017-06-19,16.00348472595215
2017-06-20,15.891122817993164
2017-06-21,16.16946792602539
