Date,C
2000-04-10,242.29257202148438
2000-04-11,246.91453552246094
2000-04-12,245.2117462158203
2000-04-13,243.5087890625
2000-04-14,225.75048828125
2000-04-17,230.6158447265625
2000-04-18,241.8059539794922
2000-04-19,232.07530212402344
2000-04-20,238.40037536621094
2000-04-24,240.58978271484375
2000-04-25,251.05018615722656
2000-04-26,243.26560974121094
2000-04-27,239.98773193359375
2000-04-28,230.23211669921875
2000-05-01,235.3538055419922
2000-05-02,238.52447509765625
2000-05-03,234.6222686767578
2000-05-04,228.768798828125
2000-05-05,232.42718505859375
2000-05-08,233.15879821777344
2000-05-09,232.1832275390625
2000-05-10,220.23257446289062
2000-05-11,229.74435424804688
2000-05-12,234.86607360839844
2000-05-15,245.3533172607422
2000-05-16,240.71945190429688
2000-05-17,238.28054809570312
2000-05-18,240.23162841796875
2000-05-19,237.79273986816406
2000-05-22,239.2559814453125
2000-05-23,243.1584014892578
2000-05-24,239.5001220703125
2000-05-25,228.52496337890625
2000-05-26,227.3053741455078
2000-05-30,235.3538055419922
2000-05-31,242.6705780029297
2000-06-01,247.0605010986328
2000-06-02,259.9867248535156
2000-06-05,259.2550048828125
2000-06-06,252.91383361816406
2000-06-07,259.0111389160156
2000-06-08,251.69451904296875
2000-06-09,249.74342346191406
2000-06-12,249.74342346191406
2000-06-13,254.86508178710938
2000-06-14,261.9378967285156
2000-06-15,253.15786743164062
2000-06-16,244.62164306640625
2000-06-19,250.962890625
2000-06-20,251.20669555664062
2000-06-21,243.88995361328125
2000-06-22,242.9145050048828
2000-06-23,241.45111083984375
2000-06-26,249.74342346191406
2000-06-27,249.49937438964844
2000-06-28,250.47500610351562
2000-06-29,244.37774658203125
2000-06-30,235.1099853515625
2000-07-03,243.64601135253906
2000-07-05,246.81663513183594
2000-07-06,249.25563049316406
2000-07-07,254.37721252441406
2000-07-10,254.6212158203125
2000-07-11,260.9622802734375
2000-07-12,260.9622802734375
2000-07-13,259.9867248535156
2000-07-14,265.3522033691406
2000-07-17,259.0111389160156
2000-07-18,260.23065185546875
2000-07-19,265.3522033691406
2000-07-20,275.3518371582031
2000-07-21,276.5712585449219
2000-07-24,276.0833740234375
2000-07-25,274.864013671875
2000-07-26,271.69329833984375
2000-07-27,272.9128723144531
2000-07-28,268.03515625
2000-07-31,275.10791015625
2000-08-01,275.10791015625
2000-08-02,277.0590515136719
2000-08-03,279.0093688964844
2000-08-04,287.56781005859375
2000-08-07,288.3016357421875
2000-08-08,284.878173828125
2000-08-09,284.1445617675781
2000-08-10,278.5202941894531
2000-08-11,283.4110107421875
2000-08-14,289.5242004394531
2000-08-15,289.27984619140625
2000-08-16,286.3453369140625
2000-08-17,292.4586181640625
2000-08-18,292.5809020996094
2000-08-21,300.7726745605469
2000-08-22,302.48431396484375
2000-08-23,294.9038391113281
2000-08-24,300.2835998535156
2000-08-25,297.1047058105469
2000-08-28,307.1305847167969
2000-08-29,302.5657958984375
2000-08-30,302.5657958984375
2000-08-31,304.60369873046875
2000-09-01,299.9576110839844
2000-09-05,300.2835998535156
2000-09-06,286.50830078125
2000-09-07,285.6116943359375
2000-09-08,294.7408142089844
2000-09-11,296.0450134277344
2000-09-12,294.7408142089844
2000-09-13,290.828369140625
2000-09-14,293.2735900878906
2000-09-15,287.2419128417969
2000-09-18,279.09088134765625
2000-09-19,283.00335693359375
2000-09-20,277.4607238769531
2000-09-21,268.6576232910156
2000-09-22,275.17840576171875
2000-09-25,282.3512878417969
2000-09-26,279.09088134765625
2000-09-27,266.70135498046875
2000-09-28,278.7649230957031
2000-09-29,282.0252990722656
2000-10-02,288.87200927734375
2000-10-03,296.69720458984375
2000-10-04,285.6116943359375
2000-10-05,292.7846984863281
2000-10-06,279.09088134765625
2000-10-09,274.5263671875
2000-10-10,266.0492248535156
2000-10-11,258.2242431640625
2000-10-12,243.8784637451172
2000-10-13,259.8546142578125
2000-10-16,265.07110595703125
2000-10-17,257.5722351074219
2000-10-18,258.55035400390625
2000-10-19,267.67950439453125
2000-10-20,265.7232971191406
2000-10-23,263.114990234375
2000-10-24,269.6356201171875
2000-10-25,264.0930480957031
2000-10-26,255.61593627929688
2000-10-27,262.1366882324219
2000-10-30,268.9836120605469
2000-10-31,274.5263671875
2000-11-01,269.6356201171875
2000-11-02,277.56036376953125
2000-11-03,282.1373596191406
