Date,WEC
2007-05-18,13.45698356628418
2007-05-21,13.421584129333496
2007-05-22,13.45698356628418
2007-05-23,13.255518913269043
2007-05-24,12.923384666442871
2007-05-25,12.847153663635254
2007-05-29,12.969661712646484
2007-05-30,13.067671775817871
2007-05-31,13.184735298156738
2007-06-01,13.176567077636719
2007-06-04,13.113956451416016
2007-06-05,12.98872184753418
2007-06-06,12.760034561157227
2007-06-07,12.332613945007324
2007-06-08,12.351669311523438
2007-06-11,12.3843412399292
2007-06-12,12.20193862915039
2007-06-13,12.362556457519531
2007-06-14,12.332613945007324
2007-06-15,12.408843994140625
2007-06-18,12.272726058959961
2007-06-19,12.272726058959961
2007-06-20,12.022255897521973
2007-06-21,12.122987747192383
2007-06-22,12.049482345581055
2007-06-25,12.008647918701172
2007-06-26,11.978699684143066
2007-06-27,12.084870338439941
2007-06-28,12.093039512634277
2007-06-29,12.041314125061035
2007-07-02,12.136597633361816
2007-07-03,12.093039512634277
2007-07-05,12.024975776672363
2007-07-06,11.946028709411621
2007-07-09,11.954193115234375
2007-07-10,11.766348838806152
2007-07-11,11.771794319152832
2007-07-12,11.916084289550781
2007-07-13,12.079425811767578
2007-07-16,11.989583015441895
2007-07-17,11.92969036102295
2007-07-18,12.076705932617188
2007-07-19,12.321723937988281
2007-07-20,12.272726058959961
2007-07-23,12.305388450622559
2007-07-24,12.065814018249512
2007-07-25,12.139324188232422
2007-07-26,11.932414054870605
2007-07-27,11.68467903137207
2007-07-30,11.616613388061523
2007-07-31,11.687397956848145
2007-08-01,11.880691528320312
2007-08-02,12.220993041992188
2007-08-03,11.777234077453613
2007-08-06,12.147491455078125
2007-08-07,12.302669525146484
2007-08-08,12.264558792114258
2007-08-09,11.769070625305176
2007-08-10,11.662277221679688
2007-08-13,11.807401657104492
2007-08-14,11.747166633605957
2007-08-15,11.451430320739746
2007-08-16,11.533583641052246
2007-08-17,11.744428634643555
2007-08-20,11.75811767578125
2007-08-21,11.815616607666016
2007-08-22,11.881341934204102
2007-08-23,11.914199829101562
2007-08-24,12.086705207824707
2007-08-27,11.799187660217285
2007-08-28,11.659534454345703
2007-08-29,12.015512466430664
2007-08-30,12.103141784667969
2007-08-31,12.133255958557129
2007-09-04,12.459111213684082
2007-09-05,12.34958267211914
2007-09-06,12.483759880065918
2007-09-07,12.237314224243164
2007-09-10,12.130522727966309
2007-09-11,12.18802547454834
2007-09-12,12.130522727966309
2007-09-13,12.045636177062988
2007-09-14,12.089448928833008
2007-09-17,12.015512466430664
2007-09-18,12.198980331420898
2007-09-19,12.41256332397461
2007-09-20,12.294814109802246
2007-09-21,12.434467315673828
2007-09-24,12.3605375289917
2007-09-25,12.35780143737793
2007-09-26,12.418039321899414
2007-09-27,12.448158264160156
2007-09-28,12.330418586730957
2007-10-01,12.500187873840332
2007-10-02,12.379707336425781
2007-10-03,12.418039321899414
2007-10-04,12.596029281616211
2007-10-05,12.606980323791504
2007-10-08,12.472806930541992
2007-10-09,12.66174602508545
2007-10-10,12.565905570983887
2007-10-11,12.535787582397461
2007-10-12,12.626148223876953
2007-10-15,12.568642616271973
2007-10-16,12.527569770812988
2007-10-17,12.491971015930176
2007-10-18,12.522096633911133
2007-10-19,12.272909164428711
2007-10-22,12.390655517578125
2007-10-23,12.363277435302734
2007-10-24,12.513882637023926
2007-10-25,12.691868782043457
