Date,GEV
2025-08-14,624.1721801757812
2025-08-15,620.8180541992188
2025-08-18,623.922607421875
2025-08-19,602.071044921875
2025-08-20,603.5285034179688
2025-08-21,604.9359741210938
2025-08-22,606.0040893554688
2025-08-25,601.25244140625
2025-08-26,624.81103515625
2025-08-27,621.2972412109375
2025-08-28,632.577392578125
2025-08-29,611.8937377929688
2025-09-02,578.6621704101562
2025-09-03,576.02685546875
2025-09-04,597.7586059570312
2025-09-05,581.0579833984375
2025-09-08,599.1761474609375
2025-09-09,604.6365356445312
2025-09-10,642.4300537109375
2025-09-11,633.0365600585938
2025-09-12,624.45166015625
2025-09-15,627.576171875
2025-09-16,616.8250732421875
2025-09-17,613.7105102539062
2025-09-18,609.9271850585938
2025-09-19,623.0740356445312
2025-09-22,643.2386474609375
2025-09-23,632.2977905273438
2025-09-24,627.8656616210938
2025-09-25,606.453369140625
2025-09-26,604.107421875
2025-09-29,601.3722534179688
2025-09-30,613.8204345703125
2025-10-01,605.085693359375
2025-10-02,605.1655883789062
2025-10-03,593.9453125
2025-10-06,602.1608276367188
2025-10-07,605.0557861328125
2025-10-08,624.3518676757812
2025-10-09,633.1564331054688
2025-10-10,603.49853515625
2025-10-13,647.1117553710938
2025-10-14,643.2785034179688
2025-10-15,614.8684692382812
2025-10-16,600.9429931640625
2025-10-17,598.946533203125
2025-10-20,593.274169921875
2025-10-21,584.5458374023438
2025-10-22,575.2283935546875
2025-10-23,594.3527221679688
2025-10-24,583.607177734375
2025-10-27,583.607177734375
2025-10-28,570.215087890625
2025-10-29,577.1956787109375
2025-10-30,573.3009643554688
2025-10-31,584.3561401367188
2025-11-03,580.4813232421875
2025-11-04,547.2259521484375
2025-11-05,558.9501953125
2025-11-06,549.4329833984375
2025-11-07,574.3594970703125
2025-11-10,579.0232543945312
2025-11-11,575.3082885742188
2025-11-12,574.6292114257812
2025-11-13,557.4222412109375
2025-11-14,577.5352783203125
2025-11-17,576.2470092773438
2025-11-18,554.1865844726562
2025-11-19,594.5723876953125
2025-11-20,557.282470703125
2025-11-21,555.0953979492188
2025-11-24,579.7123413085938
2025-11-25,571.79296875
2025-11-26,588.929931640625
2025-11-28,598.9664916992188
2025-12-01,576.127197265625
2025-12-02,600.774169921875
2025-12-03,601.16357421875
2025-12-04,628.2672119140625
2025-12-05,630.4742431640625
2025-12-08,621.06689453125
2025-12-09,624.4623413085938
2025-12-10,722.0314331054688
2025-12-11,703.256591796875
2025-12-12,670.8101806640625
2025-12-15,680.437255859375
2025-12-16,685.3006591796875
2025-12-17,613.3672485351562
2025-12-18,638.5734252929688
2025-12-19,657.3981323242188
2025-12-22,660.9234008789062
2025-12-23,660.5639038085938
2025-12-24,666.4260864257812
2025-12-26,662.5712280273438
2025-12-29,662.5712280273438
2025-12-30,658.75634765625
