Date,T
2006-06-27,5.10129451751709
2006-06-28,5.11248779296875
2006-06-29,5.166577339172363
2006-06-30,5.202014446258545
2006-07-03,5.209475994110107
2006-07-05,5.203880310058594
2006-07-06,5.241954326629639
2006-07-07,5.257114410400391
2006-07-10,5.1888885498046875
2006-07-11,5.162355899810791
2006-07-12,5.147195816040039
2006-07-13,5.033486366271973
2006-07-14,5.0372796058654785
2006-07-17,5.0694966316223145
2006-07-18,5.114980220794678
2006-07-19,5.2059431076049805
2006-07-20,5.173730850219727
2006-07-21,5.181309700012207
2006-07-24,5.264692783355713
2006-07-25,5.486424922943115
2006-07-26,5.590656757354736
2006-07-27,5.624770164489746
2006-07-28,5.696787357330322
2006-07-31,5.683520793914795
2006-08-01,5.639931678771973
2006-08-02,5.795333385467529
2006-08-03,5.855978488922119
2006-08-04,5.869245529174805
2006-08-07,5.835132122039795
2006-08-08,5.819971084594727
2006-08-09,5.730897903442383
2006-08-10,5.727106094360352
2006-08-11,5.727106094360352
2006-08-14,5.683520793914795
2006-08-15,5.753639221191406
2006-08-16,5.732795238494873
2006-08-17,5.770693778991699
2006-08-18,5.782067775726318
2006-08-21,5.791543006896973
2006-08-22,5.789650917053223
2006-08-23,5.776383876800537
2006-08-24,5.774487495422363
2006-08-25,5.804809093475342
2006-08-28,5.869245529174805
2006-08-29,5.926097869873047
2006-08-30,5.910934925079346
2006-08-31,5.899564266204834
2006-09-01,5.990535259246826
2006-09-05,6.009483337402344
2006-09-06,5.981054306030273
2006-09-07,5.9279937744140625
2006-09-08,5.941257953643799
2006-09-11,5.9886393547058105
2006-09-12,6.045490264892578
2006-09-13,6.03790807723999
2006-09-14,6.11182165145874
2006-09-15,6.03790807723999
2006-09-18,5.952629089355469
2006-09-19,5.958315372467041
2006-09-20,6.075813293457031
2006-09-21,6.117504596710205
2006-09-22,6.23500394821167
2006-09-25,6.346816539764404
2006-09-26,6.32028865814209
2006-09-27,6.172466278076172
2006-09-28,6.134562969207764
2006-09-29,6.170568943023682
2006-10-02,6.108030796051025
2006-10-03,6.168674468994141
2006-10-04,6.200893402099609
2006-10-05,6.133828639984131
2006-10-06,6.105012893676758
2006-10-09,6.1818528175354
2006-10-10,6.295194149017334
2006-10-11,6.331694602966309
2006-10-12,6.454639911651611
2006-10-13,6.454639911651611
2006-10-16,6.337457180023193
2006-10-17,6.3509039878845215
2006-10-18,6.327852725982666
2006-10-19,6.48345422744751
2006-10-20,6.6160054206848145
2006-10-23,6.667874813079834
2006-10-24,6.671712875366211
2006-10-25,6.594875812530518
2006-10-26,6.6083221435546875
2006-10-27,6.573744297027588
2006-10-30,6.516110897064209
2006-10-31,6.579505920410156
2006-11-01,6.485377788543701
2006-11-02,6.5353217124938965
