Date,GD
2007-09-05,50.72478485107422
2007-09-06,51.363155364990234
2007-09-07,50.900672912597656
2007-09-10,51.26544952392578
2007-09-11,51.806129455566406
2007-09-12,52.16437911987305
2007-09-13,52.67249298095703
2007-09-14,52.84185791015625
2007-09-17,52.424957275390625
2007-09-18,53.34341049194336
2007-09-19,54.06648254394531
2007-09-20,54.209800720214844
2007-09-21,54.040428161621094
2007-09-24,53.24571990966797
2007-09-25,54.9133186340332
2007-09-26,54.958927154541016
2007-09-27,55.232540130615234
2007-09-28,55.02402877807617
2007-10-01,55.05011749267578
2007-10-02,54.29450225830078
2007-10-03,54.4317512512207
2007-10-04,54.77820587158203
2007-10-05,54.948184967041016
2007-10-08,56.15095520019531
2007-10-09,56.98112106323242
2007-10-10,56.20323944091797
2007-10-11,56.87650680541992
2007-10-12,58.1838493347168
2007-10-15,58.14463806152344
2007-10-16,57.64132308959961
2007-10-17,57.07260513305664
2007-10-18,57.35367965698242
2007-10-19,55.869815826416016
2007-10-22,56.17707061767578
2007-10-23,56.935333251953125
2007-10-24,58.830989837646484
2007-10-25,59.079383850097656
2007-10-26,59.63502883911133
2007-10-29,59.12519836425781
2007-10-30,58.817909240722656
2007-10-31,59.45853042602539
2007-11-01,58.77869415283203
2007-11-02,58.91596603393555
2007-11-05,60.040313720703125
2007-11-06,61.131935119628906
2007-11-07,59.13169860839844
2007-11-08,59.445472717285156
2007-11-09,57.68055725097656
2007-11-12,56.71307373046875
2007-11-13,57.74589538574219
2007-11-14,57.83740234375
2007-11-15,57.5301628112793
2007-11-16,58.66761016845703
2007-11-19,57.81779479980469
2007-11-20,57.82432174682617
2007-11-21,56.73271560668945
2007-11-23,57.850502014160156
2007-11-26,57.06606674194336
2007-11-27,57.67399597167969
2007-11-28,58.84408950805664
2007-11-29,58.033504486083984
2007-11-30,58.033504486083984
2007-12-03,58.1838493347168
2007-12-04,58.73946762084961
2007-12-05,60.41941833496094
2007-12-06,60.837791442871094
2007-12-07,61.23652648925781
2007-12-10,61.445716857910156
2007-12-11,59.67424392700195
2007-12-12,59.929168701171875
2007-12-13,60.6351318359375
2007-12-14,59.772300720214844
2007-12-17,58.56954574584961
2007-12-18,57.70665740966797
2007-12-19,57.60207748413086
2007-12-20,57.79166030883789
2007-12-21,58.33418273925781
2007-12-24,59.29511260986328
2007-12-26,59.11207580566406
2007-12-27,58.32112503051758
2007-12-28,58.210018157958984
2007-12-31,58.1707878112793
2008-01-02,57.1575927734375
2008-01-03,57.850502014160156
2008-01-04,56.21627426147461
2008-01-07,56.15745544433594
2008-01-08,55.97441101074219
2008-01-09,58.131553649902344
2008-01-10,58.066200256347656
2008-01-11,56.58235168457031
2008-01-14,56.47774887084961
2008-01-15,55.77180480957031
2008-01-16,55.0765266418457
2008-01-17,52.99076461791992
2008-01-18,52.99732971191406
2008-01-22,51.71828079223633
2008-01-23,51.84947204589844
2008-01-24,54.486228942871094
2008-01-25,53.2137451171875
2008-01-28,54.30914306640625
2008-01-29,54.65019226074219
2008-01-30,54.90598678588867
2008-01-31,55.443843841552734
2008-02-01,55.97510528564453
2008-02-04,55.67339324951172
2008-02-05,54.394386291503906
2008-02-06,54.43375015258789
2008-02-07,54.73543930053711
2008-02-08,54.6829948425293
2008-02-11,54.637062072753906
2008-02-12,55.12245178222656
2008-02-13,55.19461441040039
2008-02-14,54.656742095947266
2008-02-15,54.72233200073242
2008-02-19,55.05031204223633
2008-02-20,55.20114517211914
2008-02-21,54.30914306640625
