Date,PGR
2013-05-13,17.316139221191406
2013-05-14,17.578916549682617
2013-05-15,17.733888626098633
2013-05-16,17.626083374023438
2013-05-17,17.646289825439453
2013-05-20,17.653030395507812
2013-05-21,17.60586929321289
2013-05-22,17.437423706054688
2013-05-23,17.403732299804688
2013-05-24,17.3902587890625
2013-05-28,17.49131965637207
2013-05-29,17.430686950683594
2013-05-30,17.37004852294922
2013-05-31,17.174650192260742
2013-06-03,16.938823699951172
2013-06-04,16.857973098754883
2013-06-05,16.52781867980957
2013-06-06,16.494136810302734
2013-06-07,16.7030029296875
2013-06-10,16.69626235961914
2013-06-11,16.60866928100586
2013-06-12,16.60866928100586
2013-06-13,16.729951858520508
2013-06-14,16.642366409301758
2013-06-17,16.857973098754883
2013-06-18,17.046632766723633
2013-06-19,16.851232528686523
2013-06-20,16.581724166870117
2013-06-21,16.541296005249023
2013-06-24,16.23809814453125
2013-06-25,16.399805068969727
2013-06-26,16.790592193603516
2013-06-27,17.012937545776367
2013-06-28,17.127485275268555
2013-07-01,17.242029190063477
2013-07-02,17.15443229675293
2013-07-03,17.147695541381836
2013-07-05,17.47785186767578
2013-07-08,17.626083374023438
2013-07-09,17.59239387512207
2013-07-10,17.531753540039062
2013-07-11,17.34309196472168
2013-07-12,17.49806022644043
2013-07-15,17.37004852294922
2013-07-16,17.309412002563477
2013-07-17,17.336353302001953
2013-07-18,17.49806022644043
2013-07-19,17.720407485961914
2013-07-22,17.774311065673828
2013-07-23,17.578916549682617
2013-07-24,17.417205810546875
2013-07-25,17.45763397216797
2013-07-26,17.51827621459961
2013-07-29,17.49131965637207
2013-07-30,17.45763397216797
2013-07-31,17.52501678466797
2013-08-01,17.808000564575195
2013-08-02,17.653030395507812
2013-08-05,17.52501678466797
2013-08-06,17.49131965637207
2013-08-07,17.275712966918945
2013-08-08,17.289186477661133
2013-08-09,17.329620361328125
2013-08-12,17.201601028442383
2013-08-13,17.34309196472168
2013-08-14,17.34309196472168
2013-08-15,17.080318450927734
2013-08-16,16.938823699951172
2013-08-19,16.857973098754883
2013-08-20,17.012937545776367
2013-08-21,16.985986709594727
2013-08-22,17.15443229675293
2013-08-23,17.174650192260742
2013-08-26,17.188125610351562
2013-08-27,16.837759017944336
2013-08-28,16.844497680664062
2013-08-29,16.972518920898438
2013-08-30,16.89165687561035
2013-09-03,17.012937545776367
2013-09-04,17.060108184814453
2013-09-05,17.100536346435547
2013-09-06,17.174650192260742
2013-09-09,17.45763397216797
2013-09-10,17.50480079650879
2013-09-11,17.861902236938477
2013-09-12,17.484586715698242
2013-09-13,17.471111297607422
