Date,MA
2010-09-03,19.00832176208496
2010-09-07,18.415058135986328
2010-09-08,17.853023529052734
2010-09-09,17.63077735900879
2010-09-10,18.196483612060547
2010-09-13,17.72719955444336
2010-09-14,18.344343185424805
2010-09-15,19.302202224731445
2010-09-16,19.31231117248535
2010-09-17,19.62270736694336
2010-09-20,20.085573196411133
2010-09-21,19.92759895324707
2010-09-22,20.114944458007812
2010-09-23,20.151691436767578
2010-09-24,20.34821319580078
2010-09-27,20.421688079833984
2010-09-28,20.47953987121582
2010-09-29,20.445560455322266
2010-09-30,20.57137680053711
2010-10-01,20.64301109313965
2010-10-04,20.446475982666016
2010-10-05,20.745868682861328
2010-10-06,20.50709342956543
2010-10-07,20.296648025512695
2010-10-08,20.455636978149414
2010-10-11,20.480443954467773
2010-10-12,20.413358688354492
2010-10-13,21.21839141845703
2010-10-14,21.38104248046875
2010-10-15,21.476619720458984
2010-10-18,21.637441635131836
2010-10-19,21.784486770629883
2010-10-20,22.10336685180664
2010-10-21,22.348739624023438
2010-10-22,22.29819107055664
2010-10-25,22.528858184814453
2010-10-26,22.379056930541992
2010-10-27,22.58492088317871
2010-10-28,22.0114688873291
2010-10-29,22.061080932617188
2010-11-01,21.96276092529297
2010-11-02,22.605134963989258
2010-11-03,23.142738342285156
2010-11-04,23.4239501953125
2010-11-05,23.55260467529297
2010-11-08,23.228200912475586
2010-11-09,23.114242553710938
2010-11-10,23.302640914916992
2010-11-11,23.16480255126953
2010-11-12,22.346900939941406
2010-11-15,22.32484245300293
2010-11-16,21.417800903320312
2010-11-17,21.556568145751953
2010-11-18,22.284412384033203
2010-11-19,22.412141799926758
2010-11-22,22.36895179748535
2010-11-23,21.655820846557617
2010-11-24,21.852489471435547
2010-11-26,21.609872817993164
2010-11-29,21.647552490234375
2010-11-30,21.782642364501953
2010-12-01,22.8082332611084
2010-12-02,22.900121688842773
2010-12-03,22.890018463134766
2010-12-06,23.264963150024414
2010-12-07,22.678651809692383
2010-12-08,23.03337860107422
2010-12-09,23.08667755126953
2010-12-10,23.4119930267334
2010-12-13,23.83380699157715
2010-12-14,23.35318374633789
2010-12-15,22.902877807617188
2010-12-16,20.53834342956543
2010-12-17,20.333402633666992
2010-12-20,20.54294204711914
2010-12-21,20.197397232055664
2010-12-22,19.97868537902832
2010-12-23,20.061391830444336
2010-12-27,20.644941329956055
2010-12-28,20.632993698120117
2010-12-29,20.719383239746094
2010-12-30,20.55947494506836
2010-12-31,20.595319747924805
2011-01-03,20.295719146728516
2011-01-04,20.557641983032227
2011-01-05,21.16324806213379
2011-01-06,21.253372192382812
2011-01-07,21.2506046295166
2011-01-10,21.16876983642578
2011-01-11,21.095195770263672
2011-01-12,21.410614013671875
2011-01-13,21.473148345947266
2011-01-14,21.785804748535156
2011-01-18,21.852022171020508
2011-01-19,21.64327621459961
2011-01-20,21.619369506835938
2011-01-21,21.4749813079834
2011-01-24,21.977998733520508
2011-01-25,22.21157455444336
2011-01-26,22.08652114868164
2011-01-27,21.988117218017578
2011-01-28,21.598215103149414
2011-01-31,21.749025344848633
2011-02-01,21.899829864501953
2011-02-02,22.01385498046875
2011-02-03,22.565608978271484
2011-02-04,22.735733032226562
2011-02-07,22.987693786621094
2011-02-08,22.953676223754883
2011-02-09,22.851604461669922
2011-02-10,23.185413360595703
2011-02-11,23.310468673706055
2011-02-14,23.44565200805664
2011-02-15,23.550477981567383
2011-02-16,23.392316818237305
2011-02-17,23.156898498535156
2011-02-18,23.057586669921875
2011-02-22,22.748607635498047
2011-02-23,22.448823928833008
2011-02-24,22.454343795776367
2011-02-25,22.686996459960938
2011-02-28,22.12144660949707
2011-03-01,22.10306167602539
2011-03-02,22.638256072998047
2011-03-03,23.14126968383789
2011-03-04,22.9665470123291
2011-03-07,22.738481521606445
2011-03-08,22.897584915161133
2011-03-09,22.803789138793945
2011-03-10,22.397327423095703
2011-03-11,22.84423828125
2011-03-14,22.88286590576172
2011-03-15,22.49756622314453
2011-03-16,22.465377807617188
2011-03-17,22.415714263916016
2011-03-18,22.224445343017578
2011-03-21,22.80193519592285
2011-03-22,22.691593170166016
2011-03-23,22.700790405273438
2011-03-24,23.201955795288086
2011-03-25,22.77804183959961
2011-03-28,23.20747947692871
2011-03-29,23.146787643432617
2011-03-30,23.326107025146484
2011-03-31,23.147703170776367
2011-04-01,23.31599235534668
2011-04-04,24.024065017700195
2011-04-05,24.178556442260742
2011-04-06,24.42698860168457
2011-04-07,24.398468017578125
2011-04-08,24.204317092895508
2011-04-11,24.530963897705078
2011-04-12,24.19511604309082
2011-04-13,24.82078742980957
2011-04-14,24.73890495300293
2011-04-15,24.620208740234375
2011-04-18,24.38741683959961
2011-04-19,24.572370529174805
2011-04-20,24.8447208404541
2011-04-21,25.14466094970703
2011-04-25,24.974445343017578
2011-04-26,25.42806625366211
2011-04-27,25.336055755615234
2011-04-28,25.275320053100586
2011-04-29,25.38481903076172
2011-05-02,25.329612731933594
2011-05-03,25.981964111328125
2011-05-04,25.982881546020508
