Date,AIG
2006-11-02,805.6482543945312
2006-11-03,807.3401489257812
2006-11-06,815.5557861328125
2006-11-07,820.0263671875
2006-11-08,826.1885986328125
2006-11-09,822.0805053710938
2006-11-10,841.2914428710938
2006-11-13,853.615234375
2006-11-14,860.74365234375
2006-11-15,869.8053588867188
2006-11-16,874.276123046875
2006-11-17,870.53076171875
2006-11-20,868.9595336914062
2006-11-21,867.9932250976562
2006-11-22,864.7313232421875
2006-11-24,860.2601928710938
2006-11-27,848.7823486328125
2006-11-28,843.94921875
2006-11-29,849.33837890625
2006-11-30,851.6397094726562
2006-12-01,844.9786987304688
2006-12-04,848.9754028320312
2006-12-05,851.3975219726562
2006-12-06,850.9130249023438
2006-12-07,851.0340576171875
2006-12-08,852.003173828125
2006-12-11,859.8753051757812
2006-12-12,861.0863037109375
2006-12-13,861.6919555664062
2006-12-14,872.34912109375
2006-12-15,873.5604248046875
2006-12-18,881.7960205078125
2006-12-19,874.7718505859375
2006-12-20,871.3803100585938
2006-12-21,871.3803100585938
2006-12-22,867.9896240234375
2006-12-26,872.1069946289062
2006-12-27,875.4983520507812
2006-12-28,870.5328369140625
2006-12-29,867.8683471679688
2007-01-03,873.802734375
2007-01-04,866.0517578125
2007-01-05,862.0550537109375
2007-01-08,866.2941284179688
2007-01-09,863.3876342773438
2007-01-10,864.4774169921875
2007-01-11,863.3876342773438
2007-01-12,860.7229614257812
2007-01-16,861.9340209960938
2007-01-17,864.8405151367188
2007-01-18,859.1484375
2007-01-19,864.3565673828125
2007-01-22,853.33544921875
2007-01-23,845.342041015625
2007-01-24,846.3109741210938
2007-01-25,834.3209838867188
2007-01-26,830.6880493164062
2007-01-29,827.7811889648438
2007-01-30,825.96484375
2007-01-31,828.9923706054688
2007-02-01,834.5635375976562
2007-02-02,836.5007934570312
2007-02-05,839.28662109375
2007-02-06,841.7089233398438
2007-02-07,843.4044799804688
2007-02-08,842.7986450195312
2007-02-09,834.9266357421875
2007-02-12,830.445556640625
2007-02-13,837.1065063476562
2007-02-14,838.8021240234375
2007-02-15,837.1065063476562
2007-02-16,842.4354858398438
2007-02-20,846.6743774414062
2007-02-21,844.0100708007812
2007-02-22,839.77099609375
2007-02-23,833.1102905273438
2007-02-26,831.7779541015625
2007-02-27,808.6459350585938
2007-02-28,814.7770385742188
2007-03-01,818.4192504882812
2007-03-02,844.27978515625
2007-03-05,841.1228637695312
2007-03-06,846.7079467773438
2007-03-07,841.3658447265625
2007-03-08,842.0941162109375
2007-03-09,838.5734252929688
2007-03-12,835.0523681640625
2007-03-13,817.812255859375
2007-03-14,813.4415893554688
2007-03-15,814.0488891601562
2007-03-16,811.86328125
2007-03-19,823.8827514648438
2007-03-20,830.1964111328125
2007-03-21,833.9595336914062
2007-03-22,828.1321411132812
2007-03-23,827.039306640625
2007-03-26,824.9757080078125
2007-03-27,820.604736328125
2007-03-28,815.2625122070312
2007-03-29,815.8700561523438
2007-03-30,816.1126098632812
2007-04-02,815.2625122070312
2007-04-03,821.2119140625
2007-04-04,817.3267211914062
2007-04-05,816.2337646484375
2007-04-09,816.2337646484375
2007-04-10,812.2274169921875
2007-04-11,807.2498168945312
2007-04-12,809.0709228515625
2007-04-13,812.3490600585938
2007-04-16,820.8475341796875
2007-04-17,827.4036865234375
2007-04-18,831.0458984375
2007-04-19,837.2379760742188
2007-04-20,844.1582641601562
2007-04-23,844.4009399414062
2007-04-24,842.8226928710938
2007-04-25,849.6214599609375
2007-04-26,847.314697265625
2007-04-27,851.5640869140625
