Date,CRH
2001-01-16,7.730975151062012
2001-01-17,7.730975151062012
2001-01-18,7.784665107727051
2001-01-19,7.784665107727051
2001-01-22,7.569912910461426
2001-01-23,7.569912910461426
2001-01-24,7.677287578582764
2001-01-25,7.730975151062012
2001-01-26,7.918880462646484
2001-01-29,7.972569465637207
2001-01-30,7.999411582946777
2001-01-31,8.133630752563477
2001-02-01,8.214165687561035
2001-02-02,8.053098678588867
2001-02-05,8.267851829528809
2001-02-06,8.321532249450684
2001-02-07,8.16047477722168
2001-02-08,8.079944610595703
2001-02-09,8.02625560760498
2001-02-12,7.94572639465332
2001-02-13,7.94572639465332
2001-02-14,7.677287578582764
2001-02-15,7.543065547943115
2001-02-16,7.730975151062012
2001-02-20,7.972569465637207
2001-02-21,7.8651933670043945
2001-02-22,7.999411582946777
2001-02-23,7.972569465637207
2001-02-26,7.999411582946777
2001-02-27,8.16047477722168
2001-02-28,8.16047477722168
2001-03-01,8.267851829528809
2001-03-02,8.214165687561035
2001-03-05,8.214165687561035
2001-03-06,7.730975151062012
2001-03-07,7.301474571228027
2001-03-08,6.710913181304932
2001-03-09,7.355164527893066
2001-03-12,7.355164527893066
2001-03-13,8.132542610168457
2001-03-14,7.601179122924805
2001-03-15,7.239219665527344
2001-03-16,7.028076648712158
2001-03-19,7.601179122924805
2001-03-20,7.359875679016113
2001-03-21,6.997913837432861
2001-03-22,6.786767959594727
2001-03-23,6.816933631896973
2001-03-26,7.118566036224365
2001-03-27,7.6916704177856445
2001-03-28,7.601179122924805
2001-03-29,7.239219665527344
2001-03-30,7.571017742156982
2001-04-02,7.782162189483643
2001-04-03,7.661510467529297
2001-04-04,7.812324523925781
2001-04-05,7.721835613250732
2001-04-06,7.661510467529297
2001-04-09,8.035531997680664
2001-04-10,7.9390106201171875
2001-04-11,7.895575046539307
2001-04-12,8.083796501159668
2001-04-16,8.165841102600098
2001-04-17,7.789401531219482
2001-04-18,7.847314357757568
2001-04-19,7.717008113861084
2001-04-20,7.779751777648926
2001-04-23,7.808706283569336
2001-04-24,7.924532413482666
2001-04-25,8.083796501159668
2001-04-26,8.112751007080078
2001-04-27,7.8666181564331055
2001-04-30,7.9148783683776855
2001-05-01,8.20927619934082
2001-05-02,8.088624000549316
2001-05-03,8.445756912231445
2001-05-04,8.494017601013184
2001-05-07,8.25270938873291
2001-05-08,8.494017601013184
2001-05-09,8.561580657958984
2001-05-10,8.542279243469238
2001-05-11,8.315449714660645
2001-05-14,8.556758880615234
2001-05-15,8.25270938873291
2001-05-16,8.764281272888184
2001-05-17,8.783589363098145
2001-05-18,8.928370475769043
2001-05-21,9.169678688049316
2001-05-22,8.909065246582031
2001-05-23,8.397492408752441
2001-05-24,8.421624183654785
2001-05-25,8.45540714263916
2001-05-29,8.14653491973877
2001-05-30,8.445756912231445
2001-05-31,8.325106620788574
2001-06-01,8.518148422241211
2001-06-04,8.687063217163086
2001-06-05,8.8994140625
2001-06-06,8.638803482055664
2001-06-07,8.566410064697266
2001-06-08,8.928370475769043
2001-06-11,8.855976104736328
2001-06-12,8.61467170715332
2001-06-13,8.494017601013184
2001-06-14,8.682236671447754
2001-06-15,8.687063217163086
2001-06-18,8.687063217163086
2001-06-19,8.325106620788574
2001-06-20,8.103100776672363
2001-06-21,8.349231719970703
2001-06-22,8.445756912231445
2001-06-25,8.14653491973877
2001-06-26,8.180319786071777
2001-06-27,8.325106620788574
2001-06-28,8.325106620788574
2001-06-29,8.132055282592773
