Date,CRM
2018-01-11,107.52140045166016
2018-01-12,108.64491271972656
2018-01-16,107.31444549560547
2018-01-17,108.44780731201172
2018-01-18,110.15276336669922
2018-01-19,110.31047058105469
2018-01-22,111.2565689086914
2018-01-23,111.60150909423828
2018-01-24,111.21714782714844
2018-01-25,110.34003448486328
2018-01-26,112.05484008789062
2018-01-29,111.66065216064453
2018-01-30,110.60613250732422
2018-01-31,112.2618179321289
2018-02-01,111.1087417602539
2018-02-02,109.1771011352539
2018-02-05,106.09239959716797
2018-02-06,107.98460388183594
2018-02-07,108.45765686035156
2018-02-08,102.52476501464844
2018-02-09,105.43207550048828
2018-02-12,106.97935485839844
2018-02-13,106.1318130493164
2018-02-14,107.44255828857422
2018-02-15,111.48324584960938
2018-02-16,111.22700500488281
2018-02-20,112.69544219970703
2018-02-21,112.82357025146484
2018-02-22,111.36498260498047
2018-02-23,113.29661560058594
2018-02-26,114.96217346191406
2018-02-27,114.7847671508789
2018-02-28,114.56795501708984
2018-03-01,117.70195007324219
2018-03-02,120.15591430664062
2018-03-05,120.72752380371094
2018-03-06,122.67887115478516
2018-03-07,123.51657104492188
2018-03-08,124.53166961669922
2018-03-09,125.56647491455078
2018-03-12,124.94559478759766
2018-03-13,124.89631652832031
2018-03-14,126.13809204101562
2018-03-15,125.37922668457031
2018-03-16,124.14732360839844
2018-03-19,123.17164611816406
2018-03-20,123.30960845947266
2018-03-21,119.93909454345703
2018-03-22,116.33204650878906
2018-03-23,112.77428436279297
2018-03-26,117.24859619140625
2018-03-27,112.16325378417969
2018-03-28,111.24671173095703
2018-03-29,114.61723327636719
2018-04-02,113.6317138671875
2018-04-03,114.80448913574219
2018-04-04,117.75122833251953
2018-04-05,117.31758880615234
2018-04-06,114.42012023925781
2018-04-09,115.49434661865234
2018-04-10,117.76107025146484
2018-04-11,117.43585968017578
2018-04-12,119.64342498779297
2018-04-13,117.28801727294922
2018-04-16,117.6822280883789
2018-04-17,121.56522369384766
2018-04-18,122.6591567993164
2018-04-19,122.26495361328125
2018-04-20,121.04290008544922
2018-04-23,120.12635040283203
2018-04-24,116.17436981201172
2018-04-25,115.62247467041016
2018-04-26,119.0816879272461
2018-04-27,118.48050689697266
2018-04-30,119.23936462402344
2018-05-01,121.32869720458984
2018-05-02,121.04290008544922
2018-05-03,122.6098861694336
2018-05-04,123.30960845947266
2018-05-07,125.13285827636719
2018-05-08,126.8870849609375
2018-05-09,127.8529052734375
2018-05-10,128.7300567626953
2018-05-11,128.73989868164062
2018-05-14,125.84243774414062
2018-05-15,126.27606201171875
2018-05-16,126.90679168701172
2018-05-17,124.22615814208984
2018-05-18,125.12299346923828
2018-05-21,124.54154205322266
2018-05-22,123.62498474121094
2018-05-23,126.23663330078125
2018-05-24,126.87723541259766
2018-05-25,126.10852813720703
2018-05-29,125.04414367675781
2018-05-30,127.42913818359375
2018-05-31,127.45870208740234
2018-06-01,128.63148498535156
2018-06-04,130.73065185546875
2018-06-05,132.17938232421875
2018-06-06,133.5886993408203
2018-06-07,130.98692321777344
2018-06-08,131.597900390625
2018-06-11,132.0413818359375
2018-06-12,134.28842163085938
2018-06-13,134.52496337890625
2018-06-14,136.4073028564453
2018-06-15,136.4073028564453
2018-06-18,137.77719116210938
2018-06-19,137.50125122070312
2018-06-20,136.9296417236328
2018-06-21,135.885009765625
2018-06-22,133.05648803710938
2018-06-25,131.26284790039062
2018-06-26,133.5197296142578
2018-06-27,131.2924041748047
2018-06-28,133.16493225097656
2018-06-29,134.4263916015625
2018-07-02,138.3980712890625
2018-07-03,135.84556579589844
2018-07-05,137.74765014648438
2018-07-06,139.3540496826172
2018-07-09,139.70884704589844
2018-07-10,140.38888549804688
2018-07-11,143.14834594726562
2018-07-12,146.01625061035156
2018-07-13,145.4741973876953
2018-07-16,144.83360290527344
2018-07-17,144.89273071289062
2018-07-18,145.70086669921875
2018-07-19,145.03073120117188
2018-07-20,144.74490356445312
2018-07-23,145.4249267578125
2018-07-24,143.88746643066406
2018-07-25,146.71597290039062
2018-07-26,145.43479919433594
