Date,MSCI
2008-05-29,30.828777313232422
2008-05-30,31.117630004882812
2008-06-02,31.32769775390625
2008-06-03,31.520263671875
2008-06-04,31.29270362854004
2008-06-05,32.60566711425781
2008-06-06,31.90542221069336
2008-06-09,31.30145263671875
2008-06-10,31.38898277282715
2008-06-11,29.75213623046875
2008-06-12,30.504907608032227
2008-06-13,31.283937454223633
2008-06-16,30.644962310791016
2008-06-17,31.660327911376953
2008-06-18,31.117630004882812
2008-06-19,31.616559982299805
2008-06-20,31.992950439453125
2008-06-23,32.49188995361328
2008-06-24,32.27303695678711
2008-06-25,32.903282165527344
2008-06-26,31.502769470214844
2008-06-27,31.64282989501953
2008-06-30,31.76537322998047
2008-07-01,29.638338088989258
2008-07-02,27.966480255126953
2008-07-03,28.71925163269043
2008-07-07,28.246578216552734
2008-07-08,27.3537540435791
2008-07-09,28.124040603637695
2008-07-10,28.579198837280273
2008-07-11,28.65798568725586
2008-07-14,28.85930061340332
2008-07-15,28.150291442871094
2008-07-16,27.79140853881836
2008-07-17,27.3537540435791
2008-07-18,28.01898765563965
2008-07-21,28.325355529785156
2008-07-22,28.789278030395508
2008-07-23,29.060625076293945
2008-07-24,29.01685905456543
2008-07-25,29.40200424194336
2008-07-28,28.404132843017578
2008-07-29,28.587953567504883
2008-07-30,28.176555633544922
2008-07-31,26.040769577026367
2008-08-01,26.53969955444336
2008-08-04,26.60972785949707
2008-08-05,26.618480682373047
2008-08-06,26.495939254760742
2008-08-07,25.944486618041992
2008-08-08,26.460926055908203
2008-08-11,26.81105613708496
2008-08-12,26.32962989807129
2008-08-13,26.06703758239746
2008-08-14,26.697265625
2008-08-15,27.231212615966797
2008-08-18,27.108657836914062
2008-08-19,26.688514709472656
2008-08-20,27.056140899658203
2008-08-21,26.32962989807129
2008-08-22,27.213701248168945
2008-08-25,25.953237533569336
2008-08-26,26.145811080932617
2008-08-27,26.312118530273438
2008-08-28,26.12830352783203
2008-08-29,26.12830352783203
2008-09-02,25.926977157592773
2008-09-03,25.112937927246094
2008-09-04,23.239748001098633
2008-09-05,23.42355728149414
2008-09-08,24.15007781982422
2008-09-09,23.896236419677734
2008-09-10,22.845855712890625
2008-09-11,22.154354095458984
2008-09-12,23.012163162231445
2008-09-15,21.445343017578125
2008-09-16,20.22865104675293
2008-09-17,17.523908615112305
2008-09-18,19.65968132019043
2008-09-19,22.55699920654297
2008-09-22,21.81298065185547
2008-09-23,21.777969360351562
2008-09-24,21.27902603149414
2008-09-25,21.760454177856445
2008-09-26,21.576637268066406
2008-09-29,19.825998306274414
2008-09-30,21.007678985595703
2008-10-01,19.344575881958008
2008-10-02,19.19576644897461
2008-10-03,19.668437957763672
2008-10-06,18.6530704498291
2008-10-07,16.3859920501709
2008-10-08,17.07749366760254
2008-10-09,15.755762100219727
2008-10-10,15.055505752563477
2008-10-13,17.068737030029297
2008-10-14,17.322580337524414
2008-10-15,16.193418502807617
2008-10-16,15.878314018249512
2008-10-17,16.648590087890625
2008-10-20,16.736116409301758
2008-10-21,16.28095245361328
2008-10-22,15.02049446105957
2008-10-23,14.372756958007812
2008-10-24,13.383639335632324
2008-10-27,12.569597244262695
2008-10-28,12.735905647277832
2008-10-29,14.013872146606445
2008-10-30,14.880437850952148
2008-10-31,15.090517044067383
2008-11-03,14.792905807495117
2008-11-04,14.959224700927734
2008-11-05,14.442778587341309
2008-11-06,12.989748001098633
2008-11-07,13.26109790802002
2008-11-10,12.919723510742188
2008-11-11,12.079421043395996
2008-11-12,11.457938194274902
2008-11-13,12.403285026550293
2008-11-14,12.210710525512695
2008-11-17,11.309137344360352
2008-11-18,10.915238380432129
2008-11-19,10.600123405456543
2008-11-20,10.398802757263184
2008-11-21,11.029029846191406
2008-11-24,11.913105964660645
2008-11-25,12.482064247131348
2008-11-26,13.760028839111328
2008-11-28,13.506186485290527
2008-12-01,12.858453750610352
2008-12-02,13.007253646850586
2008-12-03,13.838811874389648
2008-12-04,13.07728099822998
2008-12-05,14.022624969482422
2008-12-08,14.635353088378906
2008-12-09,14.118912696838379
2008-12-10,14.679117202758789
2008-12-11,13.567462921142578
2008-12-12,14.364006042480469
2008-12-15,13.646242141723633
2008-12-16,14.00512409210205
2008-12-17,14.442778587341309
2008-12-18,14.591585159301758
2008-12-19,14.442778587341309
2008-12-22,13.733768463134766
2008-12-23,13.725016593933105
2008-12-24,14.101405143737793
2008-12-26,14.967971801757812
2008-12-29,14.90670108795166
2008-12-30,14.845426559448242
2008-12-31,15.545687675476074
2009-01-02,16.324724197387695
2009-01-05,14.547819137573242
2009-01-06,15.283082962036133
2009-01-07,15.318100929260254
2009-01-08,16.13214874267578
2009-01-09,14.547819137573242
2009-01-12,13.67249584197998
2009-01-13,14.18893814086914
2009-01-14,14.171433448791504
2009-01-15,14.652859687805176
2009-01-16,14.862931251525879
2009-01-20,14.293976783752441
2009-01-21,15.475658416748047
2009-01-22,14.679117202758789
2009-01-23,14.661611557006836
2009-01-26,15.081771850585938
2009-01-27,15.07301139831543
2009-01-28,16.14090347290039
2009-01-29,15.309346199035645
2009-01-30,15.195554733276367
2009-02-02,15.91331958770752
2009-02-03,15.37937068939209
2009-02-04,15.108022689819336
2009-02-05,15.922075271606445
2009-02-06,14.967971801757812
2009-02-09,15.230567932128906
2009-02-10,14.880437850952148
2009-02-11,15.116780281066895
2009-02-12,15.484407424926758
2009-02-13,15.720749855041504
2009-02-17,14.609087944030762
2009-02-18,14.232706069946289
2009-02-19,14.136418342590332
2009-02-20,14.556574821472168
2009-02-23,14.197689056396484
2009-02-24,14.740392684936523
2009-02-25,13.619978904724121
2009-02-26,14.101405143737793
2009-02-27,13.795045852661133
2009-03-02,12.683392524719238
2009-03-03,12.333260536193848
2009-03-04,12.044405937194824
2009-03-05,11.554224014282227
2009-03-06,11.746793746948242
2009-03-09,11.624248504638672
2009-03-10,12.464557647705078
2009-03-11,12.954742431640625
2009-03-12,13.024759292602539
2009-03-13,13.086037635803223
2009-03-16,12.81468391418457
2009-03-17,13.007253646850586
2009-03-18,13.191072463989258
2009-03-19,13.78628921508789
2009-03-20,13.558707237243652
2009-03-23,14.153925895690918
2009-03-24,13.707510948181152
2009-03-25,14.0488862991333
2009-03-26,14.022624969482422
2009-03-27,14.792905807495117
2009-03-30,14.355247497558594
2009-03-31,14.801660537719727
2009-04-01,14.880437850952148
2009-04-02,16.779884338378906
2009-04-03,17.471384048461914
2009-04-06,17.733978271484375
2009-04-07,17.38385581970215
2009-04-08,17.46263313293457
2009-04-09,18.320451736450195
2009-04-13,18.127880096435547
2009-04-14,17.742738723754883
2009-04-15,17.952816009521484
2009-04-16,18.364206314086914
2009-04-17,18.469255447387695
2009-04-20,17.208789825439453
2009-04-21,18.76686668395996
2009-04-22,18.740602493286133
2009-04-23,17.87403678894043
2009-04-24,17.856529235839844
2009-04-27,17.62894058227539
2009-04-28,17.1300106048584
2009-04-29,17.952816009521484
2009-04-30,18.372968673706055
2009-05-01,19.08197593688965
2009-05-04,19.519636154174805
2009-05-05,19.720962524414062
2009-05-06,19.904783248901367
2009-05-07,19.467113494873047
2009-05-08,20.692569732666016
2009-05-11,20.64879608154297
2009-05-12,20.368696212768555
2009-05-13,19.21327781677246
2009-05-14,19.834754943847656
2009-05-15,20.21989631652832
2009-05-18,20.552518844604492
2009-05-19,18.88065528869629
2009-05-20,18.64431381225586
2009-05-21,18.416732788085938
2009-05-22,18.119131088256836
2009-05-26,19.10824203491211
2009-05-27,17.952816009521484
2009-05-28,18.101619720458984
2009-05-29,18.61806297302246
2009-06-01,19.668437957763672
2009-06-02,20.263654708862305
2009-06-03,19.887269973754883
2009-06-04,20.80636215209961
2009-06-05,20.079837799072266
2009-06-08,19.729717254638672
2009-06-09,20.3511905670166
2009-06-10,20.33368492126465
2009-06-11,20.963911056518555
2009-06-12,20.93765640258789
2009-06-15,20.61378288269043
2009-06-16,19.931041717529297
2009-06-17,20.482484817504883
2009-06-18,21.007678985595703
2009-06-19,20.858871459960938
2009-06-22,19.904783248901367
2009-06-23,20.368696212768555
2009-06-24,21.007678985595703
2009-06-25,21.81298065185547
2009-06-26,21.769214630126953
2009-06-29,21.489107131958008
2009-06-30,21.3928279876709
2009-07-01,21.068954467773438
2009-07-02,21.655412673950195
2009-07-06,21.716686248779297
2009-07-07,21.27027702331543
2009-07-08,21.1827449798584
2009-07-09,21.53287124633789
2009-07-10,21.909265518188477
2009-07-13,22.521987915039062
2009-07-14,22.381933212280273
2009-07-15,23.003408432006836
2009-07-16,23.064687728881836
2009-07-17,23.379793167114258
2009-07-20,23.484838485717773
2009-07-21,22.548246383666992
2009-07-22,22.198118209838867
2009-07-23,23.19597625732422
2009-07-24,23.178470611572266
2009-07-27,23.204734802246094
2009-07-28,23.082189559936523
2009-07-29,23.099695205688477
2009-07-30,23.808704376220703
2009-07-31,24.465192794799805
2009-08-03,24.937868118286133
2009-08-04,24.552734375
2009-08-05,23.82621192932129
2009-08-06,24.22886085510254
2009-08-07,25.130435943603516
2009-08-10,25.27924346923828
2009-08-11,24.77155876159668
2009-08-12,25.060409545898438
2009-08-13,25.112937927246094
2009-08-14,24.946622848510742
2009-08-17,24.29013442993164
2009-08-18,25.27924346923828
2009-08-19,25.35802459716797
2009-08-20,25.821945190429688
2009-08-21,25.891969680786133
2009-08-24,26.443416595458984
2009-08-25,26.364648818969727
2009-08-26,26.741025924682617
2009-08-27,26.29461097717285
2009-08-28,25.970741271972656
2009-08-31,25.75191307067871
2009-09-01,25.025400161743164
2009-09-02,24.44769287109375
2009-09-03,24.806570053100586
2009-09-04,25.33176612854004
2009-09-08,26.00575828552246
2009-09-09,26.145811080932617
2009-09-10,25.646875381469727
2009-09-11,25.533082962036133
2009-09-14,25.42804718017578
2009-09-15,24.50020980834961
2009-09-16,24.368911743164062
2009-09-17,23.896236419677734
2009-09-18,23.624889373779297
2009-09-21,23.966262817382812
2009-09-22,24.649019241333008
2009-09-23,25.261737823486328
2009-09-24,25.147945404052734
2009-09-25,24.692773818969727
2009-09-28,25.953237533569336
2009-09-29,26.478425979614258
2009-09-30,25.926977157592773
2009-10-01,23.756183624267578
2009-10-02,23.729928970336914
2009-10-05,23.81745719909668
2009-10-06,22.933385848999023
2009-10-07,22.74081802368164
2009-10-08,23.169723510742188
2009-10-09,23.563621520996094
2009-10-12,23.230989456176758
2009-10-13,23.19597625732422
2009-10-14,24.29888916015625
2009-10-15,24.79781150817871
2009-10-16,24.53522491455078
2009-10-19,24.89410400390625
2009-10-20,24.307641983032227
2009-10-21,24.48270034790039
2009-10-22,24.937868118286133
2009-10-23,24.929115295410156
2009-10-26,25.287992477416992
2009-10-27,25.77817726135254
2009-10-28,25.226722717285156
2009-10-29,25.585603713989258
2009-10-30,26.60972785949707
2009-11-02,26.408409118652344
2009-11-03,26.627229690551758
2009-11-04,26.4871883392334
2009-11-05,27.06489372253418
2009-11-06,28.211566925048828
2009-11-09,29.410751342773438
2009-11-10,28.360376358032227
2009-11-11,28.579198837280273
2009-11-12,28.001487731933594
2009-11-13,28.211566925048828
2009-11-16,28.150291442871094
2009-11-17,28.0977725982666
2009-11-18,27.64260482788086
2009-11-19,27.134925842285156
2009-11-20,27.02112579345703
2009-11-23,27.239957809448242
2009-11-24,27.02112579345703
2009-11-25,26.95985984802246
2009-11-27,26.43466567993164
2009-11-30,26.671003341674805
2009-12-01,27.406272888183594
2009-12-02,28.13278579711914
2009-12-03,28.089019775390625
2009-12-04,28.25533103942871
2009-12-07,27.835182189941406
2009-12-08,28.06276512145996
2009-12-09,28.229066848754883
2009-12-10,28.456661224365234
2009-12-11,28.876813888549805
2009-12-14,29.419506072998047
2009-12-15,28.96434211730957
2009-12-16,29.200679779052734
2009-12-17,28.605464935302734
2009-12-18,28.37787628173828
2009-12-21,27.92270278930664
2009-12-22,28.071514129638672
2009-12-23,28.115280151367188
2009-12-24,28.360376358032227
2009-12-28,28.386627197265625
2009-12-29,28.115280151367188
2009-12-30,28.141536712646484
2009-12-31,27.835182189941406
2010-01-04,27.992734909057617
2010-01-05,28.0977725982666
2010-01-06,27.336246490478516
2010-01-07,29.218175888061523
2010-01-08,30.19853973388672
2010-01-11,29.944698333740234
2010-01-12,29.08689308166504
2010-01-13,29.191913604736328
2010-01-14,28.973094940185547
2010-01-15,28.13278579711914
2010-01-19,28.44790267944336
2010-01-20,28.080263137817383
2010-01-21,27.196191787719727
2010-01-22,26.65349578857422
2010-01-25,26.60097312927246
2010-01-26,25.795679092407227
2010-01-27,26.172075271606445
2010-01-28,25.988258361816406
2010-01-29,25.87445831298828
2010-02-01,26.180824279785156
2010-02-02,26.03201675415039
2010-02-03,25.77817726135254
2010-02-04,25.025400161743164
2010-02-05,25.191709518432617
2010-02-08,24.4039249420166
2010-02-09,24.82408332824707
2010-02-10,24.97288703918457
2010-02-11,25.55935287475586
2010-02-12,25.533082962036133
2010-02-16,25.891969680786133
2010-02-17,25.454309463500977
2010-02-18,25.121686935424805
2010-02-19,25.638118743896484
2010-02-22,25.699399948120117
2010-02-23,25.78693389892578
