Date,ATO
2002-06-25,10.017977714538574
2002-06-26,9.909087181091309
2002-06-27,10.061538696289062
2002-06-28,10.209624290466309
2002-07-01,9.865532875061035
2002-07-02,9.713083267211914
2002-07-03,9.652105331420898
2002-07-05,9.865532875061035
2002-07-08,9.909087181091309
2002-07-09,9.861176490783691
2002-07-10,9.517083168029785
2002-07-11,9.390765190124512
2002-07-12,9.125073432922363
2002-07-15,9.112003326416016
2002-07-16,9.05974006652832
2002-07-17,9.103289604187012
2002-07-18,8.863733291625977
2002-07-19,8.711286544799805
2002-07-22,8.428167343139648
2002-07-23,8.001317977905273
2002-07-24,8.310569763183594
2002-07-25,8.689508438110352
2002-07-26,9.05974006652832
2002-07-29,9.351564407348633
2002-07-30,9.425610542297363
2002-07-31,9.255741119384766
2002-08-01,9.138137817382812
2002-08-02,8.929068565368652
2002-08-05,9.151205062866211
2002-08-06,9.277519226074219
2002-08-07,9.451744079589844
2002-08-08,9.604191780090332
2002-08-09,9.643394470214844
2002-08-12,9.71744155883789
2002-08-13,9.321076393127441
2002-08-14,9.795839309692383
2002-08-15,9.573707580566406
2002-08-16,9.582412719726562
2002-08-19,9.534505844116211
2002-08-20,9.599838256835938
2002-08-21,9.534505844116211
2002-08-22,9.56761646270752
2002-08-23,9.457239151000977
2002-08-26,9.629425048828125
2002-08-27,9.536711692810059
2002-08-28,9.448407173156738
2002-08-29,9.545540809631348
2002-08-30,9.466062545776367
2002-09-03,9.338025093078613
2002-09-04,9.60735034942627
2002-09-05,9.47048568725586
2002-09-06,9.757469177246094
2002-09-09,9.735392570495605
2002-09-10,9.647092819213867
2002-09-11,9.770711898803711
2002-09-12,9.545540809631348
2002-09-13,9.713316917419434
2002-09-16,9.695655822753906
2002-09-17,9.492559432983398
2002-09-18,9.611766815185547
2002-09-19,9.382182121276855
2002-09-20,9.338025093078613
2002-09-23,9.214405059814453
2002-09-24,9.161419868469238
2002-09-25,9.536711692810059
2002-09-26,9.757469177246094
2002-09-27,9.426329612731934
2002-09-30,9.492559432983398
2002-10-01,9.598526000976562
2002-10-02,9.443995475769043
2002-10-03,9.576446533203125
2002-10-04,9.625008583068848
2002-10-07,9.514634132385254
2002-10-08,9.558783531188965
2002-10-09,9.13934326171875
2002-10-10,9.391009330749512
2002-10-11,9.280634880065918
2002-10-14,9.382182121276855
2002-10-15,9.602933883666992
2002-10-16,9.249727249145508
2002-10-17,9.377768516540527
2002-10-18,9.426329612731934
2002-10-21,9.602933883666992
2002-10-22,9.404254913330078
2002-10-23,9.488143920898438
2002-10-24,9.466062545776367
2002-10-25,9.576446533203125
2002-10-28,9.598526000976562
2002-10-29,9.602933883666992
2002-10-30,9.700069427490234
2002-10-31,9.713316917419434
2002-11-01,9.894338607788086
2002-11-04,9.859015464782715
2002-11-05,9.792792320251465
2002-11-06,9.88991928100586
2002-11-07,9.580863952636719
2002-11-08,9.669168472290039
2002-11-11,9.580863952636719
2002-11-12,9.404254913330078
2002-11-13,9.523467063903809
2002-11-14,9.629425048828125
2002-11-15,9.779541015625
2002-11-18,9.510220527648926
2002-11-19,9.664749145507812
2002-11-20,9.810449600219727
2002-11-21,9.980520248413086
2002-11-22,10.190874099731445
2002-11-25,10.293807029724121
2002-11-26,9.94471549987793
2002-11-27,10.19982624053955
2002-11-29,9.980520248413086
2002-12-02,10.19982624053955
2002-12-03,10.204297065734863
2002-12-04,10.271430015563965
2002-12-05,10.226680755615234
2002-12-06,10.18192195892334
2002-12-09,10.150591850280762
2002-12-10,10.190874099731445
2002-12-11,10.226680755615234
2002-12-12,10.266959190368652
2002-12-13,10.19982624053955
2002-12-16,10.56682014465332
2002-12-17,10.53101921081543
2002-12-18,10.575772285461426
2002-12-19,10.51758861541748
2002-12-20,10.365419387817383
2002-12-23,10.522062301635742
2002-12-24,10.51758861541748
2002-12-26,10.575772285461426
2002-12-27,10.343043327331543
2002-12-30,10.405699729919434
2002-12-31,10.437026977539062
2003-01-02,10.535490989685059
2003-01-03,10.51758861541748
2003-01-06,10.830879211425781
2003-01-07,10.625000953674316
2003-01-08,10.562342643737793
2003-01-09,10.539965629577637
2003-01-10,10.513113021850586
2003-01-13,10.544443130493164
2003-01-14,10.419130325317383
2003-01-15,10.007379531860352
2003-01-16,10.146117210388184
2003-01-17,10.029753684997559
2003-01-21,9.949193954467773
2003-01-22,9.814926147460938
2003-01-23,9.899961471557617
2003-01-24,9.814926147460938
2003-01-27,9.577717781066895
2003-01-28,9.711987495422363
2003-01-29,9.788070678710938
2003-01-30,9.850727081298828
2003-01-31,10.025272369384766
2003-02-03,9.917861938476562
2003-02-04,9.962618827819824
2003-02-05,9.828350067138672
2003-02-06,9.774641990661621
2003-02-07,9.524011611938477
2003-02-10,9.622476577758789
2003-02-11,9.483731269836426
2003-02-12,9.532962799072266
2003-02-13,9.622476577758789
2003-02-14,9.823874473571777
2003-02-18,9.859681129455566
2003-02-19,9.855204582214355
2003-02-20,9.895484924316406
2003-02-21,10.004373550415039
2003-02-24,9.904556274414062
2003-02-25,10.03613567352295
2003-02-26,9.83197021484375
2003-02-27,9.786592483520508
2003-02-28,9.655016899108887
2003-03-03,9.664093971252441
2003-03-04,9.75029468536377
2003-03-05,9.804739952087402
2003-03-06,9.768447875976562
2003-03-07,9.73215103149414
2003-03-10,9.596029281616211
2003-03-11,9.505292892456055
2003-03-12,9.505292892456055
2003-03-13,9.723072052001953
2003-03-14,9.723072052001953
2003-03-17,9.791132926940918
2003-03-18,9.70946216583252
2003-03-19,9.70946216583252
2003-03-20,9.75483512878418
2003-03-21,9.936319351196289
2003-03-24,9.682239532470703
2003-03-25,9.73215103149414
2003-03-26,9.641403198242188
2003-03-27,9.73215103149414
2003-03-28,9.704928398132324
2003-03-31,9.645947456359863
2003-04-01,9.813814163208008
2003-04-02,9.782055854797363
2003-04-03,9.723072052001953
2003-04-04,9.800203323364258
2003-04-07,9.800203323364258
2003-04-08,9.904556274414062
2003-04-09,9.768447875976562
2003-04-10,9.786592483520508
2003-04-11,9.772982597351074
2003-04-14,9.73215103149414
2003-04-15,9.813814163208008
2003-04-16,9.82288932800293
2003-04-17,9.936319351196289
2003-04-21,9.981688499450684
2003-04-22,10.063360214233398
2003-04-23,10.126874923706055
2003-04-24,10.15864086151123
2003-04-25,10.122344970703125
2003-04-28,10.340126037597656
2003-04-29,10.262995719909668
2003-04-30,10.335583686828613
2003-05-01,10.253921508789062
2003-05-02,10.435399055480957
2003-05-05,10.412718772888184
2003-05-06,10.46262264251709
2003-05-07,10.430864334106445
2003-05-08,10.494385719299316
2003-05-09,10.63503646850586
2003-05-12,10.62596321105957
2003-05-13,10.566978454589844
2003-05-14,10.512535095214844
2003-05-15,10.680408477783203
2003-05-16,10.29928207397461
2003-05-19,10.535221099853516
2003-05-20,10.68494701385498
2003-05-21,10.753003120422363
2003-05-22,10.798955917358398
2003-05-23,11.148200035095215
2003-05-27,11.419325828552246
2003-05-28,11.377962112426758
2003-05-29,11.295246124267578
2003-05-30,11.373366355895996
2003-06-02,11.382559776306152
2003-06-03,11.396342277526855
2003-06-04,11.488249778747559
2003-06-05,11.502030372619629
2003-06-06,11.465276718139648
2003-06-09,11.547988891601562
2003-06-10,11.598535537719727
2003-06-11,11.695036888122559
2003-06-12,11.695036888122559
2003-06-13,11.4468994140625
2003-06-16,11.593942642211914
2003-06-17,11.630703926086426
2003-06-18,11.55717945098877
2003-06-19,11.603130340576172
2003-06-20,11.58934497833252
2003-06-23,11.538798332214355
2003-06-24,11.488249778747559
2003-06-25,11.212533950805664
2003-06-26,11.166583061218262
2003-06-27,11.299843788146973
2003-06-30,11.396342277526855
2003-07-01,11.373366355895996
2003-07-02,11.520419120788574
2003-07-03,11.433104515075684
2003-07-07,11.488249778747559
2003-07-08,11.327412605285645
2003-07-09,11.433104515075684
2003-07-10,11.304438591003418
2003-07-11,11.391748428344727
2003-07-14,11.433104515075684
2003-07-15,11.258487701416016
2003-07-16,11.184962272644043
2003-07-17,11.07467269897461
2003-07-18,11.263083457946777
2003-07-21,11.07467269897461
2003-07-22,11.152789115905762
2003-07-23,11.189557075500488
2003-07-24,11.203340530395508
2003-07-25,11.217132568359375
2003-07-28,11.09765338897705
2003-07-29,11.203340530395508
2003-07-30,11.272275924682617
2003-07-31,11.198746681213379
2003-08-01,11.03791618347168
2003-08-04,10.936813354492188
2003-08-05,10.697859764099121
2003-08-06,10.66109561920166
2003-08-07,10.840313911437988
2003-08-08,10.826531410217285
2003-08-11,11.024127960205078
2003-08-12,11.134413719177246
2003-08-13,11.09765338897705
2003-08-14,11.024127960205078
2003-08-15,11.079267501831055
2003-08-18,11.148200035095215
2003-08-19,11.171175956726074
2003-08-20,11.391748428344727
2003-08-21,11.475482940673828
2003-08-22,11.326626777648926
2003-08-25,11.396400451660156
2003-08-26,11.373147010803223
2003-08-27,11.424310684204102
2003-08-28,11.46617603302002
2003-08-29,11.326626777648926
2003-09-02,11.615021705627441
2003-09-03,11.44291877746582
2003-09-04,11.410359382629395
2003-09-05,11.373147010803223
2003-09-08,11.498734474182129
2003-09-09,11.456873893737793
2003-09-10,11.331280708312988
2003-09-11,11.373147010803223
2003-09-12,11.349888801574707
2003-09-15,11.28476619720459
2003-09-16,11.326626777648926
2003-09-17,11.219644546508789
2003-09-18,11.191731452941895
2003-09-19,11.280107498168945
2003-09-22,11.201033592224121
2003-09-23,11.340582847595215
2003-09-24,11.210335731506348
2003-09-25,11.14986515045166
2003-09-26,11.080097198486328
2003-09-29,11.205689430236816
2003-09-30,11.135913848876953
