Date,CHRW
2002-04-12,10.87385082244873
2002-04-15,10.696358680725098
2002-04-16,10.908102035522461
2002-04-17,10.796001434326172
2002-04-18,10.683900833129883
2002-04-19,10.727498054504395
2002-04-22,10.506409645080566
2002-04-23,10.568684577941895
2002-04-24,10.03931713104248
2002-04-25,10.107820510864258
2002-04-26,10.011293411254883
2002-04-29,9.886736869812012
2002-04-30,9.799537658691406
2002-05-01,10.061112403869629
2002-05-02,10.138961791992188
2002-05-03,10.272859573364258
2002-05-06,10.30711555480957
2002-05-07,10.285317420959473
2002-05-08,10.275973320007324
2002-05-09,10.07357120513916
2002-05-10,10.114049911499023
2002-05-13,10.431671142578125
2002-05-14,10.662100791931152
2002-05-15,10.711922645568848
2002-05-16,10.47838306427002
2002-05-17,10.739951133728027
2002-05-20,10.587368965148926
2002-05-21,10.540657997131348
2002-05-22,10.652763366699219
2002-05-23,10.74617862701416
2002-05-24,10.683900833129883
2002-05-28,10.47526741027832
2002-05-29,10.47526741027832
2002-05-30,10.578025817871094
2002-05-31,10.550004005432129
2002-06-03,10.400531768798828
2002-06-04,10.332025527954102
2002-06-05,10.450570106506348
2002-06-06,10.21972370147705
2002-06-07,10.238441467285156
2002-06-10,10.385059356689453
2002-06-11,10.294590950012207
2002-06-12,10.491125106811523
2002-06-13,10.456808090209961
2002-06-14,10.684534072875977
2002-06-17,10.718851089477539
2002-06-18,10.884194374084473
2002-06-19,10.743805885314941
2002-06-20,10.76252555847168
2002-06-21,10.76252555847168
2002-06-24,10.634622573852539
2002-06-25,10.453689575195312
2002-06-26,10.400657653808594
2002-06-27,10.434974670410156
2002-06-28,10.45992660522461
2002-07-01,10.185407638549805
2002-07-02,10.141731262207031
2002-07-03,10.098055839538574
2002-07-05,10.207242012023926
2002-07-08,10.073101997375488
2002-07-09,9.93584156036377
2002-07-10,9.84225082397461
2002-07-11,9.776741981506348
2002-07-12,9.786100387573242
2002-07-15,9.714350700378418
2002-07-16,9.814176559448242
2002-07-17,9.870328903198242
2002-07-18,9.680035591125488
2002-07-19,9.43670654296875
2002-07-22,8.875187873840332
2002-07-23,8.613142013549805
2002-07-24,8.61001968383789
2002-07-25,9.1840238571167
2002-07-26,8.909502029418945
2002-07-29,9.4647855758667
2002-07-30,9.417990684509277
2002-07-31,9.358719825744629
2002-08-01,8.872063636779785
2002-08-02,8.719208717346191
2002-08-05,8.301189422607422
2002-08-06,8.781598091125488
