Date,ECL
2014-11-07,99.100341796875
2014-11-10,99.32058715820312
2014-11-11,99.37345123291016
2014-11-12,99.54086303710938
2014-11-13,99.51445007324219
2014-11-14,99.03865051269531
2014-11-17,98.8448257446289
2014-11-18,99.71707153320312
2014-11-19,99.7522964477539
2014-11-20,99.96378326416016
2014-11-21,100.93289184570312
2014-11-24,100.88006591796875
2014-11-25,99.99900817871094
2014-11-26,100.21929931640625
2014-11-28,95.99024963378906
2014-12-01,91.89337158203125
2014-12-02,93.59380340576172
2014-12-03,96.2545394897461
2014-12-04,96.50125885009766
2014-12-05,96.06952667236328
2014-12-08,91.49687194824219
2014-12-09,92.90657043457031
2014-12-10,91.81407165527344
2014-12-11,92.19291687011719
2014-12-12,90.44290924072266
2014-12-15,90.17774963378906
2014-12-16,89.75353240966797
2014-12-17,92.29896545410156
2014-12-18,93.05908203125
2014-12-19,94.24341583251953
2014-12-22,94.42021179199219
2014-12-23,94.96815490722656
2014-12-24,94.72952270507812
2014-12-26,94.66765594482422
2014-12-29,94.34064483642578
2014-12-30,93.04141235351562
2014-12-31,92.37852478027344
2015-01-02,92.19292449951172
2015-01-05,90.13358306884766
2015-01-06,87.43788146972656
2015-01-07,88.71942901611328
2015-01-08,90.6992416381836
2015-01-09,89.55907440185547
2015-01-12,89.05530548095703
2015-01-13,90.08052825927734
2015-01-14,89.55907440185547
2015-01-15,88.98456573486328
2015-01-16,90.33687591552734
2015-01-20,90.6462173461914
2015-01-21,91.91893005371094
2015-01-22,94.01362609863281
2015-01-23,93.58056640625
2015-01-26,94.58811950683594
2015-01-27,94.11085510253906
2015-01-28,91.5477294921875
2015-01-29,92.25477600097656
2015-01-30,91.71566009521484
2015-02-02,91.46817016601562
2015-02-03,93.75730895996094
2015-02-04,92.30782318115234
2015-02-05,94.02243041992188
2015-02-06,94.28759765625
2015-02-09,94.7825698852539
2015-02-10,95.74591827392578
2015-02-11,96.61210632324219
2015-02-12,97.90250396728516
2015-02-13,98.65377044677734
2015-02-17,98.69796752929688
2015-02-18,98.6007308959961
2015-02-19,98.78633117675781
2015-02-20,99.45804595947266
2015-02-23,98.46814727783203
2015-02-24,99.87345123291016
2015-02-25,102.21563720703125
2015-02-26,102.65752410888672
2015-02-27,102.11840057373047
2015-03-02,102.4896011352539
2015-03-03,102.69288635253906
2015-03-04,102.68405151367188
2015-03-05,103.20551300048828
2015-03-06,101.65442657470703
2015-03-09,102.70916748046875
2015-03-10,101.83170318603516
2015-03-11,101.48600769042969
2015-03-12,102.64710998535156
2015-03-13,101.45943450927734
2015-03-16,102.07984161376953
2015-03-17,101.31761932373047
2015-03-18,102.54962921142578
2015-03-19,101.93806457519531
2015-03-20,102.16848754882812
2015-03-23,101.2910385131836
2015-03-24,100.67059326171875
2015-03-25,100.8832778930664
2015-03-26,101.27327728271484
2015-03-27,101.25557708740234
2015-03-30,101.74304962158203
2015-03-31,101.37962341308594
2015-04-01,100.63513946533203
2015-04-02,100.48445129394531
2015-04-06,101.610107421875
2015-04-07,101.54803466796875
2015-04-08,102.23052215576172
2015-04-09,102.69141387939453
2015-04-10,103.13459777832031
2015-04-13,102.31029510498047
2015-04-14,102.94844818115234
2015-04-15,103.71956634521484
2015-04-16,103.5511703491211
2015-04-17,102.10646057128906
2015-04-20,102.94844818115234
2015-04-21,102.70916748046875
2015-04-22,102.8598403930664
2015-04-23,102.68256378173828
2015-04-24,102.45213317871094
2015-04-27,102.89530944824219
2015-04-28,100.1299057006836
2015-04-29,101.40625
2015-04-30,99.25247955322266
2015-05-01,100.99849700927734
2015-05-04,101.0162582397461
2015-05-05,99.58922576904297
2015-05-06,99.71330261230469
2015-05-07,100.40467071533203
2015-05-08,101.74304962158203
2015-05-11,100.67059326171875
2015-05-12,100.55533599853516
2015-05-13,101.05169677734375
2015-05-14,102.80664825439453
2015-05-15,102.921875
2015-05-18,102.68256378173828
2015-05-19,102.57622528076172
2015-05-20,102.43441009521484
2015-05-21,102.8509750366211
2015-05-22,102.1596450805664
2015-05-26,100.8832778930664
2015-05-27,101.44169616699219
2015-05-28,101.75190734863281
2015-05-29,101.61895751953125
2015-06-01,101.98234558105469
2015-06-02,102.52301788330078
2015-06-03,103.13459777832031
2015-06-04,101.06056213378906
2015-06-05,101.05169677734375
2015-06-08,100.68830871582031
2015-06-09,100.74147033691406
2015-06-10,102.46983337402344
2015-06-11,102.55847930908203
2015-06-12,101.56294250488281
2015-06-15,101.22518920898438
2015-06-16,101.73181915283203
2015-06-17,102.25627136230469
2015-06-18,104.19401550292969
2015-06-19,104.14959716796875
2015-06-22,104.64734649658203
