Date,F
2021-09-13,9.62920093536377
2021-09-14,9.53283405303955
2021-09-15,9.799695014953613
2021-09-16,9.933123588562012
2021-09-17,10.044316291809082
2021-09-20,9.503183364868164
2021-09-21,9.466119766235352
2021-09-22,9.807108879089355
2021-09-23,10.162920951843262
2021-09-24,10.214810371398926
2021-09-27,10.496496200561523
2021-09-28,10.607688903808594
2021-09-29,10.600275993347168
2021-09-30,10.496496200561523
2021-10-01,10.496496200561523
2021-10-04,10.63733959197998
2021-10-05,10.592864036560059
2021-10-06,10.466846466064453
2021-10-07,11.037630081176758
2021-10-08,11.208124160766602
2021-10-11,11.185884475708008
2021-10-12,11.593589782714844
2021-10-13,11.497223854064941
2021-10-14,11.452746391296387
2021-10-15,11.638065338134766
2021-10-18,11.534287452697754
2021-10-19,11.430506706237793
2021-10-20,11.890101432800293
2021-10-21,12.26815128326416
2021-10-22,12.068005561828613
2021-10-25,11.860448837280273
2021-10-26,11.815972328186035
2021-10-27,11.497223854064941
2021-10-28,12.497947692871094
2021-10-29,12.661028861999512
2021-11-01,13.305938720703125
2021-11-02,13.350415229797363
2021-11-03,13.81000804901123
2021-11-04,14.395623207092285
2021-11-05,14.299256324768066
2021-11-08,14.936747550964355
2021-11-09,14.914512634277344
2021-11-10,14.351141929626465
2021-11-11,14.491985321044922
2021-11-12,14.454922676086426
2021-11-15,14.721780776977539
2021-11-16,14.669891357421875
2021-11-17,14.79590892791748
2021-11-18,14.572403907775879
2021-11-19,14.445755004882812
2021-11-22,15.25781536102295
2021-11-23,15.049213409423828
2021-11-24,15.08646297454834
2021-11-26,14.713958740234375
2021-11-29,14.654356002807617
2021-11-30,14.296751976013184
2021-12-01,14.587303161621094
2021-12-02,14.803361892700195
2021-12-03,14.259503364562988
2021-12-06,14.31910228729248
2021-12-07,14.870410919189453
2021-12-08,14.758658409118652
2021-12-09,14.579855918884277
2021-12-10,15.980475425720215
2021-12-13,15.220566749572754
2021-12-14,14.937459945678711
2021-12-15,15.041765213012695
2021-12-16,15.16096305847168
2021-12-17,14.72885513305664
2021-12-20,14.468104362487793
2021-12-21,14.609655380249023
2021-12-22,15.004508018493652
2021-12-23,15.08646297454834
2021-12-27,15.496217727661133
2021-12-28,15.46641731262207
2021-12-29,15.317415237426758
2021-12-30,15.250360488891602
2021-12-31,15.473870277404785
2022-01-03,16.218881607055664
2022-01-04,18.111204147338867
2022-01-05,17.626949310302734
2022-01-06,18.22295570373535
2022-01-07,18.20806121826172
2022-01-10,17.768505096435547
2022-01-11,18.141002655029297
2022-01-12,18.230409622192383
2022-01-13,18.64016342163086
2022-01-14,18.766813278198242
2022-01-18,18.163354873657227
2022-01-19,16.725488662719727
2022-01-20,16.12947654724121
2022-01-21,15.384471893310547
2022-01-24,15.190763473510742
2022-01-25,14.885311126708984
2022-01-26,14.83315658569336
2022-01-27,14.564955711364746
2022-01-28,14.63235092163086
2022-01-31,15.201469421386719
2022-02-01,15.471055030822754
2022-02-02,15.448589324951172
2022-02-03,14.894442558288574
2022-02-04,13.44918441772461
2022-02-07,13.39676570892334
2022-02-08,13.269461631774902
2022-02-09,13.741230964660645
2022-02-10,13.539043426513672
2022-02-11,13.142157554626465
2022-02-14,13.074761390686035
2022-02-15,13.539043426513672
2022-02-16,13.486624717712402
2022-02-17,13.134668350219727
2022-02-18,13.509090423583984
2022-02-22,12.94745922088623
2022-02-23,12.692852973937988
2022-02-24,12.842618942260742
2022-02-25,13.35183334350586
2022-02-28,13.14964485168457
2022-03-01,12.505643844604492
2022-03-02,13.554020881652832
2022-03-03,13.179600715637207
2022-03-04,12.61796760559082
2022-03-07,11.958988189697266
2022-03-08,12.003920555114746
2022-03-09,12.258525848388672
2022-03-10,12.228570938110352
2022-03-11,12.011409759521484
2022-03-14,11.78675651550293
2022-03-15,12.026384353637695
2022-03-16,12.415783882141113
2022-03-17,12.415783882141113
2022-03-18,12.625458717346191
2022-03-21,12.340898513793945
2022-03-22,12.797693252563477
2022-03-23,12.490665435791016
2022-03-24,12.602992057800293
2022-03-25,12.333409309387207
2022-03-28,12.483177185058594
2022-03-29,13.291926383972168
2022-03-30,12.932482719421387
2022-03-31,12.662899017333984
2022-04-01,12.468202590942383
2022-04-04,12.475689888000488
2022-04-05,11.846661567687988
2022-04-06,11.524663925170898
2022-04-07,11.20266056060791
2022-04-08,11.27005672454834
2022-04-11,11.44228744506836
2022-04-12,11.502196311950684
2022-04-13,11.614522933959961
2022-04-14,11.592055320739746
2022-04-18,11.73433780670166
2022-04-19,12.093780517578125
2022-04-20,12.018896102905273
2022-04-21,11.756800651550293
2022-04-22,11.329962730407715
2022-04-25,11.450573921203613
2022-04-26,11.088741302490234
2022-04-27,11.19427490234375
2022-04-28,11.020895004272461
2022-04-29,10.674137115478516
2022-05-02,10.757058143615723
2022-05-03,10.975666999816895
2022-05-04,11.29227066040039
2022-05-05,10.95305061340332
2022-05-06,10.71182918548584
2022-05-09,10.07861614227295
2022-05-10,10.063539505004883
2022-05-11,9.671550750732422
2022-05-12,9.377561569213867
2022-05-13,10.17661190032959
2022-05-16,9.837392807006836
2022-05-17,10.19922924041748
2022-05-18,9.633859634399414
2022-05-19,9.686627388000488
2022-05-20,9.422789573669434
2022-05-23,9.671550750732422
2022-05-24,9.362483978271484
2022-05-25,9.581092834472656
2022-05-26,9.890159606933594
2022-05-27,10.27461051940918
2022-05-31,10.312301635742188
2022-06-01,10.214303016662598
2022-06-02,10.47060489654541
2022-06-03,10.17661190032959
2022-06-06,10.146461486816406
2022-06-07,10.35753059387207
2022-06-08,10.19922924041748
2022-06-09,10.010771751403809
2022-06-10,9.611245155334473
2022-06-13,8.902652740478516
2022-06-14,9.196640968322754
2022-06-15,9.249411582946777
2022-06-16,8.480511665344238
2022-06-17,8.465435028076172
2022-06-21,8.638813972473145
2022-06-22,8.653889656066895
2022-06-23,8.714195251464844
2022-06-24,9.053418159484863
2022-06-27,9.076034545898438
2022-06-28,8.902652740478516
2022-06-29,8.684043884277344
2022-06-30,8.390052795410156
2022-07-01,8.533280372619629
2022-07-05,8.442819595336914
2022-07-06,8.337285041809082
2022-07-07,8.7820405960083
2022-07-08,8.759425163269043
2022-07-11,8.510663986206055
2022-07-12,8.714195251464844
2022-07-13,8.676506042480469
2022-07-14,8.58604621887207
2022-07-15,8.955419540405273
2022-07-18,9.015724182128906
2022-07-19,9.490633010864258
2022-07-20,9.596169471740723
2022-07-21,9.799701690673828
2022-07-22,9.66401481628418
2022-07-25,9.679092407226562
2022-07-26,9.45294189453125
2022-07-27,9.942928314208984
2022-07-28,10.5535249710083
2022-07-29,11.073663711547852
2022-08-01,11.563647270202637
2022-08-02,11.427960395812988
2022-08-03,11.827485084533691
2022-08-04,11.586262702941895
2022-08-05,11.53349494934082
2022-08-08,11.895329475402832
2022-08-09,11.450573921203613
2022-08-10,11.80079174041748
2022-08-11,12.052035331726074
2022-08-12,12.318503379821777
2022-08-15,12.425090789794922
2022-08-16,12.50883960723877
2022-08-17,12.204302787780762
2022-08-18,12.295665740966797
2022-08-19,12.090100288391113
2022-08-22,11.481030464172363
