Date,CIEN
2008-09-22,10.699999809265137
2008-09-23,10.479999542236328
2008-09-24,10.90999984741211
2008-09-25,11.5600004196167
2008-09-26,11.609999656677246
2008-09-29,9.550000190734863
2008-09-30,10.079999923706055
2008-10-01,9.720000267028809
2008-10-02,9.0600004196167
2008-10-03,8.930000305175781
2008-10-06,8.529999732971191
2008-10-07,7.869999885559082
2008-10-08,7.96999979019165
2008-10-09,7.300000190734863
2008-10-10,7.269999980926514
2008-10-13,8.460000038146973
2008-10-14,8.25
2008-10-15,7.420000076293945
2008-10-16,7.539999961853027
2008-10-17,7.730000019073486
2008-10-20,8.75
2008-10-21,8.329999923706055
2008-10-22,7.920000076293945
2008-10-23,7.75
2008-10-24,8.25
2008-10-27,8.520000457763672
2008-10-28,8.199999809265137
2008-10-29,8.470000267028809
2008-10-30,9.15999984741211
2008-10-31,9.609999656677246
2008-11-03,8.84000015258789
2008-11-04,9.170000076293945
2008-11-05,8.65999984741211
2008-11-06,7.809999942779541
2008-11-07,7.96999979019165
2008-11-10,7.269999980926514
2008-11-11,6.75
2008-11-12,6.239999771118164
2008-11-13,6.650000095367432
2008-11-14,6.679999828338623
2008-11-17,6.489999771118164
2008-11-18,6.53000020980835
2008-11-19,5.550000190734863
2008-11-20,5.340000152587891
2008-11-21,5.769999980926514
2008-11-24,6.599999904632568
2008-11-25,6.809999942779541
2008-11-26,7.380000114440918
2008-11-28,7.400000095367432
2008-12-01,6.659999847412109
2008-12-02,6.5
2008-12-03,6.769999980926514
2008-12-04,6.190000057220459
2008-12-05,6.46999979019165
2008-12-08,7.239999771118164
2008-12-09,7.03000020980835
2008-12-10,7.559999942779541
2008-12-11,6.050000190734863
2008-12-12,6.130000114440918
2008-12-15,6.619999885559082
2008-12-16,6.940000057220459
2008-12-17,6.860000133514404
2008-12-18,6.539999961853027
2008-12-19,6.710000038146973
2008-12-22,6.210000038146973
2008-12-23,6.400000095367432
2008-12-24,6.210000038146973
2008-12-26,6.260000228881836
2008-12-29,6.110000133514404
2008-12-30,6.320000171661377
2008-12-31,6.699999809265137
2009-01-02,6.980000019073486
2009-01-05,7.079999923706055
2009-01-06,8.399999618530273
2009-01-07,9.039999961853027
2009-01-08,8.75
2009-01-09,8.029999732971191
2009-01-12,7.769999980926514
2009-01-13,7.46999979019165
2009-01-14,7.079999923706055
2009-01-15,7.320000171661377
2009-01-16,7.25
2009-01-20,6.53000020980835
2009-01-21,7.019999980926514
2009-01-22,7.059999942779541
2009-01-23,7.75
2009-01-26,7.739999771118164
2009-01-27,7.849999904632568
2009-01-28,7.5
2009-01-29,7.03000020980835
