Date,MAS
2008-08-20,11.171404838562012
2008-08-21,11.158865928649902
2008-08-22,11.466050148010254
2008-08-25,11.240364074707031
2008-08-26,11.271713256835938
2008-08-27,11.591428756713867
2008-08-28,12.13056755065918
2008-08-29,11.948765754699707
2008-09-02,12.287290573120117
2008-09-03,12.331174850463867
2008-09-04,11.91741943359375
2008-09-05,11.447243690490723
2008-09-08,12.406403541564941
2008-09-09,11.892342567443848
2008-09-10,11.91741943359375
2008-09-11,12.099220275878906
2008-09-12,12.005188941955566
2008-09-15,11.66666030883789
2008-09-16,11.823384284973145
2008-09-17,11.209015846252441
2008-09-18,11.91741943359375
2008-09-19,12.086685180664062
2008-09-22,11.20274829864502
2008-09-23,10.926915168762207
2008-09-24,11.265437126159668
2008-09-25,11.66666030883789
2008-09-26,11.898614883422852
2008-09-29,11.240364074707031
2008-09-30,11.24662971496582
2008-10-01,11.196477890014648
2008-10-02,10.55704116821289
2008-10-03,10.11194133758545
2008-10-06,10.256129264831543
2008-10-07,10.011635780334473
2008-10-08,9.60124397277832
2008-10-09,8.583218574523926
2008-10-10,8.385978698730469
2008-10-13,8.825003623962402
2008-10-14,8.901351928710938
2008-10-15,8.106022834777832
2008-10-16,8.271449089050293
2008-10-17,8.32235050201416
2008-10-20,8.595947265625
2008-10-21,8.144195556640625
2008-10-22,7.2852396965026855
2008-10-23,6.865304470062256
2008-10-24,6.547170639038086
2008-10-27,6.279937744140625
2008-10-28,6.356293201446533
2008-10-29,6.400827884674072
2008-10-30,6.451729774475098
2008-10-31,6.45809268951416
2008-11-03,6.36265230178833
2008-11-04,6.407191753387451
2008-11-05,6.101785659790039
2008-11-06,5.618224143981934
2008-11-07,5.599133491516113
2008-11-10,5.389167308807373
2008-11-11,5.217376708984375
2008-11-12,4.803802490234375
2008-11-13,5.191925525665283
2008-11-14,4.892883777618408
2008-11-17,5.001044750213623
2008-11-18,5.109210968017578
2008-11-19,4.918332576751709
2008-11-20,4.835616111755371
2008-11-21,4.7338151931762695
2008-11-24,5.077397346496582
2008-11-25,5.198288917541504
2008-11-26,5.821829319000244
2008-11-28,6.095423698425293
2008-12-01,5.452795028686523
2008-12-02,5.815464019775391
2008-12-03,5.9618072509765625
2008-12-04,6.292664051055908
2008-12-05,6.4771833419799805
2008-12-08,6.718961715698242
2008-12-09,6.470818996429443
2008-12-10,6.5217204093933105
2008-12-11,6.197225570678711
2008-12-12,6.4962687492370605
2008-12-15,6.23539924621582
2008-12-16,7.0370941162109375
2008-12-17,6.922566890716553
2008-12-18,7.126175403594971
2008-12-19,7.42521858215332
2008-12-22,6.986191749572754
2008-12-23,6.738051414489746
2008-12-24,6.801675319671631
2008-12-26,6.757139682769775
2008-12-29,6.6871466636657715
2008-12-30,6.8780293464660645
2008-12-31,7.0816330909729
2009-01-02,7.234336853027344
2009-01-05,7.4633893966674805
2009-01-06,7.577919960021973
2009-01-07,7.211196422576904
2009-01-08,7.477311611175537
2009-01-09,7.33452033996582
2009-01-12,7.0229644775390625
2009-01-13,7.035948276519775
2009-01-14,6.646500587463379
2009-01-15,6.646500587463379
2009-01-16,6.724393844604492
2009-01-20,6.1077728271484375
2009-01-21,6.231095314025879
2009-01-22,5.841651439666748
2009-01-23,5.867616176605225
2009-01-26,5.796215057373047
2009-01-27,5.607985019683838
2009-01-28,6.101282119750977
2009-01-29,5.426245212554932
2009-01-30,5.075746059417725
2009-02-02,5.10170841217041
2009-02-03,5.250994682312012
2009-02-04,5.199070453643799
2009-02-05,5.179598808288574
2009-02-06,5.276957035064697
2009-02-09,5.212052345275879
2009-02-10,4.913478374481201
2009-02-11,4.835590362548828
2009-02-12,4.478600025177002
2009-02-13,4.180028438568115
2009-02-17,3.86847186088562
2009-02-18,3.8230342864990234
2009-02-19,3.6672606468200684
2009-02-20,3.673750400543213
2009-02-23,3.5374460220336914
2009-02-24,3.699713945388794
2009-02-25,3.63480806350708
2009-02-26,3.5309534072875977
2009-02-27,3.3427228927612305
2009-03-02,3.160984516143799
2009-03-03,3.0311684608459473
2009-03-04,3.063621997833252
2009-03-05,2.6027801036834717
2009-03-06,2.5313830375671387
2009-03-09,2.382096290588379
2009-03-10,2.8169751167297363
2009-03-11,3.0311684608459473
2009-03-12,3.3557043075561523
2009-03-13,3.303778886795044
2009-03-16,3.381666660308838
2009-03-17,3.504990816116333
2009-03-18,3.9463608264923096
2009-03-19,4.231953144073486
2009-03-20,4.283876895904541
2009-03-23,4.861551761627197
2009-03-24,4.660341262817383
2009-03-25,4.7706828117370605
2009-03-26,5.030312538146973
2009-03-27,4.803135395050049
2009-03-30,4.348785400390625
2009-03-31,4.530526638031006
2009-04-01,4.537015914916992
2009-04-02,5.082240104675293
2009-04-03,4.971894264221191
2009-04-06,5.082240104675293
2009-04-07,4.784053802490234
2009-04-08,4.731625556945801
2009-04-09,5.314884662628174
2009-04-13,5.033087253570557
2009-04-14,4.823373794555664
2009-04-15,5.190369606018066
2009-04-16,5.518043518066406
2009-04-17,5.66877555847168
2009-04-20,5.02653169631958
2009-04-21,5.400081157684326
2009-04-22,5.885040283203125
2009-04-23,5.688436985015869
2009-04-24,6.612478733062744
2009-04-27,6.389660835266113
2009-04-28,5.504938125610352
2009-04-29,5.898148059844971
2009-04-30,5.806400775909424
2009-05-01,5.891594886779785
2009-05-04,6.468302249908447
2009-05-05,6.874619483947754
2009-05-06,6.881172180175781
2009-05-07,6.553497791290283
2009-05-08,7.103992462158203
2009-05-11,6.684566974639893
2009-05-12,6.566605091094971
2009-05-13,6.0554304122924805
2009-05-14,6.199606895446777
2009-05-15,6.252036094665527
2009-05-18,6.717336654663086
2009-05-19,6.710782527923584
2009-05-20,6.632138252258301
2009-05-21,6.507623672485352
2009-05-22,6.52728271484375
2009-05-26,6.868063926696777
2009-05-27,6.566605091094971
2009-05-28,6.612478733062744
2009-05-29,6.789422035217285
2009-06-01,7.241612911224365
2009-06-02,7.398900985717773
2009-06-03,7.097438812255859
2009-06-04,7.248167514801025
2009-06-05,7.018794536590576
2009-06-08,7.045010089874268
2009-06-09,6.671460151672363
2009-06-10,6.579712390899658
2009-06-11,6.560050964355469
2009-06-12,6.507623672485352
2009-06-15,6.343785285949707
2009-06-16,6.094751358032227
2009-06-17,5.937468528747559
2009-06-18,5.878486156463623
2009-06-19,5.944022178649902
2009-06-22,5.675326347351074
2009-06-23,5.773631572723389
2009-06-24,5.74741792678833
2009-06-25,6.173397541046143
2009-06-26,6.166841506958008
2009-06-29,6.252036094665527
2009-06-30,6.2782511711120605
2009-07-01,6.147181034088135
2009-07-02,5.963683605194092
2009-07-06,5.714652061462402
2009-07-07,5.426296710968018
2009-07-08,5.4494428634643555
2009-07-09,5.674297332763672
2009-07-10,5.522190093994141
2009-07-13,5.6676836013793945
2009-07-14,5.740433216094971
2009-07-15,6.077716827392578
2009-07-16,6.302573204040527
2009-07-17,6.401772975921631
2009-07-20,6.586946964263916
2009-07-21,6.5604963302612305
2009-07-22,6.534040451049805
2009-07-23,7.09617805480957
2009-07-24,7.307807445526123
2009-07-27,7.6384782791137695
2009-07-28,8.709851264953613
2009-07-29,8.458539009094238
2009-07-30,8.88179874420166
2009-07-31,9.212469100952148
2009-08-03,9.13972282409668
2009-08-04,9.609274864196777
2009-08-05,9.410869598388672
2009-08-06,9.662175178527832
2009-08-07,10.006077766418457
2009-08-10,9.615887641906738
2009-08-11,9.443939208984375
2009-08-12,9.68863296508789
2009-08-13,9.79444694519043
2009-08-14,9.331509590148926
2009-08-17,8.762758255004883
2009-08-18,8.967771530151367
2009-08-19,9.093428611755371
2009-08-20,8.921479225158691
2009-08-21,9.496841430664062
2009-08-24,9.496841430664062
2009-08-25,9.662175178527832
2009-08-26,9.543139457702637
2009-08-27,9.715084075927734
2009-08-28,9.596041679382324
2009-08-31,9.576205253601074
2009-09-01,8.967771530151367
2009-09-02,8.432088851928711
2009-09-03,8.47838020324707
2009-09-04,8.6503324508667
2009-09-08,9.133105278015137
2009-09-09,9.31166934967041
2009-09-10,9.404256820678711
2009-09-11,9.377800941467285
2009-09-14,9.417484283447266
2009-09-15,9.529913902282715
