Date,RF
2000-10-05,7.9633941650390625
2000-10-06,7.659615516662598
2000-10-09,7.594518661499023
2000-10-10,7.399234771728516
2000-10-11,7.247340202331543
2000-10-12,7.052052974700928
2000-10-13,7.377529621124268
2000-10-16,7.26903772354126
2000-10-17,7.182247638702393
2000-10-18,7.138850212097168
2000-10-19,7.551122665405273
2000-10-20,7.26903772354126
2000-10-23,7.117150783538818
2000-10-24,7.182247638702393
2000-10-25,7.377529621124268
2000-10-26,7.486027717590332
2000-10-27,7.551122665405273
2000-10-30,7.898297309875488
2000-10-31,8.180380821228027
2000-11-01,8.202081680297852
2000-11-02,8.180380821228027
2000-11-03,8.245476722717285
2000-11-06,8.440762519836426
2000-11-07,8.419069290161133
2000-11-08,8.419069290161133
2000-11-09,8.310578346252441
2000-11-10,8.006792068481445
2000-11-13,8.028491973876953
2000-11-14,8.093588829040527
2000-11-15,7.919997692108154
2000-11-16,7.9633941650390625
2000-11-17,7.919997692108154
2000-11-20,7.7898077964782715
2000-11-21,7.941697597503662
2000-11-22,7.854905605316162
2000-11-24,7.985095024108887
2000-11-27,8.028491973876953
2000-11-28,8.11528491973877
2000-11-29,8.332269668579102
2000-11-30,8.419069290161133
2000-12-01,8.397370338439941
2000-12-04,8.484163284301758
2000-12-05,8.592653274536133
2000-12-06,8.630624771118164
2000-12-07,8.722848892211914
2000-12-08,8.896437644958496
2000-12-11,9.113426208496094
2000-12-12,8.896437644958496
2000-12-13,8.771876335144043
2000-12-14,8.662227630615234
2000-12-15,8.64029598236084
2000-12-18,8.947310447692871
2000-12-19,9.232398986816406
2000-12-20,9.276261329650879
2000-12-21,9.451693534851074
2000-12-22,9.670992851257324
2000-12-26,9.692925453186035
2000-12-27,9.758708953857422
2000-12-28,9.758708953857422
2000-12-29,9.583274841308594
2001-01-02,9.517484664916992
2001-01-03,9.89577579498291
2001-01-04,10.043795585632324
2001-01-05,9.802571296691895
2001-01-08,9.692925453186035
2001-01-09,9.6271333694458
2001-01-10,9.649065971374512
2001-01-11,9.82450008392334
2001-01-12,9.714850425720215
2001-01-16,9.95608139038086
2001-01-17,10.131518363952637
2001-01-18,9.94511604309082
2001-01-19,9.912219047546387
2001-01-22,10.230201721191406
2001-01-23,10.153446197509766
2001-01-24,10.175373077392578
2001-01-25,10.153446197509766
2001-01-26,10.285021781921387
2001-01-29,10.350813865661621
2001-01-30,10.416604995727539
2001-01-31,10.438533782958984
2001-02-01,10.46046257019043
2001-02-02,10.438533782958984
2001-02-05,10.482392311096191
2001-02-06,10.416604995727539
2001-02-07,10.46046257019043
2001-02-08,10.482392311096191
2001-02-09,10.504325866699219
2001-02-12,10.526250839233398
2001-02-13,10.504325866699219
2001-02-14,10.482392311096191
2001-02-15,10.59203815460205
2001-02-16,10.701689720153809
