Date,GE
2019-11-27,54.600040435791016
2019-11-29,54.503326416015625
2019-12-02,53.97135543823242
2019-12-03,53.149208068847656
2019-12-04,52.71395492553711
2019-12-05,52.18197250366211
2019-12-06,53.68119430541992
2019-12-09,53.149208068847656
2019-12-10,53.24592971801758
2019-12-11,53.05248260498047
2019-12-12,55.325469970703125
2019-12-13,54.84184646606445
2019-12-16,54.01969909667969
2019-12-17,53.68119430541992
2019-12-18,53.00412368774414
2019-12-19,53.39101028442383
2019-12-20,53.39101028442383
2019-12-23,54.020286560058594
2019-12-24,54.165489196777344
2019-12-26,54.35911560058594
2019-12-27,54.117088317871094
2019-12-30,53.633033752441406
2019-12-31,54.020286560058594
2020-01-02,57.74747848510742
2020-01-03,57.94111251831055
2020-01-06,58.763999938964844
2020-01-07,58.3283576965332
2020-01-08,57.79588317871094
2020-01-09,57.65066909790039
2020-01-10,56.48893737792969
2020-01-13,58.66719055175781
2020-01-14,58.23154830932617
2020-01-15,57.457054138183594
2020-01-16,57.31184387207031
2020-01-17,57.166622161865234
2020-01-21,56.44054412841797
2020-01-22,55.03678894042969
2020-01-23,56.97299575805664
2020-01-24,56.682579040527344
2020-01-27,55.37562942504883
2020-01-28,56.77938461303711
2020-01-29,62.63642883300781
2020-01-30,61.61989974975586
2020-01-31,60.264556884765625
2020-02-03,59.3448486328125
2020-02-04,60.89382553100586
2020-02-05,62.249176025390625
2020-02-06,62.684837341308594
2020-02-07,62.103965759277344
2020-02-10,62.491207122802734
2020-02-11,62.200782775878906
2020-02-12,63.701324462890625
2020-02-13,62.63642883300781
2020-02-14,62.103965759277344
2020-02-18,61.716712951660156
2020-02-19,61.03904342651367
2020-02-20,60.65179443359375
2020-02-21,59.29645919799805
2020-02-24,57.408653259277344
2020-02-25,54.79476547241211
2020-02-26,53.00376892089844
2020-02-27,50.2930793762207
2020-02-28,52.66493225097656
2020-03-02,54.26231384277344
2020-03-03,52.66493225097656
2020-03-04,53.00376892089844
2020-03-05,48.79250717163086
2020-03-06,45.546146392822266
2020-03-09,39.780189514160156
2020-03-10,42.8812141418457
2020-03-11,39.780189514160156
2020-03-12,35.031761169433594
2020-03-13,38.03587341308594
2020-03-16,32.26991271972656
2020-03-17,34.30496597290039
2020-03-18,31.979204177856445
2020-03-19,31.39776611328125
2020-03-20,31.591577529907227
2020-03-23,29.60498809814453
2020-03-24,33.965789794921875
2020-03-25,36.630733489990234
2020-03-26,39.34410858154297
2020-03-27,36.92143630981445
2020-03-30,38.22969055175781
2020-03-31,38.471946716308594
2020-04-01,34.11114501953125
2020-04-02,33.43280029296875
2020-04-03,32.60908889770508
2020-04-06,35.031761169433594
2020-04-07,34.062686920166016
2020-04-08,35.370941162109375
2020-04-09,34.59568786621094
2020-04-13,34.01424026489258
2020-04-14,33.578155517578125
2020-04-15,31.49466896057129
2020-04-16,30.23488426208496
2020-04-17,33.142086029052734
2020-04-20,31.543123245239258
2020-04-21,31.39776611328125
2020-04-22,31.155494689941406
2020-04-23,31.591577529907227
2020-04-24,30.3317928314209
2020-04-27,31.155494689941406
2020-04-28,32.94827651977539
2020-04-29,31.88228988647461
2020-04-30,32.94827651977539
2020-05-01,31.49466896057129
2020-05-04,30.08952522277832
2020-05-05,30.04107093811035
2020-05-06,28.97509002685547
2020-05-07,29.60498809814453
2020-05-08,30.477148056030273
2020-05-11,29.992618560791016
2020-05-12,29.07200050354004
2020-05-13,28.054485321044922
2020-05-14,27.618404388427734
2020-05-15,26.600881576538086
2020-05-18,30.3802433013916
2020-05-19,30.08952522277832
2020-05-20,31.107044219970703
2020-05-21,31.39776611328125
2020-05-22,31.058589935302734
2020-05-26,32.94827651977539
2020-05-27,35.322486877441406
2020-05-28,32.85136795043945
2020-05-29,31.83384132385254
2020-06-01,32.754451751708984
2020-06-02,34.15958786010742
2020-06-03,35.66164779663086
2020-06-04,37.50288772583008
2020-06-05,38.18123245239258
2020-06-08,40.99153137207031
2020-06-09,38.85958480834961
2020-06-10,36.87298583984375
2020-06-11,33.675071716308594
2020-06-12,35.12867736816406
2020-06-15,35.0802116394043
2020-06-16,36.19464111328125
2020-06-17,35.0802116394043
2020-06-18,35.27402877807617
2020-06-19,34.644126892089844
2020-06-22,34.11114501953125
2020-06-23,33.91733169555664
2020-06-24,31.640031814575195
2020-06-25,32.36682891845703
2020-06-26,31.444841384887695
2020-06-29,32.9976692199707
2020-06-30,33.143245697021484
2020-07-01,32.706512451171875
2020-07-02,33.0947151184082
2020-07-06,33.96818542480469
2020-07-07,32.80356216430664
2020-07-08,33.28881072998047
2020-07-09,31.930095672607422
2020-07-10,32.46388244628906
2020-07-13,32.51239776611328
2020-07-14,33.385868072509766
2020-07-15,34.647552490234375
2020-07-16,34.21080780029297
2020-07-17,34.3078727722168
2020-07-20,33.337345123291016
2020-07-21,34.16230010986328
2020-07-22,34.25934600830078
2020-07-23,34.16230010986328
2020-07-24,33.28881072998047
2020-07-27,32.56093215942383
2020-07-28,33.434410095214844
2020-07-29,31.978618621826172
2020-07-30,30.37726402282715
2020-07-31,29.455272674560547
2020-08-03,29.649372100830078
2020-08-04,29.79495620727539
2020-08-05,31.05662727355957
2020-08-06,30.71694564819336
2020-08-07,31.05662727355957
2020-08-10,32.366825103759766
2020-08-11,32.65797424316406
2020-08-12,32.60945510864258
2020-08-13,32.02714538574219
2020-08-14,32.318302154541016
2020-08-17,31.39630699157715
2020-08-18,31.25072479248047
2020-08-19,30.959579467773438
2020-08-20,30.425790786743164
2020-08-21,30.619892120361328
2020-08-24,32.1727180480957
2020-08-25,31.978618621826172
2020-08-26,31.444841384887695
2020-08-27,31.444841384887695
2020-08-28,32.07566833496094
2020-08-31,30.765470504760742
2020-09-01,30.037578582763672
2020-09-02,31.25072479248047
2020-09-03,30.668420791625977
2020-09-04,31.153676986694336
2020-09-08,29.79495620727539
2020-09-09,29.892000198364258
2020-09-10,29.115589141845703
2020-09-11,28.87295913696289
2020-09-14,29.843473434448242
2020-09-15,29.600849151611328
2020-09-16,32.755027770996094
2020-09-17,34.21080780029297
2020-09-18,33.385868072509766
2020-09-21,30.81399917602539
2020-09-22,30.328739166259766
2020-09-23,29.649372100830078
2020-09-24,29.40674591064453
2020-09-25,29.698379516601562
2020-09-28,30.135839462280273
2020-09-29,29.746986389160156
2020-09-30,30.28165626525879
2020-10-01,30.330259323120117
2020-10-02,31.05935287475586
2020-10-05,31.156566619873047
2020-10-06,29.99001693725586
2020-10-07,30.670503616333008
2020-10-08,32.32311248779297
2020-10-09,33.246639251708984
2020-10-12,33.19802474975586
2020-10-13,32.66335678100586
2020-10-14,33.149417877197266
2020-10-15,33.39244842529297
2020-10-16,35.433902740478516
2020-10-19,35.433902740478516
2020-10-20,35.67694091796875
2020-10-21,35.57972717285156
2020-10-22,37.523983001708984
2020-10-23,37.08652114868164
2020-10-26,35.871376037597656
2020-10-27,34.51039505004883
2020-10-28,36.06578826904297
2020-10-29,35.82275390625
2020-10-30,36.06578826904297
2020-11-02,36.551856994628906
2020-11-03,38.15585708618164
2020-11-04,38.15585708618164
2020-11-05,38.83634567260742
2020-11-06,39.322410583496094
2020-11-09,42.38459396362305
2020-11-10,43.648353576660156
2020-11-11,43.210906982421875
2020-11-12,42.57902526855469
2020-11-13,44.960731506347656
2020-11-16,46.5161247253418
2020-11-17,47.05078125
2020-11-18,47.2938232421875
2020-11-19,46.95357894897461
2020-11-20,47.43963623046875
2020-11-23,48.946434020996094
2020-11-24,50.79347229003906
2020-11-25,51.036495208740234
2020-11-27,50.55043411254883
2020-11-30,49.48111343383789
2020-12-01,49.33528518676758
2020-12-02,50.69625473022461
2020-12-03,51.522552490234375
2020-12-04,52.8835334777832
2020-12-07,52.78631591796875
2020-12-08,53.27238464355469
2020-12-09,55.362449645996094
2020-12-10,55.02220916748047
2020-12-11,54.2445068359375
2020-12-14,52.640506744384766
2020-12-15,54.00148010253906
2020-12-16,53.126556396484375
2020-12-17,52.8835334777832
2020-12-18,52.59162902832031
2020-12-21,52.39702606201172
2020-12-22,51.61861038208008
2020-12-23,52.83488082885742
2020-12-24,51.81321334838867
2020-12-28,51.764556884765625
2020-12-29,51.37535095214844
2020-12-30,52.10511779785156
2020-12-31,52.54298400878906
2021-01-04,50.93749237060547
2021-01-05,52.39702606201172
2021-01-06,55.26742172241211
2021-01-07,54.82957458496094
2021-01-08,55.17012405395508
2021-01-11,55.70528793334961
2021-01-12,57.31076431274414
2021-01-13,56.28908920288086
2021-01-14,56.72695541381836
2021-01-15,55.1214714050293
2021-01-19,55.60798263549805
2021-01-20,55.41337203979492
2021-01-21,53.85654830932617
2021-01-22,54.05116271972656
2021-01-25,53.46733856201172
2021-01-26,54.92687225341797
2021-01-27,55.36472702026367
2021-01-28,53.9538459777832
2021-01-29,51.959163665771484
2021-02-01,52.25107192993164
2021-02-02,54.68360900878906
2021-02-03,54.4890022277832
2021-02-04,55.70528793334961
2021-02-05,55.46202850341797
2021-02-08,56.483707427978516
2021-02-09,56.14313888549805
2021-02-10,55.46202850341797
2021-02-11,55.753936767578125
2021-02-12,57.067508697509766
2021-02-16,58.235137939453125
2021-02-17,57.69996643066406
2021-02-18,56.58100128173828
2021-02-19,58.47838592529297
2021-02-22,60.813629150390625
2021-02-23,61.251487731933594
2021-02-24,63.82998275756836
2021-02-25,62.078556060791016
2021-02-26,61.00823211669922
2021-03-01,63.781333923339844
2021-03-02,63.14886474609375
2021-03-03,65.38681030273438
2021-03-04,66.01927947998047
2021-03-05,66.21401977539062
2021-03-08,68.98918914794922
2021-03-09,68.16148376464844
2021-03-10,64.50997924804688
2021-03-11,59.73868179321289
2021-03-12,61.24797058105469
2021-03-15,64.9968490600586
2021-03-16,64.02312469482422
2021-03-17,66.26270294189453
2021-03-18,64.50997924804688
2021-03-19,64.36392211914062
2021-03-22,63.925743103027344
2021-03-23,61.63747024536133
2021-03-24,60.858482360839844
2021-03-25,62.56251525878906
2021-03-26,63.2441291809082
2021-03-29,63.04938507080078
2021-03-30,64.75341796875
2021-03-31,63.925743103027344
2021-04-01,64.65603637695312
2021-04-05,65.53240203857422
2021-04-06,65.24028015136719
2021-04-07,65.19160461425781
2021-04-08,65.48371887207031
2021-04-09,66.21401977539062
2021-04-12,66.16533660888672
2021-04-13,65.43504333496094
2021-04-14,66.60350036621094
2021-04-15,65.9705810546875
2021-04-16,65.19160461425781
2021-04-19,65.53240203857422
2021-04-20,63.5849494934082
2021-04-21,64.9968490600586
2021-04-22,65.2889633178711
2021-04-23,65.9705810546875
2021-04-26,66.0679702758789
2021-04-27,65.678466796875
2021-04-28,64.26652526855469
2021-04-29,64.31522369384766
2021-04-30,63.87705612182617
2021-05-03,65.48371887207031
2021-05-04,63.87705612182617
2021-05-05,64.31522369384766
2021-05-06,64.31522369384766
2021-05-07,64.75341796875
2021-05-10,64.9968490600586
2021-05-11,63.730987548828125
2021-05-12,62.41645050048828
2021-05-13,63.14674758911133
2021-05-14,64.55867004394531
2021-05-17,64.02312469482422
2021-05-18,63.14674758911133
2021-05-19,63.730987548828125
2021-05-20,63.5849494934082
2021-05-21,64.41260528564453
2021-05-24,64.1691665649414
2021-05-25,63.87705612182617
2021-05-26,65.24028015136719
2021-05-27,69.86552429199219
2021-05-28,68.45362091064453
2021-06-01,68.89179229736328
2021-06-02,68.59968566894531
2021-06-03,68.59968566894531
2021-06-04,67.96675109863281
2021-06-07,67.72330474853516
2021-06-08,67.67462921142578
2021-06-09,66.84695434570312
2021-06-10,66.36009216308594
2021-06-11,66.6521987915039
2021-06-14,65.58110046386719
2021-06-15,65.92192077636719
2021-06-16,65.43504333496094
2021-06-17,63.292816162109375
2021-06-18,62.221702575683594
2021-06-21,64.21784973144531
2021-06-22,63.43886947631836
2021-06-23,63.04938507080078
2021-06-24,64.02312469482422
2021-06-25,64.1205825805664
2021-06-28,62.80502700805664
2021-06-29,63.77951431274414
2021-06-30,65.58226776123047
2021-07-01,65.67972564697266
2021-07-02,65.09503173828125
2021-07-06,62.95117950439453
2021-07-07,63.24353790283203
2021-07-08,62.70757293701172
2021-07-09,64.1205825805664
2021-07-12,63.876949310302734
2021-07-13,62.80502700805664
2021-07-14,62.41523361206055
2021-07-15,62.171600341796875
2021-07-16,61.14841079711914
2021-07-19,58.468597412109375
2021-07-20,61.879268646240234
2021-07-21,63.73076629638672
2021-07-22,61.879268646240234
2021-07-23,61.927978515625
2021-07-26,62.95117950439453
2021-07-27,63.73076629638672
2021-07-28,63.97439193725586
2021-07-29,64.75396728515625
2021-07-30,63.09736251831055
2021-08-02,61.27021408081055
2021-08-03,62.76847839355469
2021-08-04,62.677120208740234
2021-08-05,62.744117736816406
2021-08-06,63.65768051147461
2021-08-09,63.164344787597656
2021-08-10,64.6077880859375
2021-08-11,64.58343505859375
2021-08-12,64.87577819824219
2021-08-13,63.901302337646484
2021-08-16,62.945106506347656
2021-08-17,61.89143753051758
2021-08-18,61.763545989990234
2021-08-19,60.55154037475586
2021-08-20,60.93524169921875
2021-08-23,61.495574951171875
2021-08-24,62.89636993408203
2021-08-25,63.76731491088867
2021-08-26,62.96337127685547
2021-08-27,64.6138916015625
2021-08-30,64.06573486328125
2021-08-31,64.19973754882812
2021-09-01,63.133907318115234
2021-09-02,64.71742248535156
2021-09-03,63.797786712646484
2021-09-07,62.90855026245117
2021-09-08,62.476131439208984
2021-09-09,62.90855026245117
2021-09-10,62.12287902832031
2021-09-13,63.62113571166992
2021-09-14,61.13623046875
2021-09-15,62.2203369140625
2021-09-16,61.72091293334961
2021-09-17,61.19104766845703
2021-09-20,60.78907012939453
2021-09-21,58.968017578125
2021-09-22,60.01557922363281
2021-09-23,62.70757293701172
2021-09-24,63.26834487915039
2021-09-27,64.21308898925781
2021-09-28,64.44471740722656
2021-09-29,64.77994537353516
2021-09-30,62.79899978637695
2021-10-01,64.49954986572266
2021-10-04,63.93880081176758
2021-10-05,63.93880081176758
2021-10-06,63.59138107299805
2021-10-07,64.31060028076172
2021-10-08,63.82910919189453
2021-10-11,63.439002990722656
2021-10-12,62.61004638671875
2021-10-13,62.39061737060547
2021-10-14,62.62223434448242
2021-10-15,63.640132904052734
2021-10-18,63.46338653564453
2021-10-19,63.83518981933594
2021-10-20,64.6092758178711
2021-10-21,62.87213897705078
2021-10-22,63.42072296142578
2021-10-25,64.18260192871094
2021-10-26,65.48699188232422
2021-10-27,63.29882049560547
2021-10-28,64.15823364257812
2021-10-29,63.92051696777344
2021-11-01,64.74948120117188
2021-11-02,65.02983856201172
2021-11-03,64.59100341796875
2021-11-04,64.12776184082031
2021-11-05,66.27935791015625
2021-11-08,66.08430480957031
2021-11-09,67.83367156982422
2021-11-10,66.41345977783203
2021-11-11,65.21878051757812
2021-11-12,65.57840728759766
2021-11-15,65.01765441894531
2021-11-16,62.99404525756836
2021-11-17,62.16509246826172
2021-11-18,61.36053466796875
2021-11-19,60.927764892578125
2021-11-22,61.5860481262207
2021-11-23,62.21995162963867
2021-11-24,62.31138610839844
2021-11-26,59.63558578491211
2021-11-29,59.9769172668457
2021-11-30,57.8984489440918
2021-12-01,56.68549728393555
2021-12-02,58.044734954833984
2021-12-03,56.54530715942383
2021-12-06,58.52015686035156
