Date,ETN
2020-11-10,104.9344711303711
2020-11-11,104.21275329589844
2020-11-12,103.52751922607422
2020-11-13,104.55989074707031
2020-11-16,107.34634399414062
2020-11-17,106.03990173339844
2020-11-18,106.66114807128906
2020-11-19,107.91275024414062
2020-11-20,107.25497436523438
2020-11-23,109.86783599853516
2020-11-24,112.59945678710938
2020-11-25,111.63105010986328
2020-11-27,111.36610412597656
2020-11-30,110.64436340332031
2020-12-01,110.2697982788086
2020-12-02,108.64360809326172
2020-12-03,106.64286804199219
2020-12-04,108.55225372314453
2020-12-07,107.25497436523438
2020-12-08,107.67523193359375
2020-12-09,107.7026138305664
2020-12-10,105.19940948486328
2020-12-11,105.61052703857422
2020-12-14,104.00260162353516
2020-12-15,106.46929168701172
2020-12-16,105.40039825439453
2020-12-17,105.32731628417969
2020-12-18,106.04903411865234
2020-12-21,106.87126922607422
2020-12-22,106.53324890136719
2020-12-23,106.90779876708984
2020-12-24,107.86707305908203
2020-12-28,107.54732513427734
2020-12-29,107.03570556640625
2020-12-30,108.99079895019531
2020-12-31,109.75819396972656
2021-01-04,108.48831939697266
2021-01-05,109.63945770263672
2021-01-06,115.5229263305664
2021-01-07,117.9347915649414
2021-01-08,115.915771484375
2021-01-11,115.98885345458984
2021-01-12,117.24960327148438
2021-01-13,114.57279968261719
2021-01-14,113.85106658935547
2021-01-15,112.52635955810547
2021-01-19,114.65502166748047
2021-01-20,115.09355163574219
2021-01-21,114.31698608398438
2021-01-22,113.67749786376953
2021-01-25,111.29300689697266
2021-01-26,110.30633544921875
2021-01-27,104.9344711303711
2021-01-28,108.06804656982422
2021-01-29,107.5290298461914
2021-02-01,111.03721618652344
2021-02-02,110.03228759765625
2021-02-03,109.21005249023438
2021-02-04,110.1236343383789
2021-02-05,111.40265655517578
2021-02-08,109.83128356933594
2021-02-09,109.4749755859375
2021-02-10,111.23822021484375
2021-02-11,112.85523223876953
2021-02-12,113.26637268066406
2021-02-16,114.19822692871094
2021-02-17,114.22563171386719
2021-02-18,114.3718032836914
2021-02-19,116.75629425048828
2021-02-22,119.54269409179688
2021-02-23,119.55183410644531
2021-02-24,121.21456146240234
2021-02-25,118.91233825683594
2021-02-26,118.9397201538086
2021-03-01,122.63978576660156
2021-03-02,122.39308166503906
2021-03-03,123.81828308105469
2021-03-04,122.83160400390625
2021-03-05,125.51754760742188
2021-03-08,127.39039611816406
2021-03-09,124.47606658935547
2021-03-10,127.21685791015625
2021-03-11,127.18029022216797
2021-03-12,128.60546875
2021-03-15,128.1829376220703
2021-03-16,125.68450164794922
2021-03-17,126.7592544555664
2021-03-18,125.80390930175781
2021-03-19,122.4052963256836
2021-03-22,123.8749771118164
2021-03-23,122.10218811035156
2021-03-24,123.49835968017578
2021-03-25,124.75678253173828
2021-03-26,127.39300537109375
2021-03-29,127.264404296875
2021-03-30,128.2840118408203
2021-03-31,127.01641082763672
2021-04-01,128.1278533935547
2021-04-05,130.76405334472656
2021-04-06,129.6250457763672
2021-04-07,128.9453125
2021-04-08,128.5044403076172
2021-04-09,129.0096435546875
2021-04-12,129.7812042236328
2021-04-13,128.41259765625
2021-04-14,128.81675720214844
2021-04-15,129.3311767578125
2021-04-16,129.6526336669922
2021-04-19,129.31275939941406
2021-04-20,127.18171691894531
2021-04-21,129.9832763671875
2021-04-22,129.88226318359375
2021-04-23,131.32435607910156
2021-04-26,131.69178771972656
2021-04-27,132.8124237060547
2021-04-28,132.75729370117188
2021-04-29,133.20736694335938
2021-04-30,131.28762817382812
2021-05-03,132.60113525390625
2021-05-04,132.88589477539062
2021-05-05,133.6299285888672
2021-05-06,134.51171875
2021-05-07,135.50372314453125
2021-05-10,135.4119110107422
2021-05-11,133.88710021972656
2021-05-12,131.98573303222656
2021-05-13,134.63597106933594
2021-05-14,136.8153076171875
2021-05-17,136.14117431640625
2021-05-18,133.2785186767578
2021-05-19,131.82870483398438
2021-05-20,132.6321258544922
2021-05-21,132.4474334716797
2021-05-24,132.64134216308594
2021-05-25,131.87490844726562
2021-05-26,132.03189086914062
2021-05-27,133.51861572265625
2021-05-28,134.12808227539062
2021-06-01,135.08843994140625
2021-06-02,134.79290771484375
2021-06-03,135.20848083496094
2021-06-04,137.13845825195312
2021-06-07,135.60557556152344
2021-06-08,135.85488891601562
2021-06-09,135.19924926757812
2021-06-10,135.5778045654297
2021-06-11,135.40243530273438
2021-06-14,134.82066345214844
2021-06-15,136.5289764404297
2021-06-16,135.16233825683594
2021-06-17,131.69944763183594
2021-06-18,128.59671020507812
2021-06-21,132.0872802734375
2021-06-22,131.8933868408203
2021-06-23,133.35238647460938
2021-06-24,134.49745178222656
2021-06-25,135.45782470703125
2021-06-28,135.28231811523438
2021-06-29,135.2731170654297
2021-06-30,136.8336944580078
2021-07-01,138.67132568359375
2021-07-02,139.80715942382812
2021-07-06,138.23731994628906
2021-07-07,140.52743530273438
2021-07-08,139.0407257080078
2021-07-09,141.80177307128906
2021-07-12,143.1961669921875
2021-07-13,142.2449493408203
2021-07-14,141.65402221679688
2021-07-15,142.08802795410156
2021-07-16,141.04454040527344
2021-07-19,137.76638793945312
2021-07-20,142.29119873046875
2021-07-21,143.7132568359375
2021-07-22,144.10108947753906
2021-07-23,144.7290496826172
2021-07-26,144.08261108398438
2021-07-27,144.1842041015625
2021-07-28,143.55628967285156
2021-07-29,145.63397216796875
2021-07-30,145.9479522705078
2021-08-02,144.50743103027344
2021-08-03,150.34347534179688
2021-08-04,149.43850708007812
2021-08-05,149.52162170410156
2021-08-06,150.41734313964844
2021-08-09,150.7866973876953
2021-08-10,154.53585815429688
2021-08-11,154.12954711914062
2021-08-12,155.0757293701172
2021-08-13,155.49317932128906
2021-08-16,156.31881713867188
2021-08-17,154.82530212402344
2021-08-18,154.39859008789062
2021-08-19,154.8623809814453
2021-08-20,155.34475708007812
2021-08-23,156.62498474121094
2021-08-24,157.1351318359375
2021-08-25,157.89581298828125
2021-08-26,157.10731506347656
2021-08-27,157.7288360595703
2021-08-30,157.89581298828125
2021-08-31,156.1796875
2021-09-01,154.68614196777344
2021-09-02,155.96627807617188
2021-09-03,154.3428955078125
2021-09-07,151.85679626464844
2021-09-08,151.54141235351562
2021-09-09,149.84376525878906
2021-09-10,148.78628540039062
2021-09-13,146.81967163085938
2021-09-14,144.99215698242188
2021-09-15,148.93467712402344
2021-09-16,147.7658233642578
2021-09-17,146.13319396972656
2021-09-20,145.1776885986328
2021-09-21,143.40585327148438
2021-09-22,145.1127471923828
2021-09-23,146.5691680908203
2021-09-24,144.72312927246094
2021-09-27,143.9253387451172
2021-09-28,142.8492889404297
2021-09-29,142.36688232421875
2021-09-30,138.50784301757812
2021-10-01,139.75094604492188
2021-10-04,137.62660217285156
2021-10-05,140.31678771972656
2021-10-06,140.7249755859375
2021-10-07,142.78433227539062
2021-10-08,142.45040893554688
2021-10-11,141.5227508544922
2021-10-12,140.6507568359375
2021-10-13,142.29269409179688
2021-10-14,148.0255889892578
2021-10-15,149.76959228515625
2021-10-18,149.6026153564453
2021-10-19,149.7974090576172
2021-10-20,151.39297485351562
2021-10-21,150.39109802246094
2021-10-22,150.63230895996094
2021-10-25,150.7528839111328
2021-10-26,149.66754150390625
2021-10-27,148.53579711914062
2021-10-28,153.02565002441406
2021-10-29,152.84010314941406
