Date,PLD
2000-08-07,9.14963150024414
2000-08-08,9.17364501953125
2000-08-09,9.14963150024414
2000-08-10,9.221675872802734
2000-08-11,9.269706726074219
2000-08-14,9.317733764648438
2000-08-15,9.317733764648438
2000-08-16,9.365762710571289
2000-08-17,9.341753005981445
2000-08-18,9.317733764648438
2000-08-21,9.341753005981445
2000-08-22,9.317733764648438
2000-08-23,9.365762710571289
2000-08-24,9.293716430664062
2000-08-25,9.389777183532715
2000-08-28,9.317733764648438
2000-08-29,9.341753005981445
2000-08-30,9.365762710571289
2000-08-31,9.293716430664062
2000-09-01,9.317733764648438
2000-09-05,9.317733764648438
2000-09-06,9.341753005981445
2000-09-07,9.365762710571289
2000-09-08,9.365762710571289
2000-09-11,9.509852409362793
2000-09-12,9.557880401611328
2000-09-13,9.581897735595703
2000-09-14,9.581897735595703
2000-09-15,9.569890022277832
2000-09-18,9.509852409362793
2000-09-19,9.413793563842773
2000-09-20,9.365762710571289
2000-09-21,9.413793563842773
2000-09-22,9.365762710571289
2000-09-25,9.413793563842773
2000-09-26,9.341753005981445
2000-09-27,9.389777183532715
2000-09-28,9.509852409362793
2000-09-29,9.4378080368042
2000-10-02,9.362709045410156
2000-10-03,9.387092590332031
2000-10-04,9.313945770263672
2000-10-05,9.21641731262207
2000-10-06,9.240797996520996
2000-10-09,9.240797996520996
2000-10-10,9.338327407836914
2000-10-11,9.338327407836914
2000-10-12,9.118889808654785
2000-10-13,9.167654991149902
2000-10-16,9.192038536071777
2000-10-17,9.28956413269043
2000-10-18,9.167654991149902
2000-10-19,9.118889808654785
2000-10-20,9.167654991149902
2000-10-23,9.118889808654785
2000-10-24,9.094512939453125
2000-10-25,9.070123672485352
2000-10-26,9.094512939453125
2000-10-27,9.118889808654785
2000-10-30,9.118889808654785
2000-10-31,9.167654991149902
2000-11-01,9.167654991149902
