Date,GL
2000-07-24,8.55569839477539
2000-07-25,8.773955345153809
2000-07-26,8.926733016967773
2000-07-27,9.0140380859375
2000-07-28,8.75212574005127
2000-07-31,8.686651229858398
2000-08-01,9.035866737365723
2000-08-02,8.90491008758545
2000-08-03,8.686651229858398
2000-08-04,9.297774314880371
2000-08-07,9.210465431213379
2000-08-08,9.406899452209473
2000-08-09,9.101340293884277
2000-08-10,8.992210388183594
2000-08-11,9.472376823425293
2000-08-14,9.887073516845703
2000-08-15,9.799764633178711
2000-08-16,9.450555801391602
2000-08-17,9.406899452209473
2000-08-18,9.428728103637695
2000-08-21,9.581504821777344
2000-08-22,9.668811798095703
2000-08-23,9.6033296585083
2000-08-24,9.450555801391602
2000-08-25,9.406899452209473
2000-08-28,9.363251686096191
2000-08-29,9.385078430175781
2000-08-30,9.668811798095703
2000-08-31,9.805220603942871
2000-09-01,9.6033296585083
2000-09-05,9.6033296585083
2000-09-06,9.799764633178711
2000-09-07,9.668811798095703
2000-09-08,10.018020629882812
2000-09-11,9.952544212341309
2000-09-12,9.974371910095215
2000-09-13,10.258108139038086
2000-09-14,10.039849281311035
2000-09-15,9.799764633178711
2000-09-18,9.450555801391602
2000-09-19,9.625161170959473
2000-09-20,9.6033296585083
2000-09-21,9.537856101989746
2000-09-22,9.777938842773438
2000-09-25,9.646982192993164
2000-09-26,9.69063663482666
2000-09-27,9.908893585205078
2000-09-28,10.018020629882812
2000-09-29,9.712465286254883
2000-10-02,10.345403671264648
2000-10-03,9.996196746826172
2000-10-04,9.974371910095215
2000-10-05,10.083499908447266
2000-10-06,10.005553245544434
2000-10-09,9.874190330505371
2000-10-10,9.917988777160645
2000-10-11,9.939874649047852
2000-10-12,9.501995086669922
2000-10-13,9.852300643920898
2000-10-16,10.005553245544434
2000-10-17,9.830406188964844
2000-10-18,9.699044227600098
2000-10-19,10.071242332458496
2000-10-20,10.180709838867188
2000-10-23,9.961773872375488
2000-10-24,10.574803352355957
2000-10-25,11.034571647644043
2000-10-26,11.034571647644043
2000-10-27,11.034571647644043
2000-10-30,11.84465217590332
2000-10-31,11.66950511932373
2000-11-01,11.84465217590332
2000-11-02,11.888442993164062
2000-11-03,11.494348526000977
2000-11-06,11.450562477111816
2000-11-07,11.494348526000977
2000-11-08,11.560029983520508
2000-11-09,11.997913360595703
2000-11-10,11.888442993164062
2000-11-13,11.757076263427734
2000-11-14,11.997913360595703
2000-11-15,11.976021766662598
2000-11-16,12.720417976379395
2000-11-17,13.486701965332031
2000-11-20,13.11450481414795
2000-11-21,13.180183410644531
2000-11-22,12.807995796203613
2000-11-24,12.983139038085938
2000-11-27,13.048819541931152
2000-11-28,13.005033493041992
2000-11-29,13.158294677734375
2000-11-30,13.31155014038086
2000-12-01,13.31155014038086
2000-12-04,13.399125099182129
2000-12-05,13.596177101135254
2000-12-06,13.749431610107422
2000-12-07,14.077842712402344
2000-12-08,14.274889945983887
2000-12-11,14.31867790222168
2000-12-12,14.099740028381348
2000-12-13,13.946473121643066
2000-12-14,13.464811325073242
2000-12-15,13.333451271057129
2000-12-18,13.705642700195312
2000-12-19,13.267763137817383
2000-12-20,13.092619895935059
2000-12-21,13.464811325073242
2000-12-22,13.31155014038086
2000-12-26,13.048819541931152
2000-12-27,13.048819541931152
2000-12-28,13.486701965332031
2000-12-29,13.464811325073242
2001-01-02,12.873676300048828
2001-01-03,13.180183410644531
2001-01-04,12.238747596740723
2001-01-05,11.941095352172852
2001-01-08,12.11669921875
2001-01-09,12.248404502868652
2001-01-10,12.358155250549316
2001-01-11,11.897194862365723
2001-01-12,11.721590042114258
2001-01-16,11.984994888305664
2001-01-17,11.941095352172852
2001-01-18,11.897194862365723
2001-01-19,11.677687644958496
2001-01-22,12.028900146484375
2001-01-23,12.248404502868652
2001-01-24,12.467904090881348
2001-01-25,12.489860534667969
2001-01-26,12.555710792541504
2001-01-29,12.415226936340332
2001-01-30,12.488984107971191
2001-01-31,12.183430671691895
2001-02-01,12.081582069396973
2001-02-02,12.186938285827637
2001-02-05,12.316886901855469
2001-02-06,11.863829612731934
2001-02-07,12.01836109161377
2001-02-08,12.01836109161377
2001-02-09,11.93758773803711
2001-02-12,12.450345993041992
2001-02-13,12.457368850708008
2001-02-14,12.352008819580078
2001-02-15,12.11669921875
2001-02-16,12.292304992675781
2001-02-20,11.96919059753418
2001-02-21,11.839244842529297
2001-02-22,11.891924858093262
2001-02-23,11.818177223205566
2001-02-26,12.056994438171387
2001-02-27,12.496006965637207
2001-02-28,12.215038299560547
2001-03-01,12.457368850708008
2001-03-02,12.74184799194336
2001-03-05,12.710246086120605
2001-03-06,12.791020393371582
2001-03-07,12.755897521972656
2001-03-08,12.74887466430664
2001-03-09,12.713757514953613
2001-03-12,12.636490821838379
2001-03-13,12.632974624633789
2001-03-14,12.432787895202637
2001-03-15,12.625951766967773
2001-03-16,12.503030776977539
2001-03-19,12.597855567932129
2001-03-20,12.552196502685547
2001-03-21,12.576784133911133
2001-03-22,12.513566970825195
2001-03-23,12.671611785888672
2001-03-26,12.910429954528809
2001-03-27,13.117650985717773
2001-03-28,13.166815757751465
2001-03-29,13.293243408203125
2001-03-30,13.637432098388672
2001-04-02,13.616364479064941
2001-04-03,13.215984344482422
2001-04-04,13.377923965454102
2001-04-05,13.701810836791992
2001-04-06,13.360321998596191
2001-04-09,13.448335647583008
2001-04-10,13.66659927368164
2001-04-11,13.476496696472168
2001-04-12,13.5645112991333
2001-04-16,13.613800048828125
2001-04-17,14.06442928314209
2001-04-18,14.032740592956543
2001-04-19,13.237105369567871
2001-04-20,13.152616500854492
2001-04-23,12.966029167175293
2001-04-24,12.97658634185791
2001-04-25,13.303997039794922
2001-04-26,13.370887756347656
2001-04-27,13.448335647583008
2001-04-30,13.339200019836426
2001-05-01,13.395523071289062
2001-05-02,13.127967834472656
2001-05-03,13.022358894348145
2001-05-04,13.103326797485352
2001-05-07,12.980114936828613
2001-05-08,13.071643829345703
2001-05-09,12.962508201599121
2001-05-10,13.004752159118652
2001-05-11,12.980114936828613
2001-05-14,12.874490737915039
2001-05-15,13.075164794921875
2001-05-16,13.061083793640137
2001-05-17,12.994193077087402
2001-05-18,12.94138240814209
2001-05-21,13.135011672973633
2001-05-22,13.18078327178955
2001-05-23,13.1244535446167
2001-05-24,13.215982437133789
2001-05-25,13.201900482177734
2001-05-29,13.377923965454102
2001-05-30,13.289911270141602
2001-05-31,13.34975814819336
2001-06-01,13.342720031738281
2001-06-04,13.472982406616211
2001-06-05,13.62436580657959
2001-06-06,13.560994148254395
2001-06-07,13.57155704498291
2001-06-08,13.596198081970215
2001-06-11,13.57155704498291
2001-06-12,13.592677116394043
2001-06-13,13.58916187286377
2001-06-14,13.553954124450684
2001-06-15,13.568028450012207
2001-06-18,13.701810836791992
2001-06-19,13.807432174682617
2001-06-20,13.916561126708984
2001-06-21,14.071463584899902
2001-06-22,13.856718063354492
2001-06-25,13.817986488342285
2001-06-26,13.95881175994873
2001-06-27,14.046829223632812
2001-06-28,14.092597007751465
2001-06-29,14.155961036682129
2001-07-02,14.32142162322998
2001-07-03,14.300246238708496
2001-07-05,14.3425931930542
2001-07-06,14.113263130187988
2001-07-09,14.197935104370117
2001-07-10,14.116778373718262
2001-07-11,14.109724998474121
2001-07-12,14.264963150024414
2001-07-13,14.434329986572266
2001-07-16,14.483728408813477
2001-07-17,14.434329986572266
2001-07-18,14.459031105041504
2001-07-19,14.427279472351074
2001-07-20,14.14853572845459
2001-07-23,13.979179382324219
2001-07-24,14.032100677490234
2001-07-25,14.194406509399414
2001-07-26,14.243796348571777
2001-07-27,14.30378246307373
2001-07-30,14.296720504760742
2001-07-31,14.646028518676758
2001-08-01,14.681313514709473
2001-08-02,14.617806434631348
2001-08-03,14.564873695373535
2001-08-06,14.391983032226562
2001-08-07,14.497841835021973
2001-08-08,14.628388404846191
2001-08-09,14.557821273803711
2001-08-10,14.720120429992676
2001-08-13,14.822439193725586
2001-08-14,14.850671768188477
2001-08-15,14.95651626586914
2001-08-16,15.0411958694458
2001-08-17,14.995331764221191
2001-08-20,15.0411958694458
2001-08-21,15.083535194396973
2001-08-22,14.960049629211426
2001-08-23,15.044726371765137
2001-08-24,15.189393997192383
2001-08-27,14.95651626586914
2001-08-28,14.861254692077637
2001-08-29,14.783632278442383
2001-08-30,14.949464797973633
2001-08-31,14.903596878051758
2001-09-04,14.776567459106445
2001-09-05,14.617806434631348
2001-09-06,14.356704711914062
2001-09-07,13.926253318786621
2001-09-10,14.088555335998535
2001-09-17,13.478157043457031
2001-09-18,13.277045249938965
2001-09-19,12.903036117553711
2001-09-20,12.596081733703613
2001-09-21,12.56079387664795
2001-09-24,13.146490097045898
2001-09-25,13.185304641723633
2001-09-26,13.192363739013672
2001-09-27,13.44992733001709
2001-09-28,13.76042366027832
2001-10-01,13.643986701965332
2001-10-02,13.890974044799805
2001-10-03,14.10994815826416
2001-10-04,14.085223197937012
2001-10-05,13.845053672790527
2001-10-08,13.45654296875
2001-10-09,13.615487098693848
2001-10-10,13.87684440612793
2001-10-11,13.785017013549805
2001-10-12,13.7496919631958
2001-10-15,13.760290145874023
2001-10-16,13.820327758789062
2001-10-17,13.703779220581055
2001-10-18,13.50952434539795
2001-10-19,13.470671653747559
2001-10-22,13.813267707824707
2001-10-23,13.597817420959473
2001-10-24,13.085698127746582
2001-10-25,13.332928657531738
2001-10-26,13.527179718017578
2001-10-29,13.347051620483398
2001-10-30,13.223437309265137
2001-10-31,13.078628540039062
2001-11-01,13.308204650878906
2001-11-02,13.622547149658203
2001-11-05,13.936882019042969
2001-11-06,13.989867210388184
2001-11-07,13.890972137451172
2001-11-08,13.958069801330566
2001-11-09,13.785017013549805
2001-11-12,13.770882606506348
2001-11-13,13.958069801330566
2001-11-14,13.940417289733887
2001-11-15,13.936882019042969
2001-11-16,13.919225692749023
2001-11-19,13.968667030334473
2001-11-20,13.986333847045898
2001-11-21,13.880373001098633
2001-11-23,13.961607933044434
2001-11-26,13.919225692749023
2001-11-27,13.922752380371094
2001-11-28,13.901565551757812
2001-11-29,14.02871322631836
2001-11-30,13.933357238769531
2001-12-03,13.845053672790527
2001-12-04,13.919225692749023
2001-12-05,13.83446216583252
2001-12-06,13.703779220581055
2001-12-07,13.809731483459473
2001-12-10,13.534244537353516
2001-12-11,13.516581535339355
2001-12-12,13.555439949035645
2001-12-13,13.491866111755371
2001-12-14,13.541308403015137
2001-12-17,13.590758323669434
2001-12-18,13.696715354919434
2001-12-19,13.721437454223633
2001-12-20,13.816800117492676
2001-12-21,13.735563278198242
2001-12-24,13.714373588562012
2001-12-26,13.689645767211914
2001-12-27,13.661396026611328
