Date,RL
2013-01-22,129.70303344726562
2013-01-23,128.8164825439453
2013-01-24,129.7501220703125
2013-01-25,133.43753051757812
2013-01-28,132.4568328857422
2013-01-29,131.7664794921875
2013-01-30,131.3506622314453
2013-01-31,130.6130828857422
2013-02-01,126.73738861083984
2013-02-04,127.39640045166016
2013-02-05,129.38136291503906
2013-02-06,137.00730895996094
2013-02-07,139.69830322265625
2013-02-08,139.30596923828125
2013-02-11,138.87448120117188
2013-02-12,138.701904296875
2013-02-13,137.7917938232422
2013-02-14,137.187744140625
2013-02-15,138.13705444335938
2013-02-19,138.89804077148438
2013-02-20,136.1285400390625
2013-02-21,133.8611602783203
2013-02-22,134.2534942626953
2013-02-25,132.49603271484375
2013-02-26,133.46888732910156
2013-02-27,135.97164916992188
2013-02-28,136.09713745117188
2013-03-01,136.6463623046875
2013-03-04,136.82675170898438
2013-03-05,138.93728637695312
2013-03-06,139.19618225097656
2013-03-07,139.0078582763672
2013-03-08,139.2275390625
2013-03-11,138.47445678710938
2013-03-12,136.83462524414062
2013-03-13,135.75201416015625
2013-03-14,135.85397338867188
2013-03-15,134.39471435546875
2013-03-18,132.76283264160156
2013-03-19,131.17800903320312
2013-03-20,133.77484130859375
2013-03-21,132.2685546875
2013-03-22,132.12730407714844
2013-03-25,131.36630249023438
2013-03-26,131.7831268310547
2013-03-27,133.4661102294922
2013-03-28,133.15150451660156
2013-04-01,131.13821411132812
2013-04-02,132.06625366210938
2013-04-03,132.6953887939453
2013-04-04,133.39527893066406
2013-04-05,132.6953887939453
2013-04-08,133.37957763671875
2013-04-09,133.7570343017578
2013-04-10,135.73887634277344
2013-04-11,137.61842346191406
2013-04-12,136.85568237304688
2013-04-15,134.36264038085938
2013-04-16,134.7007598876953
2013-04-17,132.56954956054688
2013-04-18,131.6100616455078
2013-04-19,133.0178680419922
2013-04-22,130.4933624267578
2013-04-23,134.28395080566406
2013-04-24,134.82666015625
2013-04-25,137.92520141601562
2013-04-26,138.0982208251953
2013-04-29,139.19920349121094
2013-04-30,142.80108642578125
2013-05-01,140.4339141845703
2013-05-02,139.6238250732422
2013-05-03,140.9765625
2013-05-06,142.28199768066406
2013-05-07,145.4985809326172
2013-05-08,145.7816925048828
2013-05-09,144.4053955078125
2013-05-10,145.49073791503906
2013-05-13,144.53909301757812
2013-05-14,146.709716796875
2013-05-15,146.83554077148438
2013-05-16,145.33340454101562
2013-05-17,147.07142639160156
2013-05-20,146.81192016601562
2013-05-21,149.0768585205078
2013-05-22,147.8971710205078
2013-05-23,144.46044921875
2013-05-24,142.32138061523438
2013-05-28,140.3552703857422
2013-05-29,139.4586944580078
2013-05-30,138.0746612548828
2013-05-31,137.69711303710938
2013-06-03,138.13751220703125
2013-06-04,138.66439819335938
2013-06-05,136.6354217529297
2013-06-06,137.30389404296875
2013-06-07,138.36558532714844
2013-06-10,138.2554931640625
2013-06-11,136.6668701171875
2013-06-12,135.62881469726562
2013-06-13,137.17808532714844
2013-06-14,136.1714324951172
2013-06-17,138.49143981933594
2013-06-18,140.69338989257812
2013-06-19,139.83619689941406
2013-06-20,133.9536895751953
2013-06-21,132.97854614257812
2013-06-24,132.57740783691406
2013-06-25,133.89865112304688
2013-06-26,134.3006591796875
2013-06-27,137.2083740234375
2013-06-28,137.27947998046875
2013-07-01,137.4375457763672
2013-07-02,136.43402099609375
2013-07-03,136.52882385253906
2013-07-05,137.50865173339844
2013-07-08,139.03359985351562
2013-07-09,140.3531036376953
2013-07-10,142.2415771484375
2013-07-11,144.78585815429688
2013-07-12,144.1221160888672
2013-07-15,143.60853576660156
2013-07-16,142.35220336914062
2013-07-17,141.0642852783203
2013-07-18,142.20999145507812
2013-07-19,141.6094970703125
2013-07-22,142.61297607421875
2013-07-23,142.33639526367188
2013-07-24,141.53839111328125
2013-07-25,141.64105224609375
2013-07-26,143.0001220703125
2013-07-29,142.45494079589844
2013-07-30,143.5216522216797
2013-07-31,143.85348510742188
2013-08-01,147.74891662597656
2013-08-02,148.57058715820312
2013-08-05,148.78396606445312
2013-08-06,149.7400665283203
2013-08-07,136.79751586914062
2013-08-08,140.40843200683594
2013-08-09,141.39608764648438
2013-08-12,140.70875549316406
2013-08-13,141.0642852783203
2013-08-14,139.66567993164062
2013-08-15,137.83262634277344
2013-08-16,135.96791076660156
2013-08-19,134.50608825683594
2013-08-20,135.8809356689453
2013-08-21,135.79403686523438
2013-08-22,136.18917846679688
2013-08-23,135.62811279296875
2013-08-26,134.4903106689453
2013-08-27,130.98997497558594
2013-08-28,130.8081817626953
2013-08-29,131.27442932128906
2013-08-30,130.69757080078125
2013-09-03,132.0487060546875
2013-09-04,131.69314575195312
2013-09-05,131.16380310058594
2013-09-06,130.515869140625
2013-09-09,130.95835876464844
2013-09-10,128.82493591308594
2013-09-11,129.50448608398438
2013-09-12,128.84072875976562
2013-09-13,131.4403839111328
2013-09-16,132.11988830566406
2013-09-17,131.7010955810547
2013-09-18,132.83888244628906
2013-09-19,132.98898315429688
2013-09-20,132.21470642089844
2013-09-23,130.37364196777344
2013-09-24,130.515869140625
2013-09-25,129.1060333251953
2013-09-26,131.10992431640625
2013-09-27,131.18911743164062
2013-09-30,130.4762725830078
2013-10-01,130.63467407226562
2013-10-02,129.90599060058594
2013-10-03,130.27825927734375
2013-10-04,132.0287322998047
2013-10-07,130.1752166748047
2013-10-08,127.60106658935547
2013-10-09,128.6307830810547
2013-10-10,129.6129608154297
2013-10-11,127.79113006591797
2013-10-14,127.60106658935547
2013-10-15,125.72388458251953
2013-10-16,125.68428039550781
2013-10-17,128.06045532226562
2013-10-18,129.81887817382812
2013-10-21,129.58912658691406
2013-10-22,131.90194702148438
2013-10-23,130.06442260742188
2013-10-24,130.45254516601562
2013-10-25,130.32579040527344
2013-10-28,130.72976684570312
2013-10-29,131.17323303222656
2013-10-30,132.13168334960938
2013-10-31,131.1970672607422
2013-11-01,133.6999969482422
2013-11-04,134.32566833496094
2013-11-05,135.593017578125
2013-11-06,142.9829559326172
2013-11-07,136.8761444091797
2013-11-08,137.3592987060547
