Date,URI
2002-02-21,20.73320198059082
2002-02-22,20.819992065429688
2002-02-25,21.485387802124023
2002-02-26,23.346548080444336
2002-02-27,23.684066772460938
2002-02-28,23.46227264404297
2002-03-01,24.30124282836914
2002-03-04,26.133480072021484
2002-03-05,25.66095542907715
2002-03-06,25.91168212890625
2002-03-07,28.081436157226562
2002-03-08,29.238636016845703
2002-03-11,28.881834030151367
2002-03-12,28.9204044342041
2002-03-13,28.43824005126953
2002-03-14,28.35144805908203
2002-03-15,28.428592681884766
2002-03-18,29.450790405273438
2002-03-19,26.133480072021484
2002-03-20,25.082351684570312
2002-03-21,24.879844665527344
2002-03-22,25.410226821899414
2002-03-25,25.844175338745117
2002-03-26,26.519214630126953
2002-03-27,26.519214630126953
2002-03-28,26.49992561340332
2002-04-01,26.12383460998535
2002-04-02,25.80560302734375
2002-04-03,25.120922088623047
2002-04-04,25.757387161254883
2002-04-05,26.008113861083984
2002-04-08,26.866371154785156
2002-04-09,26.76993751525879
2002-04-10,27.84035301208496
2002-04-11,26.519214630126953
2002-04-12,26.904945373535156
2002-04-15,26.470996856689453
2002-04-16,27.579978942871094
2002-04-17,26.683147430419922
2002-04-18,26.37456512451172
2002-04-19,26.36491584777832
2002-04-22,25.824892044067383
2002-04-23,26.12383460998535
2002-04-24,25.57416343688965
2002-04-25,25.22700309753418
2002-04-26,24.793046951293945
2002-04-29,24.118019104003906
2002-04-30,24.59054183959961
2002-05-01,25.06306266784668
2002-05-02,24.841266632080078
2002-05-03,24.28195571899414
2002-05-06,24.060157775878906
2002-05-07,23.51048469543457
2002-05-08,24.060157775878906
2002-05-09,23.500843048095703
2002-05-10,23.144039154052734
2002-05-13,23.009033203125
2002-05-14,24.349454879760742
2002-05-15,24.744834899902344
2002-05-16,24.175874710083008
2002-05-17,23.799787521362305
2002-05-20,23.491199493408203
2002-05-21,22.276140213012695
2002-05-22,22.227920532226562
2002-05-23,22.710086822509766
2002-05-24,22.76795196533203
2002-05-28,22.690805435180664
2002-05-29,22.23756217956543
2002-05-30,22.227920532226562
2002-05-31,22.50757598876953
2002-06-03,22.006122589111328
2002-06-04,21.620389938354492
2002-06-05,21.793968200683594
2002-06-06,21.60110092163086
2002-06-07,21.967546463012695
2002-06-10,22.092910766601562
2002-06-11,21.697538375854492
2002-06-12,21.16715431213379
2002-06-13,21.360013961791992
2002-06-14,21.774681091308594
2002-06-17,22.353286743164062
2002-06-18,22.48829460144043
2002-06-19,21.765039443969727
2002-06-20,21.485387802124023
2002-06-21,21.205726623535156
2002-06-24,20.704273223876953
2002-06-25,21.196081161499023
2002-06-26,20.713916778564453
2002-06-27,21.070720672607422
2002-06-28,21.02250099182129
2002-07-01,17.309812545776367
2002-07-02,17.05908203125
2002-07-03,16.297260284423828
2002-07-05,16.73121452331543
2002-07-08,16.48048973083496
2002-07-09,16.229759216308594
2002-07-10,15.284709930419922
2002-07-11,14.985764503479004
2002-07-12,15.188276290893555
2002-07-15,16.027246475219727
2002-07-16,15.39078426361084
2002-07-17,15.545080184936523
2002-07-18,15.342570304870605
2002-07-19,15.323283195495605
2002-07-22,14.590388298034668
2002-07-23,13.626053810119629
2002-07-24,13.09566879272461
2002-07-25,13.500688552856445
2002-07-26,13.114957809448242
2002-07-29,14.27215576171875
2002-07-30,14.465024948120117
2002-07-31,13.982857704162598
2002-08-01,13.60676383972168
2002-08-02,12.690648078918457
2002-08-05,12.247055053710938
2002-08-06,13.018522262573242
2002-08-07,12.690648078918457
2002-08-08,13.240318298339844
2002-08-09,13.018522262573242
2002-08-12,12.864228248596191
2002-08-13,12.372417449951172
2002-08-14,13.24996280670166
2002-08-15,13.79963493347168
2002-08-16,13.982857704162598
2002-08-19,14.609674453735352
2002-08-20,14.320374488830566
2002-08-21,15.043627738952637
2002-08-22,15.053268432617188
2002-08-23,14.638604164123535
2002-08-26,15.178632736206055
2002-08-27,14.5614595413208
2002-08-28,14.465024948120117
2002-08-29,14.898975372314453
2002-08-30,14.898975372314453
2002-09-03,13.674270629882812
2002-09-04,14.33966064453125
2002-09-05,13.278892517089844
2002-09-06,13.83820915222168
2002-09-09,14.031074523925781
2002-09-10,13.770702362060547
2002-09-11,13.770702362060547
2002-09-12,13.60676383972168
2002-09-13,12.864228248596191
2002-09-16,12.72922134399414
2002-09-17,12.304915428161621
2002-09-18,11.909539222717285
2002-09-19,12.015612602233887
2002-09-20,10.607685089111328
2002-09-23,8.804378509521484
2002-09-24,8.920096397399902
2002-09-25,9.180469512939453
2002-09-26,9.354050636291504
2002-09-27,8.63079833984375
2002-09-30,8.138986587524414
2002-10-01,7.849687576293945
2002-10-02,7.80147123336792
2002-10-03,6.682841777801514
2002-10-04,6.798562049865723
2002-10-07,6.759988784790039
2002-10-08,6.991428852081299
2002-10-09,6.846777439117432
2002-10-10,6.972142696380615
2002-10-11,7.251798629760742
2002-10-14,7.039646148681641
2002-10-15,7.714679718017578
2002-10-16,7.087862014770508
2002-10-17,6.846777439117432
2002-10-18,7.010714530944824
2002-10-21,7.136077880859375
2002-10-22,7.136077880859375
2002-10-23,6.219961166381836
2002-10-24,6.4128265380859375
2002-10-25,6.219961166381836
2002-10-28,6.075310707092285
2002-10-29,5.834226608276367
2002-10-30,5.824584007263184
2002-10-31,5.882442951202393
2002-11-01,5.959590435028076
2002-11-04,6.509261131286621
2002-11-05,6.750344276428223
2002-11-06,7.039646148681641
2002-11-07,6.991428852081299
2002-11-08,7.232512474060059
2002-11-11,7.087862014770508
2002-11-12,7.454309463500977
2002-11-13,8.187203407287598
2002-11-14,8.611510276794434
2002-11-15,8.582581520080566
2002-11-18,8.823663711547852
2002-11-19,8.7754487991333
2002-11-20,8.63079833984375
2002-11-21,9.411910057067871
2002-11-22,9.749427795410156
2002-11-25,9.325119018554688
2002-11-26,9.016530990600586
2002-11-27,9.498701095581055
2002-11-29,9.344406127929688
2002-12-02,9.768712997436523
2002-12-03,9.382979393005371
2002-12-04,9.788000106811523
2002-12-05,9.19975471496582
2002-12-06,8.968315124511719
2002-12-09,8.399357795715332
2002-12-10,8.380069732666016
2002-12-11,8.389713287353516
2002-12-12,8.679014205932617
