Date,RTX
2020-01-23,83.27385711669922
2020-01-24,82.94355773925781
2020-01-27,81.77404022216797
2020-01-28,82.76487731933594
2020-01-29,82.74324035644531
2020-01-30,83.38212585449219
2020-01-31,81.32465362548828
2020-02-03,81.18928527832031
2020-02-04,82.84066009521484
2020-02-05,84.26465606689453
2020-02-06,84.57328796386719
2020-02-07,84.9144058227539
2020-02-10,84.76280975341797
2020-02-11,84.05892181396484
2020-02-12,84.02102661132812
2020-02-13,83.2675552368164
2020-02-14,83.48513793945312
2020-02-18,82.29917907714844
2020-02-19,81.97276306152344
2020-02-20,81.5484619140625
2020-02-21,82.42976379394531
2020-02-24,79.74230194091797
2020-02-25,75.5152816772461
2020-02-26,75.28136444091797
2020-02-27,71.90843963623047
2020-02-28,71.04344177246094
2020-03-02,72.9366226196289
2020-03-03,72.09883117675781
2020-03-04,75.64041900634766
2020-03-05,68.78577423095703
2020-03-06,68.8075180053711
2020-03-09,62.75803756713867
2020-03-10,64.93954467773438
2020-03-11,58.487483978271484
2020-03-12,55.761959075927734
2020-03-13,57.33961868286133
2020-03-16,49.467655181884766
2020-03-17,50.50673294067383
2020-03-18,43.19510269165039
2020-03-19,45.56705093383789
2020-03-20,44.89790344238281
2020-03-23,40.77423095703125
2020-03-24,47.199092864990234
2020-03-25,52.32919692993164
2020-03-26,56.9261589050293
2020-03-27,52.85145568847656
2020-03-30,53.58043670654297
2020-03-31,51.317317962646484
2020-04-01,49.707027435302734
2020-04-02,46.791072845458984
2020-04-03,43.16179275512695
2020-04-06,49.75752258300781
2020-04-07,49.930416107177734
2020-04-08,54.13161849975586
2020-04-09,55.93832778930664
2020-04-13,53.44871520996094
2020-04-14,56.2495231628418
2020-04-15,53.88093566894531
2020-04-16,53.98466873168945
2020-04-17,57.11396026611328
2020-04-20,56.17172622680664
2020-04-21,54.15755844116211
2020-04-22,54.8491096496582
2020-04-23,54.71080017089844
2020-04-24,54.831825256347656
2020-04-27,56.2495231628418
2020-04-28,56.52614974975586
2020-04-29,58.69589614868164
2020-04-30,56.02476501464844
2020-05-01,52.8263053894043
2020-05-04,50.87266540527344
2020-05-05,51.0023307800293
2020-05-06,50.0687255859375
2020-05-07,49.28208541870117
2020-05-08,50.71706008911133
2020-05-11,49.584632873535156
2020-05-12,49.031394958496094
2020-05-13,46.76654052734375
2020-05-14,46.971492767333984
2020-05-15,45.98600387573242
2020-05-18,50.494781494140625
2020-05-19,50.5296745300293
2020-05-20,50.4075813293457
2020-05-21,52.413414001464844
2020-05-22,52.326194763183594
2020-05-26,56.22451400756836
2020-05-27,58.12568664550781
2020-05-28,58.66640090942383
2020-05-29,56.26811218261719
2020-06-01,55.919281005859375
2020-06-02,55.291358947753906
2020-06-03,58.8408203125
2020-06-04,58.87569808959961
2020-06-05,62.85247802734375
2020-06-08,64.6751708984375
2020-06-09,61.518184661865234
2020-06-10,59.61698913574219
2020-06-11,54.81169128417969
2020-06-12,57.0093994140625
2020-06-15,58.47454071044922
2020-06-16,59.146053314208984
2020-06-17,58.34370803833008
2020-06-18,58.326263427734375
2020-06-19,56.590789794921875
2020-06-22,56.72160720825195
2020-06-23,56.285552978515625
2020-06-24,53.82622528076172
2020-06-25,53.250633239746094
2020-06-26,51.54130935668945
2020-06-29,54.000640869140625
2020-06-30,53.739013671875
2020-07-01,53.73029708862305
2020-07-02,53.887271881103516
2020-07-06,55.221580505371094
2020-07-07,53.2070198059082
2020-07-08,53.2070198059082
2020-07-09,50.67792510986328
2020-07-10,52.012237548828125
2020-07-13,51.759334564208984
2020-07-14,52.7360954284668
2020-07-15,54.89017868041992
2020-07-16,54.39309310913086
2020-07-17,54.244815826416016
2020-07-20,53.55586242675781
2020-07-21,54.98611831665039
2020-07-22,55.491943359375
2020-07-23,55.04716873168945
2020-07-24,54.13145446777344
2020-07-27,53.276798248291016
2020-07-28,53.198307037353516
2020-07-29,51.802940368652344
2020-07-30,50.11105728149414
2020-07-31,49.43082809448242
2020-08-03,50.154666900634766
2020-08-04,50.154666900634766
2020-08-05,52.35237121582031
2020-08-06,52.212825775146484
2020-08-07,53.39888381958008
2020-08-10,56.01520538330078
2020-08-11,56.04136657714844
2020-08-12,56.06753158569336
2020-08-13,55.61505126953125
2020-08-14,55.91376495361328
2020-08-17,55.14940643310547
2020-08-18,54.56073760986328
2020-08-19,54.15658950805664
2020-08-20,53.58550262451172
2020-08-21,52.95290756225586
2020-08-24,54.36743927001953
2020-08-25,53.550350189208984
2020-08-26,53.392208099365234
2020-08-27,53.50642776489258
2020-08-28,54.683746337890625
2020-08-31,53.59428787231445
2020-09-01,53.31312561035156
2020-09-02,54.47288131713867
2020-09-03,53.47128677368164
2020-09-04,53.74364471435547
2020-09-08,52.056739807128906
2020-09-09,52.346675872802734
2020-09-10,52.293968200683594
2020-09-11,53.28677749633789
2020-09-14,54.44651794433594
2020-09-15,53.980865478515625
2020-09-16,55.28118133544922
2020-09-17,55.184539794921875
2020-09-18,54.78037643432617
2020-09-21,52.7332649230957
2020-09-22,52.53118896484375
2020-09-23,51.248443603515625
2020-09-24,50.41376876831055
2020-09-25,50.510414123535156
2020-09-28,51.74045181274414
2020-09-29,50.6070671081543
2020-09-30,50.55434799194336
2020-10-01,50.48405456542969
2020-10-02,52.13582229614258
2020-10-05,52.285179138183594
2020-10-06,51.3538703918457
2020-10-07,52.443321228027344
2020-10-08,53.41857147216797
2020-10-09,52.63661193847656
2020-10-12,53.18134689331055
2020-10-13,52.293968200683594
2020-10-14,52.66297149658203
2020-10-15,53.146202087402344
2020-10-16,54.25323486328125
2020-10-19,53.998435974121094
2020-10-20,53.805145263671875
2020-10-21,53.023197174072266
2020-10-22,55.17575454711914
2020-10-23,54.97367858886719
2020-10-26,53.427345275878906
2020-10-27,49.666954040527344
2020-10-28,45.985652923583984
2020-10-29,46.68852996826172
2020-10-30,47.72527313232422
2020-11-02,48.981666564941406
2020-11-03,50.115055084228516
2020-11-04,49.921756744384766
2020-11-05,51.20450210571289
2020-11-06,51.450504302978516
2020-11-09,57.09987258911133
2020-11-10,59.647804260253906
2020-11-11,57.855472564697266
2020-11-12,56.62977600097656
2020-11-13,58.541324615478516
2020-11-16,60.76261520385742
2020-11-17,60.94846725463867
2020-11-18,61.51485061645508
2020-11-19,62.93082809448242
2020-11-20,61.736106872558594
2020-11-23,64.28482818603516
2020-11-24,65.8069839477539
2020-11-25,65.32027435302734
2020-11-27,65.40876770019531
2020-11-30,63.470664978027344
2020-12-01,63.03704071044922
2020-12-02,63.66535949707031
2020-12-03,64.86009216308594
2020-12-04,65.40876770019531
2020-12-07,64.63885498046875
2020-12-08,65.91321563720703
2020-12-09,65.08131408691406
2020-12-10,64.58573913574219
2020-12-11,64.50607299804688
2020-12-14,62.656497955322266
2020-12-15,62.868865966796875
2020-12-16,62.45292282104492
2020-12-17,62.51487350463867
2020-12-18,62.09893798828125
2020-12-21,61.65643310546875
2020-12-22,61.28476333618164
2020-12-23,62.585689544677734
2020-12-24,62.18744659423828
2020-12-28,62.50603485107422
2020-12-29,62.24938201904297
2020-12-30,63.152061462402344
2020-12-31,63.2848014831543
2021-01-04,60.55906295776367
2021-01-05,61.435203552246094
2021-01-06,62.196285247802734
2021-01-07,61.7537956237793
2021-01-08,61.82459259033203
2021-01-11,61.7714958190918
2021-01-12,63.29365158081055
2021-01-13,62.39098358154297
2021-01-14,62.7803840637207
2021-01-15,61.24049377441406
2021-01-19,61.38211441040039
2021-01-20,60.92192459106445
2021-01-21,60.27587127685547
2021-01-22,59.80685806274414
2021-01-25,58.656368255615234
2021-01-26,59.470550537109375
2021-01-27,57.966102600097656
2021-01-28,60.328983306884766
2021-01-29,59.05461502075195
2021-02-01,59.258155822753906
2021-02-02,62.072383880615234
2021-02-03,62.46178436279297
2021-02-04,64.32023620605469
2021-02-05,64.01048278808594
2021-02-08,64.15210723876953
2021-02-09,64.63885498046875
2021-02-10,64.13439178466797
2021-02-11,64.01048278808594
2021-02-12,64.25828552246094
2021-02-16,64.25828552246094
2021-02-17,64.65652465820312
2021-02-18,64.49723052978516
2021-02-19,65.71852111816406
