Date,NEE
2008-06-27,9.390138626098633
2008-06-30,9.694672584533691
2008-07-01,9.713886260986328
2008-07-02,9.72127628326416
2008-07-03,9.586755752563477
2008-07-07,9.558663368225098
2008-07-08,9.756754875183105
2008-07-09,9.913455963134766
2008-07-10,10.062765121459961
2008-07-11,10.039115905761719
2008-07-14,9.975543975830078
2008-07-15,9.877975463867188
2008-07-16,9.784844398498535
2008-07-17,9.521713256835938
2008-07-18,9.639969825744629
2008-07-21,9.67101764678955
2008-07-22,9.718323707580566
2008-07-23,9.425620079040527
2008-07-24,9.342833518981934
2008-07-25,9.323613166809082
2008-07-28,9.378316879272461
2008-07-29,9.424139022827148
2008-07-30,9.486226081848145
2008-07-31,9.539443969726562
2008-08-01,9.053088188171387
2008-08-04,8.81656265258789
2008-08-05,8.721949577331543
2008-08-06,8.45733642578125
2008-08-07,8.735252380371094
2008-08-08,8.877171516418457
2008-08-11,8.971781730651855
2008-08-12,8.727862358093262
2008-08-13,8.88308334350586
2008-08-14,8.744125366210938
2008-08-15,8.829863548278809
2008-08-18,8.894906044006348
2008-08-19,8.946651458740234
2008-08-20,8.988040924072266
2008-08-21,9.032392501831055
2008-08-22,9.078219413757324
2008-08-25,8.946651458740234
2008-08-26,8.992478370666504
2008-08-27,9.043851852416992
2008-08-28,9.106406211853027
2008-08-29,8.944082260131836
2008-09-02,8.786223411560059
2008-09-03,8.466045379638672
2008-09-04,8.399031639099121
2008-09-05,8.19948673248291
2008-09-08,8.327555656433105
2008-09-09,8.063971519470215
2008-09-10,8.157787322998047
2008-09-11,8.254582405090332
2008-09-12,8.336488723754883
2008-09-15,7.959724426269531
2008-09-16,7.888242244720459
2008-09-17,7.448935031890869
2008-09-18,7.839101791381836
2008-09-19,8.335000038146973
2008-09-22,7.982062339782715
2008-09-23,7.929940223693848
2008-09-24,8.004400253295898
2008-09-25,8.257562637329102
2008-09-26,8.238205909729004
2008-09-29,7.685709476470947
2008-09-30,7.49062967300415
2008-10-01,7.474250316619873
2008-10-02,7.1987481117248535
2008-10-03,7.207683563232422
2008-10-06,6.686465740203857
2008-10-07,6.475000858306885
2008-10-08,6.142911911010742
2008-10-09,5.8227314949035645
2008-10-10,5.5219197273254395
2008-10-13,6.291828632354736
