Date,BALL
2002-04-15,5.074436187744141
2002-04-16,5.083375930786133
2002-04-17,4.912508964538574
2002-04-18,4.792303085327148
2002-04-19,4.804224967956543
2002-04-22,4.652230739593506
2002-04-23,4.71779727935791
2002-04-24,4.7426323890686035
2002-04-25,4.450565338134766
2002-04-26,4.512158393859863
2002-04-29,4.703887939453125
2002-04-30,4.723757743835449
2002-05-01,4.788330078125
2002-05-02,4.818132400512695
2002-05-03,4.786342144012451
2002-05-06,4.7426323890686035
2002-05-07,4.754554271697998
2002-05-08,4.808196544647217
2002-05-09,4.814157009124756
2002-05-10,4.720776557922363
2002-05-13,4.753560543060303
2002-05-14,4.73369026184082
2002-05-15,4.745612144470215
2002-05-16,4.628388404846191
2002-05-17,4.559840679168701
2002-05-20,4.5320234298706055
2002-05-21,4.458511829376221
2002-05-22,4.219094753265381
2002-05-23,4.42076301574707
2002-05-24,4.388970851898193
2002-05-28,4.368107795715332
2002-05-29,4.282676696777344
2002-05-30,4.232899188995361
2002-05-31,4.139322757720947
2002-06-03,4.0099029541015625
2002-06-04,3.9123451709747314
2002-06-05,4.088551998138428
2002-06-06,4.161221504211426
2002-06-07,4.199051380157471
2002-06-10,4.133349418640137
2002-06-11,4.074612140655518
2002-06-12,4.159230709075928
2002-06-13,4.097509860992432
2002-06-14,4.043753623962402
2002-06-17,4.130362033843994
2002-06-18,4.18610954284668
2002-06-19,4.296610355377197
2002-06-20,4.338422775268555
2002-06-21,4.346386909484863
2002-06-24,4.345390796661377
2002-06-25,4.1831231117248535
2002-06-26,4.1383256912231445
2002-06-27,4.106468677520752
2002-06-28,4.129367828369141
2002-07-01,4.205024719238281
2002-07-02,4.193078994750977
2002-07-03,4.22991418838501
2002-07-05,4.335435390472412
2002-07-08,4.300593852996826
2002-07-09,4.349372863769531
2002-07-10,4.2209553718566895
2002-07-11,4.196068286895752
2002-07-12,4.094524383544922
2002-07-15,3.9611263275146484
2002-07-16,3.9451987743377686
2002-07-17,3.8526155948638916
2002-07-18,3.807816982269287
2002-07-19,3.544006586074829
2002-07-22,3.3926901817321777
2002-07-23,3.323004722595215
2002-07-24,3.7062735557556152
2002-07-25,3.820758581161499
2002-07-26,3.947188138961792
2002-07-29,4.2169718742370605
2002-07-30,4.190090656280518
2002-07-31,4.2826738357543945
2002-08-01,4.355346202850342
2002-08-02,4.250818729400635
2002-08-05,4.067646026611328
2002-08-06,4.385212421417236
2002-08-07,4.539515018463135
2002-08-08,4.7087507247924805
2002-08-09,4.701785087585449
2002-08-12,4.663954734802246
2002-08-13,4.645039081573486
2002-08-14,4.634089946746826
2002-08-15,4.730652332305908
2002-08-16,4.654994010925293
2002-08-19,4.740609645843506
2002-08-20,4.700787544250488
2002-08-21,4.7376203536987305
2002-08-22,4.731648921966553
2002-08-23,4.626124382019043
2002-08-26,4.599246025085449
2002-08-27,4.729657173156738
2002-08-28,4.675899028778076
2002-08-29,4.625033378601074
2002-08-30,4.968142032623291
2002-09-03,5.0798540115356445
2002-09-04,5.144686698913574
2002-09-05,5.206525802612305
2002-09-06,5.361125469207764
2002-09-09,5.37309455871582
2002-09-10,5.36810827255249
2002-09-11,5.37109899520874
2002-09-12,5.336190700531006
2002-09-13,5.376087665557861
2002-09-16,5.337188243865967
2002-09-17,5.235451698303223
2002-09-18,5.134711742401123
2002-09-19,5.068881034851074
2002-09-20,5.103791236877441
2002-09-23,4.99307918548584
2002-09-24,4.852442741394043
2002-09-25,4.972131729125977
2002-09-26,5.153664588928223
2002-09-27,5.077860355377197
2002-09-30,5.025995254516602
2002-10-01,5.202536582946777
2002-10-02,4.827507019042969
2002-10-03,4.924258708953857
2002-10-04,4.8414716720581055
2002-10-07,4.687869548797607
2002-10-08,4.747714996337891
2002-10-09,4.493371963500977
2002-10-10,4.730757713317871
2002-10-11,4.935229301452637
2002-10-14,4.745719909667969
2002-10-15,4.99507474899292
2002-10-16,4.8953328132629395
2002-10-17,5.023001194000244
2002-10-18,5.0798540115356445
2002-10-21,5.218495845794678
2002-10-22,5.181590557098389
2002-10-23,5.285323619842529
2002-10-24,4.9392194747924805
2002-10-25,4.928246021270752
2002-10-28,4.777635097503662
2002-10-29,4.788606643676758
2002-10-30,4.770654201507568
2002-10-31,4.830499172210693
2002-11-01,4.880372047424316
2002-11-04,4.734747409820557
2002-11-05,4.616054534912109
2002-11-06,4.847456932067871
2002-11-07,4.745719909667969
2002-11-08,4.686871528625488
2002-11-11,4.556210041046143
2002-11-12,4.650964260101318
2002-11-13,4.647972583770752
2002-11-14,4.730757713317871
2002-11-15,4.779629707336426
2002-11-18,4.67091178894043
2002-11-19,4.601094722747803
2002-11-20,4.61705207824707
2002-11-21,4.694849014282227
2002-11-22,4.8324971199035645
2002-11-25,4.7646684646606445
2002-11-26,4.727764129638672
2002-11-27,4.871667861938477
2002-11-29,4.944615840911865
2002-12-02,4.907641410827637
2002-12-03,4.8137030601501465
2002-12-04,4.944615840911865
2002-12-05,4.878661155700684
2002-12-06,4.868670463562012
2002-12-09,4.979594707489014
2002-12-10,5.090517044067383
2002-12-11,5.053544044494629
2002-12-12,5.0425496101379395
2002-12-13,4.965601921081543
2002-12-16,5.137484550476074
2002-12-17,5.037553310394287
2002-12-18,4.981590747833252
2002-12-19,5.00357723236084
2002-12-20,5.036552429199219
2002-12-23,5.0425496101379395
2002-12-24,5.056539535522461
2002-12-26,5.109502792358398
2002-12-27,5.021561145782471
2002-12-30,5.097510814666748
2002-12-31,5.115501403808594
2003-01-02,5.287382125854492
2003-01-03,5.302371978759766
2003-01-06,5.408299446105957
2003-01-07,5.336349010467529
2003-01-08,5.256402492523193
2003-01-09,5.1434807777404785
2003-01-10,5.177456855773926
2003-01-13,5.252404689788818
2003-01-14,5.2214274406433105
2003-01-15,5.200443744659424
2003-01-16,5.260401725769043
2003-01-17,5.275390625
2003-01-21,5.233419895172119
2003-01-22,5.1904473304748535
2003-01-23,5.2214274406433105
2003-01-24,5.122495174407959
2003-01-27,4.891651630401611
2003-01-28,4.932625770568848
2003-01-29,5.269394397735596
2003-01-30,5.201441287994385
2003-01-31,5.246408939361572
2003-02-03,5.243411064147949
2003-02-04,5.271392345428467
2003-02-05,5.345341682434082
2003-02-06,5.286383152008057
2003-02-07,5.248409748077393
2003-02-10,5.243411064147949
2003-02-11,5.1874494552612305
2003-02-12,5.136486530303955
2003-02-13,5.192447662353516
2003-02-14,5.241413116455078
2003-02-18,5.361331462860107
2003-02-19,5.335352420806885
2003-02-20,5.287382125854492
2003-02-21,5.299374103546143
2003-02-24,5.22742223739624
2003-02-25,5.233419895172119
2003-02-26,5.206436634063721
2003-02-27,5.207437515258789
2003-02-28,5.333569049835205
2003-03-03,5.367607116699219
2003-03-04,5.322560787200928
2003-03-05,5.218451023101807
2003-03-06,5.118344306945801
2003-03-07,5.1874189376831055
2003-03-10,5.0002217292785645
2003-03-11,5.0152387619018555
2003-03-12,5.013236045837402
2003-03-13,5.241474628448486
2003-03-14,5.216447830200195
2003-03-17,5.372611045837402
2003-03-18,5.409649848937988
2003-03-19,5.476719379425049
2003-03-20,5.425667762756348
2003-03-21,5.592840194702148
2003-03-24,5.584832668304443
2003-03-25,5.620872497558594
2003-03-26,5.57682466506958
2003-03-27,5.6258769035339355
2003-03-28,5.662914752960205
2003-03-31,5.57582426071167
2003-04-01,5.696948051452637
2003-04-02,5.83709716796875
2003-04-03,5.783040523529053
2003-04-04,5.748004913330078
2003-04-07,5.721978187561035
2003-04-08,5.71997594833374
2003-04-09,5.655908584594727
2003-04-10,5.6779303550720215
2003-04-11,5.7269816398620605
2003-04-14,5.752007961273193
2003-04-15,5.759015083312988
2003-04-16,5.6168694496154785
2003-04-17,5.607856750488281
2003-04-21,5.535782337188721
2003-04-22,5.636886119842529
2003-04-23,5.624873638153076
2003-04-24,5.690943241119385
2003-04-25,5.6058549880981445
2003-04-28,5.707961082458496
2003-04-29,5.654908657073975
2003-04-30,5.621869087219238
2003-05-01,5.646896839141846
2003-05-02,5.64189338684082
2003-05-05,5.695948123931885
2003-05-06,5.722976207733154
2003-05-07,5.6268792152404785
2003-05-08,5.525772571563721
2003-05-09,5.604856967926025
2003-05-12,5.535782337188721
2003-05-13,5.425667762756348
2003-05-14,5.357596397399902
2003-05-15,5.394635200500488
2003-05-16,5.348586559295654
2003-05-19,5.260494232177734
2003-05-20,5.234466075897217
2003-05-21,5.186415672302246
2003-05-22,5.25548791885376
2003-05-23,5.230462074279785
2003-05-27,5.143372535705566
2003-05-28,4.905125141143799
2003-05-29,4.940223693847656
2003-05-30,4.966297626495361
2003-06-02,5.014435768127441
2003-06-03,4.857987403869629
2003-06-04,4.755692481994629
2003-06-05,4.789791107177734
2003-06-06,4.714574337005615
2003-06-09,4.757699966430664
2003-06-10,4.7195868492126465
2003-06-11,4.881053924560547
2003-06-12,4.924177646636963
2003-06-13,4.818875789642334
2003-06-16,4.9372148513793945
2003-06-17,4.8589911460876465
2003-06-18,4.874034404754639
2003-06-19,4.73563289642334
2003-06-20,4.67947244644165
2003-06-23,4.590217590332031
2003-06-24,4.613282680511475
2003-06-25,4.5882086753845215
2003-06-26,4.627323627471924
2003-06-27,4.613282680511475
2003-06-30,4.564141750335693
2003-07-01,4.49794864654541
2003-07-02,4.537064075469971
2003-07-03,4.523024082183838
2003-07-07,4.6122822761535645
2003-07-08,4.527033805847168
2003-07-09,4.482907772064209
2003-07-10,4.422734260559082
