Date,DIS
2019-09-24,128.16578674316406
2019-09-25,129.25352478027344
2019-09-26,127.48600006103516
2019-09-27,126.21375274658203
2019-09-30,126.5633773803711
2019-10-01,125.81558990478516
2019-10-02,125.41740417480469
2019-10-03,124.45592498779297
2019-10-04,126.51483154296875
2019-10-07,127.12664794921875
2019-10-08,124.76670837402344
2019-10-09,125.6019287109375
2019-10-10,125.61162567138672
2019-10-11,126.27204132080078
2019-10-14,125.96123504638672
2019-10-15,126.0195083618164
2019-10-16,127.08780670166016
2019-10-17,128.5542755126953
2019-10-18,127.116943359375
2019-10-21,126.50509643554688
2019-10-22,128.58340454101562
2019-10-23,127.35003662109375
2019-10-24,126.50509643554688
2019-10-25,127.12664794921875
2019-10-28,126.76732635498047
2019-10-29,125.74757385253906
2019-10-30,125.86414337158203
2019-10-31,126.17491912841797
2019-11-01,128.92332458496094
2019-11-04,129.0884246826172
2019-11-05,127.66078186035156
2019-11-06,127.48600006103516
2019-11-07,129.12728881835938
2019-11-08,133.983154296875
2019-11-11,132.79830932617188
2019-11-12,134.5852813720703
2019-11-13,144.43299865722656
2019-11-14,142.90821838378906
2019-11-15,140.49972534179688
2019-11-18,143.39382934570312
2019-11-19,144.102783203125
2019-11-20,142.69456481933594
2019-11-21,142.66542053222656
2019-11-22,144.01536560058594
2019-11-25,145.37503051757812
2019-11-26,147.268798828125
2019-11-27,147.1134033203125
2019-11-29,147.2105712890625
2019-12-02,146.2781982421875
2019-12-03,144.29701232910156
2019-12-04,144.00567626953125
2019-12-05,143.1898651123047
2019-12-06,143.40354919433594
2019-12-09,141.99533081054688
2019-12-10,141.8885040283203
2019-12-11,143.33555603027344
2019-12-12,143.50064086914062
2019-12-13,143.01214599609375
2019-12-16,145.04429626464844
2019-12-17,144.33108520507812
2019-12-18,142.8948974609375
2019-12-19,142.7874298095703
2019-12-20,143.50064086914062
2019-12-23,141.3512725830078
2019-12-24,141.9472198486328
2019-12-26,142.3477783203125
2019-12-27,142.39663696289062
2019-12-30,140.46221923828125
2019-12-31,141.3024139404297
2020-01-02,144.79026794433594
2020-01-03,143.12937927246094
2020-01-06,142.2989501953125
2020-01-07,142.3477783203125
2020-01-08,142.0546875
2020-01-09,141.49781799316406
2020-01-10,141.2926483154297
2020-01-13,140.56967163085938
2020-01-14,141.85931396484375
2020-01-15,140.9995574951172
2020-01-16,141.7811279296875
2020-01-17,141.00930786132812
2020-01-21,140.2570343017578
2020-01-22,140.69667053222656
2020-01-23,138.92832946777344
2020-01-24,136.8571014404297
2020-01-27,132.77325439453125
2020-01-28,135.1864471435547
2020-01-29,132.92959594726562
2020-01-30,134.63934326171875
2020-01-31,135.1278076171875
2020-02-03,138.06857299804688
2020-02-04,141.40011596679688
2020-02-05,138.117431640625
2020-02-06,139.41680908203125
2020-02-07,137.7754669189453
2020-02-10,139.30934143066406
2020-02-11,137.7657012939453
2020-02-12,138.5863800048828
2020-02-13,137.6582489013672
2020-02-14,136.3295135498047
2020-02-18,135.938720703125
2020-02-19,138.0490264892578
2020-02-20,137.14041137695312
2020-02-21,135.77264404296875
2020-02-24,129.94973754882812
2020-02-25,125.24065399169922
2020-02-26,120.52177429199219
2020-02-27,115.32418060302734
2020-02-28,114.94316864013672
2020-03-02,117.21955871582031
2020-03-03,113.77076721191406
2020-03-04,116.43795776367188
2020-03-05,111.35759735107422
2020-03-06,112.61791229248047
2020-03-09,101.94915771484375
2020-03-10,108.89557647705078
2020-03-11,103.08247375488281
2020-03-12,89.69766998291016
2020-03-13,100.1612548828125
2020-03-16,92.82405090332031
2020-03-17,91.37809753417969
2020-03-18,86.75692749023438
2020-03-19,92.74588775634766
2020-03-20,84.00181579589844
2020-03-23,83.78687286376953
2020-03-24,95.86249542236328
2020-03-25,98.4124526977539
2020-03-26,102.93592071533203
2020-03-27,94.18207550048828
2020-03-30,97.50384521484375
2020-03-31,94.37745666503906
2020-04-01,92.7361068725586
2020-04-02,94.73894500732422
2020-04-03,91.72003936767578
2020-04-06,97.28890991210938
2020-04-07,98.91071319580078
2020-04-08,98.74462127685547
2020-04-09,102.095703125
2020-04-13,101.11871337890625
2020-04-14,103.59050750732422
2020-04-15,100.99171447753906
