Date,SPY,QQQ,SMH,RSP,IWM,HYG,LQD,^VIX,^VIX3M
2019-05-14,254.64060974121094,172.69204711914062,51.28152084350586,92.01242065429688,140.26014709472656,58.73410415649414,92.50289154052734,18.059999465942383,18.290000915527344
2019-05-15,256.13214111328125,175.13121032714844,51.75617980957031,92.30335235595703,140.71694946289062,58.78896713256836,92.7591781616211,16.440000534057617,17.489999771118164
2019-05-16,258.5042724609375,176.89122009277344,51.025211334228516,92.92931365966797,141.59390258789062,58.96730041503906,92.61164093017578,15.289999961853027,16.739999771118164
2019-05-17,256.8330383300781,175.08334350585938,50.042686462402344,92.31216430664062,139.6207275390625,58.94673538208008,92.61942291259766,15.960000038146973,17.059999465942383
2019-05-20,255.134765625,172.127685546875,48.05388259887695,91.73033142089844,138.65240478515625,58.891849517822266,92.40191650390625,16.309999465942383,17.290000915527344
2019-05-21,257.43499755859375,173.92601013183594,49.15033721923828,92.71771240234375,140.5159912109375,59.0770378112793,92.47956085205078,14.949999809265137,16.420000076293945
2019-05-22,256.6442565917969,173.15118408203125,48.28646469116211,92.2504653930664,139.33750915527344,59.12506866455078,92.59607696533203,14.75,16.420000076293945
2019-05-23,253.50845336914062,170.50157165527344,47.48430252075195,91.09556579589844,136.46913146972656,58.830116271972656,92.79803466796875,16.920000076293945,17.690000534057617
2019-05-24,254.08360290527344,170.41549682617188,47.194766998291016,91.26306915283203,137.74806213378906,58.747806549072266,92.99220275878906,15.850000381469727,17.09000015258789
2019-05-28,251.72039794921875,169.7746124267578,46.77707290649414,90.26686096191406,136.65182495117188,58.692970275878906,93.0543441772461,17.5,17.899999618530273
2019-05-29,250.03125,168.37808227539062,46.9337043762207,89.64974212646484,135.5099334716797,58.535186767578125,93.09317779541016,17.899999618530273,18.239999771118164
2019-05-30,250.71409606933594,169.08596801757812,47.2944450378418,89.7907943725586,135.1353759765625,58.65863800048828,93.62911224365234,17.299999237060547,17.959999084472656
2019-05-31,247.33560180664062,166.38853454589844,46.62517547607422,88.76815795898438,133.24444580078125,58.2333984375,93.8465805053711,18.709999084472656,18.829999923706055
2019-06-03,246.7066192626953,162.72506713867188,46.57296371459961,89.27947998046875,133.71029663085938,58.32709884643555,94.13562774658203,18.860000610351562,18.770000457763672
2019-06-04,252.0618438720703,167.30677795410156,48.4810676574707,91.28070831298828,137.1725616455078,58.91276550292969,94.1667251586914,16.969999313354492,17.59000015258789
2019-06-05,254.24522399902344,168.5502471923828,48.110843658447266,92.00361633300781,137.199951171875,59.05057907104492,94.10443115234375,16.09000015258789,17.1299991607666
2019-06-06,255.89849853515625,169.88943481445312,48.775360107421875,92.46204376220703,136.8436279296875,59.17460250854492,94.28361511230469,15.930000305175781,16.920000076293945
2019-06-07,258.4593200683594,173.17031860351562,49.406646728515625,93.06150817871094,137.81198120117188,59.32622146606445,94.70430755615234,16.299999237060547,17.149999618530273
